ранг	ранг_в_группе	расстояние	сигнатура	d_ab	d_L	ловушка	d_ловушки	L	a	b	C	цвет_измерен	track	t_best	t0	t1	bbox	score	lat	lon	alt
1	1	1.027	стакан-марка-красная	8.1	5.5	порода-в-тени	1.066	44.3	3.0	0.0	3.0	bbox	0	68.0	68.0	68.0	224,443,99,637	17452.1			
2	2	1.330	стакан-марка-красная	9.5	16.9	порода-в-тени	0.683	32.9	2.0	-2.0	2.8	bbox	1	64.0	64.0	64.0	0,33,177,112	17106.7			
3	3	2.451	палка-древко-бирюзовое	14.8	45.1	снег-пересвеченный	0.560	97.6	-8.0	-3.0	8.5	bbox	2	67.0	67.0	67.0	1756,105,69,434	15850.2			
4	4	1.500	стакан-марка-красная	6.3	35.7	снег-розовый	1.269	85.5	9.0	-5.0	10.3	bbox	3	67.0	65.0	68.0	807,217,104,72	13479.3			
5	5	1.183	палка-древко-бирюзовое	3.6	30.6	снег-пересвеченный	2.310	83.1	-13.0	-19.0	23.0	bbox	4	68.0	64.0	68.0	0,179,191,202	12523.3			
6	6	1.294	стакан-марка-красная	9.2	16.5	снег-в-тени	1.754	66.3	13.0	-8.0	15.3	bbox	5	64.0	64.0	68.0	543,155,56,118	12099.9			
7	7	0.518	стакан-марка-красная	4.1	1.6	снег-розовый	1.246	48.2	7.0	0.0	7.0	bbox	6	65.0	65.0	67.0	0,20,181,163	12008.7			
8	8	1.058	стакан-марка-красная	7.6	12.9	снег-розовый	0.638	62.7	4.0	4.0	5.7	bbox	7	68.0	68.0	68.0	615,55,276,58	11538.2			
9	9	1.472	палка-древко-контроль	11.2	12.9	снег-в-тени	0.933	54.5	-6.0	-4.0	7.2	bbox	8	65.0	63.0	65.0	1471,571,56,122	11281.3			
10	10	1.575	крышка-контроль	12.5	4.7	порода-в-тени	2.027	47.1	-16.0	2.0	16.1	bbox	9	65.0	65.0	65.0	1815,888,105,47	10118.1			
11	11	0.358	стакан-марка-красная	1.0	9.4	порода-охристая	1.258	40.4	12.0	1.0	12.0	bbox	10	67.0	67.0	67.0	73,694,44,386	9815.3			
12	12	0.894	стакан-марка-красная	5.4	16.5	порода-охристая	1.193	33.3	6.0	3.0	6.7	bbox	11	61.0	61.0	61.0	1469,0,109,341	9178.6			
13	13	3.458	стакан-марка-красная	26.8	23.5	порода-охристая	3.041	26.3	35.0	13.0	37.3	bbox	12	67.0	67.0	67.0	145,349,272,282	8423.8			
14	14	1.425	стакан-марка-красная	11.2	7.8	порода-в-тени	0.810	42.0	0.0	-1.0	1.0	bbox	13	63.0	63.0	66.0	1853,659,67,106	8236.1			
15	15	3.981	предмет-оранжевый	31.8	8.2	порода-охристая	4.774	56.1	48.0	19.0	51.6	bbox	14	64.0	63.0	64.0	667,815,54,166	7633.7			
16	16	2.388	стакан-марка-красная	13.3	47.8	снег-пересвеченный	0.376	97.6	-2.0	-2.0	2.8	bbox	15	68.0	68.0	68.0	1879,0,41,229	7531.4			
17	17	1.042	стакан-марка-красная	8.1	7.4	снег-в-тени	0.824	42.4	4.0	-3.0	5.0	bbox	16	68.0	68.0	68.0	733,177,203,144	6915.7			
18	18	1.456	рюкзак-синий	11.0	12.9	порода-в-тени	0.592	25.9	2.0	-3.0	3.6	bbox	17	66.0	66.0	67.0	151,341,238,92	6320.1			
19	19	1.769	рюкзак-синий	6.1	44.7	снег-пересвеченный	1.008	83.5	2.0	-8.0	8.2	bbox	18	64.0	64.0	64.0	509,277,108,110	6319.7			
20	20	1.234	стакан-марка-красная	8.5	17.6	порода-охристая	0.929	32.2	17.0	7.0	18.4	bbox	19	68.0	68.0	68.0	0,998,33,82	6141.5			
21	21	1.991	стакан-марка-красная	13.6	29.0	снег-освещённый	0.402	78.8	-2.0	-3.0	3.6	bbox	20	67.0	66.0	68.0	1599,195,100,110	5902.7			
22	22	1.435	стакан-марка-красная	9.1	24.7	порода-в-тени	0.542	25.1	2.0	0.0	2.0	bbox	21	67.0	66.0	68.0	637,163,176,30	5722.5			
23	23	1.879	стакан-марка-красная	11.0	35.7	снег-розовый	1.825	85.5	10.0	-10.0	14.1	bbox	22	64.0	64.0	64.0	354,605,159,129	5396.1			
24	24	2.525	палка-древко-контроль	12.2	56.4	снег-пересвеченный	0.365	98.0	-6.0	-3.0	6.7	bbox	23	65.0	60.0	68.0	955,0,94,103	5286.7			
25	25	0.708	рюкзак-синий	5.1	8.6	снег-в-тени	1.512	30.2	0.0	-19.0	19.0	bbox	24	65.0	61.0	65.0	1577,585,48,38	5244.3			
26	26	2.372	стакан-марка-красная	14.0	44.7	снег-пересвеченный	0.419	94.5	-3.0	0.0	3.0	bbox	25	63.0	63.0	63.0	1820,999,57,81	4789.8			
27	27	1.186	стакан-марка-красная	9.5	0.8	снег-розовый	0.997	50.6	2.0	4.0	4.5	bbox	26	0.0	0.0	1.0	1605,0,24,296	4780.0			
28	28	2.163	стакан-марка-красная	16.1	22.0	порода-охристая	1.808	27.8	25.0	9.0	26.6	bbox	27	17.0	17.0	17.0	1599,475,120,196	4714.6			
29	29	0.821	стакан-марка-красная	5.1	14.5	порода-охристая	0.647	35.3	10.0	6.0	11.7	bbox	28	68.0	66.0	68.0	645,139,60,44	4611.9			
30	30	1.704	палка-древко-бирюзовое	9.8	33.0	снег-пересвеченный	1.024	85.5	-11.0	-7.0	13.0	bbox	29	68.0	66.0	68.0	1509,0,143,33	4608.8			
31	31	0.852	палка-древко-контроль	6.4	8.2	снег-в-тени	1.427	49.8	-3.0	-19.0	19.2	bbox	30	65.0	65.0	65.0	1731,655,61,28	4298.1			
32	32	0.715	стакан-марка-красная	2.2	18.4	порода-охристая	1.420	31.4	13.0	0.0	13.0	bbox	31	64.0	64.0	64.0	376,745,145,84	4184.1			
33	33	3.109	предмет-оранжевый	23.0	32.9	порода-охристая	3.725	31.4	39.0	21.0	44.3	bbox	32	16.0	16.0	16.0	1867,899,53,78	4126.7			
34	34	1.339	палка-древко-контроль	8.6	22.3	снег-в-тени	1.880	63.9	-3.0	-22.0	22.2	bbox	33	66.0	66.0	68.0	1183,107,36,96	4076.3			
35	35	0.961	стакан-марка-красная	7.1	10.6	снег-в-тени	1.551	39.2	12.0	-6.0	13.4	bbox	34	62.0	57.0	62.0	641,0,286,49	4049.0			
36	36	1.452	стакан-марка-красная	11.2	11.0	снег-освещённый	0.736	60.8	0.0	-1.0	1.0	bbox	35	36.0	34.0	38.0	1811,1025,109,55	3837.1			
37	37	1.274	рюкзак-синий	10.0	5.9	порода-в-тени	0.635	32.9	0.0	-4.0	4.0	bbox	36	64.0	64.0	64.0	353,0,52,51	3820.9			
38	38	1.550	рюкзак-синий	9.2	29.0	снег-освещённый	0.778	67.8	-1.0	-5.0	5.1	bbox	37	64.0	64.0	64.0	363,59,66,80	3820.0			
39	39	1.435	стакан-марка-красная	10.2	18.4	снег-розовый	0.518	68.2	1.0	-1.0	1.4	bbox	38	14.0	14.0	15.0	1625,691,105,50	3699.9			
40	40	1.509	стакан-марка-красная	1.4	42.0	снег-розовый	1.148	91.8	10.0	0.0	10.0	bbox	39	65.0	65.0	65.0	1281,198,54,29	3645.8			
41	41	1.452	стакан-марка-красная	10.0	20.4	порода-в-тени	0.510	29.4	1.0	0.0	1.0	bbox	40	67.0	67.0	67.0	73,13,260,62	3595.2			
42	42	1.604	стакан-марка-красная	11.0	23.1	снег-розовый	0.325	72.9	0.0	1.0	1.0	bbox	41	15.0	15.0	18.0	1345,320,109,16	3542.0			
43	43	1.151	стакан-марка-красная	5.0	27.1	снег-розовый	0.977	76.9	8.0	-3.0	8.5	bbox	42	68.0	68.0	68.0	1877,395,43,54	3486.5			
44	44	0.321	рюкзак-синий	0.0	9.0	снег-в-тени	0.996	29.8	1.0	-14.0	14.0	bbox	43	67.0	67.0	67.0	1664,0,23,136	3452.7			
45	45	3.329	стакан-марка-красная	26.6	6.3	порода-охристая	3.133	43.5	36.0	10.0	37.4	bbox	44	64.0	64.0	64.0	311,371,128,129	3441.7			
46	46	3.161	стакан-марка-красная	25.1	11.4	порода-охристая	2.875	38.4	34.0	11.0	35.7	bbox	45	65.0	65.0	66.0	211,185,110,56	3411.7			
47	47	1.765	палка-ручка-пробка	12.6	22.0	корка-жёлтая-на-скале	0.557	53.7	1.0	11.0	11.0	bbox	46	65.0	65.0	66.0	875,103,36,34	3324.4			
48	48	1.560	стакан-марка-красная	6.3	37.7	снег-розовый	0.529	87.5	5.0	3.0	5.8	bbox	47	65.0	65.0	68.0	227,7,30,90	3289.9			
49	49	0.319	стакан-марка-красная	2.2	4.3	порода-охристая	1.180	45.5	9.0	2.0	9.2	bbox	48	15.0	15.0	16.0	1768,233,35,52	3002.3			
50	50	1.357	рюкзак-синий	1.4	37.7	снег-в-тени	1.347	76.5	0.0	-15.0	15.0	bbox	49	67.0	65.0	68.0	1715,328,23,75	2901.9			
51	51	0.914	стакан-марка-красная	7.2	4.3	порода-охристая	1.090	45.5	17.0	5.0	17.7	bbox	50	65.0	65.0	65.0	1705,825,34,32	2868.8			
52	52	1.232	палка-древко-контроль	8.5	17.2	снег-в-тени	0.749	58.8	-5.0	-7.0	8.6	bbox	51	67.0	67.0	67.0	1335,0,88,103	2846.5			
53	53	0.669	стакан-марка-красная	3.2	15.1	порода-охристая	1.295	64.9	12.0	4.0	12.6	bbox	52	67.0	67.0	67.0	705,415,172,44	2846.3			
54	54	1.387	рюкзак-синий	11.0	5.1	порода-в-тени	0.655	33.7	1.0	-3.0	3.2	bbox	53	64.0	64.0	64.0	371,141,34,56	2781.7			
55	55	1.321	рюкзак-синий	9.1	19.0	снег-в-тени	0.576	57.8	2.0	-5.0	5.4	bbox	54	3.0	3.0	3.0	453,881,34,199	2737.1			
56	56	0.751	рюкзак-синий	6.0	1.0	снег-в-тени	0.312	39.8	1.0	-8.0	8.1	bbox	55	5.0	5.0	5.0	1697,822,18,163	2659.1			
57	57	1.271	рюкзак-синий	5.0	31.0	снег-в-тени	0.805	69.8	1.0	-9.0	9.1	bbox	56	49.0	49.0	49.0	1681,993,50,87	2505.4			
