ранг	ранг_в_группе	расстояние	сигнатура	d_ab	d_L	ловушка	d_ловушки	L	a	b	C	цвет_измерен	track	t_best	t0	t1	bbox	score	lat	lon	alt
164	164	0.381	палка-ручка-контроль	3.0	1.9	лишайник-жёлтый-на-камне	0.967	55.7	6.0	23.0	23.8	bbox	163	5.0	5.0	5.0	233,29,12,6	119.5	39.4861400	73.5856370	4439.8
165	165	1.574	палка-ручка-контроль	12.4	8.0	порода-охристая	1.035	49.6	15.0	17.5	23.0	bbox	164	8.0	7.0	8.0	145,331,8,4	119.5	39.4861397	73.5856373	4439.8
166	166	0.724	стакан-марка-красная	5.4	7.4	порода-охристая	0.688	42.4	9.0	6.0	10.8	bbox	165	1.0	1.0	1.0	619,1069,14,8	118.6	39.4861408	73.5856367	4439.8
167	167	0.807	стакан-марка-красная	6.3	5.5	порода-охристая	0.708	44.3	8.0	6.5	10.3	bbox	166	3.0	3.0	3.0	537,719,8,6	117.9	39.4861403	73.5856368	4439.8
168	168	1.844	палка-ручка-пробка	11.3	33.2	корка-жёлтая-на-скале	0.419	42.5	-3.0	15.0	15.3	bbox	167	0.0	0.0	0.0	439,845,8,8	116.3	39.4861410	73.5856368	4439.8
169	169	2.203	палка-ручка-пробка	17.6	2.2	снег-освещённый	1.203	73.5	-5.0	8.5	9.9	bbox	168	7.0	7.0	7.0	385,689,8,4	115.7	39.4861397	73.5856371	4439.8
170	170	1.427	стакан-марка-красная	1.0	39.8	порода-в-тени	1.565	10.0	10.0	1.0	10.0	bbox	169	8.0	8.0	8.0	145,735,4,8	115.6	39.4861397	73.5856373	4439.8
171	171	1.865	стакан-марка-красная	11.1	34.9	порода-в-тени	0.324	14.9	0.0	-0.5	0.5	bbox	170	0.0	0.0	0.0	1095,681,8,8	112.3	39.4861410	73.5856368	4439.8
172	172	0.962	палка-ручка-пробка	7.2	9.4	лишайник-жёлтый-на-камне	0.832	85.1	-1.0	19.0	19.0	bbox	171	7.0	7.0	7.0	355,521,4,8	112.3	39.4861397	73.5856371	4439.8
173	173	1.634	стакан-марка-красная	11.7	20.4	порода-охристая	0.607	29.4	15.0	12.0	19.2	bbox	172	13.0	13.0	13.0	284,0,5,7	112.3	39.4861384	73.5856385	4439.9
174	174	1.371	палка-ручка-пробка	10.4	11.8	лишайник-жёлтый-на-камне	1.195	87.5	8.0	13.0	15.3	bbox	173	4.0	4.0	4.0	1215,153,13,4	111.3	39.4861401	73.5856369	4439.8
175	175	2.170	стакан-марка-красная	13.0	40.4	порода-в-тени	1.090	9.4	-0.5	7.0	7.0	bbox	174	4.0	4.0	4.0	951,197,4,14	110.4	39.4861401	73.5856369	4439.8
176	176	0.924	палка-ручка-контроль	7.2	5.6	лишайник-жёлтый-на-камне	0.829	52.0	0.0	22.0	22.0	bbox	175	2.0	2.0	2.0	1603,946,14,3	108.3	39.4861406	73.5856367	4439.8
177	177	1.954	рюкзак-синий	12.0	34.9	порода-в-тени	0.652	3.9	0.0	-2.0	2.0	bbox	176	13.0	13.0	13.0	633,544,7,9	106.1	39.4861384	73.5856385	4439.9
178	178	1.482	стакан-марка-красная	5.7	36.5	снег-розовый	0.792	86.3	7.0	5.0	8.6	bbox	177	1.0	1.0	1.0	1915,0,5,5	104.7	39.4861408	73.5856367	4439.8
179	179	2.321	рюкзак-синий	15.3	36.8	порода-в-тени	0.704	2.0	-2.0	1.0	2.2	bbox	178	5.0	5.0	5.0	1017,881,4,12	103.4	39.4861400	73.5856370	4439.8
180	180	1.056	стакан-марка-красная	8.1	8.8	порода-в-тени	0.973	41.0	3.0	0.0	3.0	bbox	179	0.0	0.0	0.0	1793,810,8,5	102.3	39.4861410	73.5856368	4439.8
181	181	0.386	палка-ручка-пробка	2.0	8.2	лишайник-жёлтый-на-камне	0.764	67.5	3.0	23.0	23.2	bbox	180	3.0	3.0	3.0	537,141,8,4	101.0	39.4861403	73.5856368	4439.8
182	182	1.578	стакан-марка-красная	3.6	42.3	порода-в-тени	1.424	7.5	8.0	3.0	8.5	bbox	181	4.0	4.0	4.0	369,288,4,7	99.1	39.4861401	73.5856369	4439.8
183	183	1.190	стакан-марка-красная	4.5	29.4	порода-в-тени	1.231	20.4	7.0	3.0	7.6	bbox	182	1.0	1.0	1.0	521,675,4,14	95.4	39.4861408	73.5856367	4439.8
184	184	1.290	палка-ручка-контроль	10.0	8.2	лишайник-жёлтый-на-камне	0.858	49.4	7.0	16.0	17.5	bbox	183	13.0	13.0	13.0	769,217,5,6	94.5	39.4861384	73.5856385	4439.9
185	185	1.696	палка-ручка-контроль	10.0	32.1	порода-охристая	0.997	25.5	6.0	16.0	17.1	bbox	184	13.0	13.0	13.0	211,47,4,9	93.5	39.4861384	73.5856385	4439.9
186	186	0.714	стакан-марка-красная	4.9	10.0	порода-охристая	0.924	39.8	7.5	4.5	8.7	bbox	185	4.0	4.0	4.0	785,977,6,6	93.0	39.4861401	73.5856369	4439.8
187	187	1.166	стакан-марка-красная	9.1	7.8	снег-розовый	0.755	57.6	2.0	0.0	2.0	bbox	186	4.0	4.0	4.0	252,1029,3,9	91.7	39.4861401	73.5856369	4439.8
188	188	0.735	палка-ручка-пробка	4.5	13.3	лишайник-жёлтый-на-камне	1.014	62.4	9.0	21.0	22.8	bbox	187	5.0	5.0	5.0	1531,165,12,2	90.5	39.4861400	73.5856370	4439.8
