track	t_best	t0	t1	bbox	length_px	score	lat	lon	alt
190	82.1	80.1	82.1	1432,0,40,62	70.7	1417.9	39.4863270	73.5937820	4927.5
191	35.0	33.0	35.0	216,804,54,110	119.7	1413.7	39.4863240	73.5937820	4927.6
192	101.1	101.1	103.1	384,950,58,130	139.6	1401.5	39.4863260	73.5937820	4927.5
193	79.1	77.1	79.1	580,846,82,146	162.6	1394.9	39.4863270	73.5937820	4927.6
194	203.2	203.2	203.2	936,268,36,134	134.2	1389.5	39.4863260	73.5937830	4927.5
195	113.1	113.1	126.1	798,916,56,142	150.0	1386.7	39.4863270	73.5937820	4927.5
196	98.1	93.1	98.1	658,898,90,182	200.3	1378.0	39.4863270	73.5937810	4927.5
197	201.2	201.2	201.2	1336,364,38,140	140.2	1375.1	39.4863260	73.5937830	4927.4
198	107.1	107.1	107.1	382,878,92,164	184.2	1370.0	39.4863260	73.5937820	4927.5
199	105.1	104.1	106.1	446,858,68,222	229.3	1358.1	39.4863260	73.5937820	4927.5
200	5.0	5.0	7.0	576,0,72,164	176.4	1357.2	39.4863190	73.5937890	4927.5
201	107.1	107.1	107.1	396,392,62,152	161.6	1350.4	39.4863260	73.5937820	4927.5
202	85.1	83.1	86.1	482,832,88,178	195.8	1343.3	39.4863270	73.5937830	4927.5
203	217.2	217.2	217.2	1280,348,34,112	107.2	1329.5	39.4863280	73.5937840	4927.5
204	225.2	221.2	225.2	1500,600,34,144	145.2	1326.8	39.4863270	73.5937830	4927.5
205	211.2	211.2	211.2	1056,770,26,132	130.0	1326.4	39.4863280	73.5937840	4927.5
206	44.0	39.0	48.0	444,924,52,80	92.6	1324.3	39.4863250	73.5937810	4927.5
207	44.0	44.0	44.0	498,838,66,62	87.7	1323.0	39.4863250	73.5937810	4927.5
208	109.1	109.1	109.1	560,894,72,186	196.8	1319.2	39.4863270	73.5937820	4927.5
209	75.1	75.1	76.1	152,880,100,184	204.8	1316.2	39.4863280	73.5937830	4927.6
210	179.2	177.2	180.2	1180,128,22,86	84.0	1313.3	39.4863260	73.5937830	4927.4
211	218.2	217.2	225.2	1388,866,28,138	136.0	1301.4	39.4863280	73.5937840	4927.5
212	211.2	211.2	211.2	964,920,36,160	160.7	1300.5	39.4863280	73.5937840	4927.5
213	105.1	105.1	106.1	304,920,62,160	166.3	1298.7	39.4863260	73.5937820	4927.5
