video	t	drone_lat	drone_lon	drone_alt	hit_lat	hit_lon	hit_alt	dist_m	gb_yaw	gb_pitch	f_px	file
C0012	0.0										C0012_t0000.jpg
C0012	14.0										C0012_t0014.jpg
C0012	30.0										C0012_t0030.jpg
C0012	38.0										C0012_t0038.jpg
C0012	76.0										C0012_t0076.jpg
C0012	82.0										C0012_t0082.jpg
C0012	88.0										C0012_t0088.jpg
C0012	102.0										C0012_t0102.jpg
C0012	108.0										C0012_t0108.jpg
C0012	112.0										C0012_t0112.jpg
C0012	128.0										C0012_t0128.jpg
C0012	142.0										C0012_t0142.jpg
C0012	176.0										C0012_t0176.jpg
C0012	186.0										C0012_t0186.jpg
C0012	198.0										C0012_t0198.jpg
C0012	202.0										C0012_t0202.jpg
C0012	206.0										C0012_t0206.jpg
C0012	214.0										C0012_t0214.jpg
C0012	222.0										C0012_t0222.jpg
C0012	256.0										C0012_t0256.jpg
