track	t_best	t0	t1	bbox	score	lat	lon	alt
0	125.0	125.0	125.0	1879,854,41,163	6021.4			
1	99.0	99.0	102.0	1628,425,73,182	5436.5			
2	104.0	103.0	104.0	1689,431,36,149	4751.1			
3	107.0	107.0	107.0	1515,524,36,169	4112.8			
4	106.0	106.0	106.0	1703,429,58,128	3563.4			
5	101.0	101.0	101.0	1738,621,39,106	3448.4			
6	106.0	106.0	106.0	1737,647,82,84	3143.1			
7	103.0	102.0	103.0	1649,464,34,131	3108.1			
8	107.0	106.0	107.0	1729,435,84,66	3106.9			
9	99.0	99.0	100.0	1761,453,92,168	2990.2			
10	100.0	99.0	100.0	1843,65,28,74	2956.4			
11	72.0	72.0	73.0	0,1056,57,24	2942.6			
12	77.0	77.0	77.0	221,23,23,74	2942.0			
13	102.0	100.0	102.0	1680,541,29,116	2896.7			
14	30.0	30.0	31.0	913,0,54,31	2834.8			
15	100.0	97.0	100.0	1863,0,24,51	2609.0			
16	75.0	71.0	77.0	981,197,31,41	2508.9			
17	49.0	48.0	49.0	980,1027,127,28	2359.1			
18	107.0	107.0	107.0	1845,615,66,88	2315.3			
19	73.0	73.0	73.0	0,1031,65,32	2290.1			
20	72.0	70.0	78.0	859,89,64,19	2268.7			
21	75.0	74.0	75.0	37,1049,82,31	2265.9			
22	75.0	74.0	75.0	951,15,38,28	2253.3			
23	104.0	104.0	104.0	1865,329,34,112	1964.2			
24	108.0	107.0	108.0	1760,737,73,62	1862.8			
25	73.0	70.0	73.0	761,331,40,32	1796.0			
26	48.0	48.0	48.0	1017,773,36,150	1740.3			
27	100.0	99.0	102.0	1613,395,20,86	1692.1			
28	100.0	100.0	102.0	1603,343,24,48	1685.1			
29	34.0	34.0	34.0	0,1051,60,29	1684.4			
30	58.0	57.0	59.0	107,0,50,113	1645.9			
31	72.0	71.0	77.0	869,310,32,19	1624.4			
32	100.0	98.0	100.0	1809,235,18,42	1614.9			
33	105.0	104.0	105.0	1865,479,28,66	1530.9			
34	107.0	107.0	107.0	1807,517,12,76	1478.8			
35	65.0	65.0	65.0	0,0,27,42	1373.4			
36	103.0	103.0	103.0	1779,513,30,72	1335.5			
37	108.0	108.0	108.0	1571,713,26,72	1317.5			
38	74.0	74.0	74.0	1043,56,41,25	1308.8			
39	100.0	98.0	102.0	1523,521,66,57	1305.5			
40	76.0	76.0	76.0	945,287,32,44	1289.8			
41	71.0	71.0	71.0	779,69,26,24	1289.4			
42	75.0	75.0	75.0	904,237,24,28	1284.9			
43	63.0	63.0	63.0	1105,1029,42,27	1281.6			
44	103.0	103.0	103.0	1897,73,20,42	1190.7			
45	106.0	105.0	106.0	1643,628,74,64	1182.2			
46	108.0	108.0	108.0	1777,855,48,34	1108.2			
47	74.0	71.0	75.0	967,115,26,20	1069.2			
48	108.0	108.0	108.0	1857,589,16,50	1060.6			
49	70.0	70.0	70.0	1129,99,23,23	1037.1			
50	92.0	92.0	92.0	236,949,26,34	1010.8			
51	30.0	30.0	30.0	717,0,38,13	1010.7			
52	132.0	132.0	133.0	89,863,32,28	1001.2			
53	103.0	103.0	103.0	1883,169,14,38	988.2			
54	64.0	64.0	64.0	155,5,22,31	983.3			
55	71.0	70.0	76.0	609,175,30,20	974.7			
56	50.0	50.0	50.0	635,859,37,55	968.4			
57	62.0	62.0	62.0	543,232,82,15	910.9			
58	66.0	65.0	67.0	691,925,25,108	885.9			
59	53.0	53.0	53.0	1898,51,22,14	880.5			
60	31.0	29.0	31.0	1411,18,35,19	819.5			
61	61.0	61.0	61.0	989,789,22,12	812.2			
62	105.0	105.0	105.0	1710,603,27,46	805.2			
63	124.0	124.0	126.0	1461,63,24,18	798.9			
64	136.0	136.0	136.0	0,1073,48,7	775.4			
65	101.0	101.0	101.0	1485,657,12,36	762.0			
66	101.0	101.0	101.0	1653,877,26,16	759.5			
67	99.0	99.0	102.0	1663,387,24,32	748.3			
68	98.0	98.0	98.0	1719,569,14,54	731.8			
69	72.0	71.0	72.0	917,0,20,29	730.7			
70	135.0	132.0	135.0	339,206,22,23	723.1			
71	97.0	97.0	97.0	1791,714,14,61	715.9			
72	87.0	86.0	87.0	393,392,29,19	706.1			
73	81.0	81.0	81.0	1140,5,25,20	699.7			
74	130.0	127.0	130.0	1677,704,19,24	699.3			
75	60.0	60.0	60.0	385,0,24,12	695.5			
76	72.0	70.0	72.0	897,33,16,16	693.1			
77	56.0	56.0	56.0	943,367,18,26	689.9			
78	80.0	80.0	80.0	1015,0,32,23	673.9			
79	104.0	104.0	104.0	1895,281,14,40	668.6			
80	73.0	71.0	74.0	1467,37,16,24	666.3			
81	49.0	49.0	53.0	719,891,34,22	663.5			
82	121.0	120.0	121.0	142,124,27,22	639.3			
83	134.0	133.0	134.0	103,651,18,16	637.1			
84	135.0	135.0	135.0	601,525,19,18	636.4			
85	57.0	53.0	59.0	967,393,12,42	631.5			
86	67.0	64.0	68.0	800,995,23,19	627.0			
87	75.0	75.0	75.0	829,161,20,12	625.8			
88	64.0	64.0	64.0	249,97,16,23	614.5			
89	102.0	101.0	102.0	1638,666,37,41	604.4			
90	99.0	99.0	99.0	1601,355,36,16	595.2			
91	71.0	71.0	71.0	793,169,32,14	589.1			
92	103.0	98.0	103.0	1637,601,28,42	564.5			
93	81.0	81.0	81.0	895,292,16,13	535.1			
94	97.0	94.0	97.0	508,115,33,16	532.7			
95	75.0	73.0	75.0	285,67,20,14	532.3			
96	91.0	91.0	91.0	71,1059,13,21	530.1			
97	75.0	74.0	75.0	0,1027,32,14	509.8			
98	70.0	70.0	70.0	863,329,46,9	509.7			
99	63.0	62.0	63.0	1089,1007,28,20	497.2			
100	105.0	105.0	105.0	1914,361,6,28	494.2			
101	106.0	106.0	106.0	1825,615,16,18	492.3			
