ранг	ранг_в_группе	расстояние	сигнатура	d_ab	d_L	ловушка	d_ловушки	L	a	b	C	цвет_измерен	track	t_best	t0	t1	bbox	score	lat	lon	alt
1	1	1.512	рюкзак-синий	8.6	29.8	порода-в-тени	1.314	9.0	6.0	-7.0	9.2	bbox	0	125.0	125.0	125.0	1879,854,41,163	6021.4			
2	2	1.505	стакан-марка-красная	5.8	36.9	порода-в-тени	1.042	12.9	6.0	-2.0	6.3	bbox	1	99.0	99.0	102.0	1628,425,73,182	5436.5			
3	3	1.579	стакан-марка-красная	5.8	39.2	порода-в-тени	1.067	10.6	6.0	-2.0	6.3	bbox	2	104.0	103.0	104.0	1689,431,36,149	4751.1			
4	4	1.352	рюкзак-синий	7.2	28.2	порода-в-тени	1.286	10.6	5.0	-8.0	9.4	bbox	3	107.0	107.0	107.0	1515,524,36,169	4112.8			
5	5	1.699	стакан-марка-красная	6.4	42.0	порода-в-тени	1.124	7.8	6.0	-3.0	6.7	bbox	4	106.0	106.0	106.0	1703,429,58,128	3563.4			
6	6	1.480	стакан-марка-красная	5.8	36.1	порода-в-тени	1.036	13.7	6.0	-2.0	6.3	bbox	5	101.0	101.0	101.0	1738,621,39,106	3448.4			
7	7	0.859	рюкзак-синий	6.3	9.4	снег-в-тени	0.756	29.4	3.0	-8.0	8.5	bbox	6	106.0	106.0	106.0	1737,647,82,84	3143.1			
8	8	1.579	стакан-марка-красная	5.8	39.2	порода-в-тени	1.067	10.6	6.0	-2.0	6.3	bbox	7	103.0	102.0	103.0	1649,464,34,131	3108.1			
9	9	1.662	стакан-марка-красная	6.4	40.8	порода-в-тени	1.108	9.0	6.0	-3.0	6.7	bbox	8	107.0	106.0	107.0	1729,435,84,66	3106.9			
10	10	1.235	рюкзак-синий	3.6	32.2	снег-в-тени	0.983	71.0	3.0	-11.0	11.4	bbox	9	99.0	99.0	100.0	1761,453,92,168	2990.2			
11	11	0.523	рюкзак-синий	3.6	7.4	снег-в-тени	0.919	31.4	4.0	-12.0	12.6	bbox	10	100.0	99.0	100.0	1843,65,28,74	2956.4			
12	12	1.425	рюкзак-синий	8.1	28.2	порода-в-тени	1.205	10.6	5.0	-7.0	8.6	bbox	11	72.0	72.0	73.0	0,1056,57,24	2942.6			
13	13	0.538	стакан-марка-красная	3.6	8.2	порода-охристая	1.074	41.6	8.0	3.0	8.5	bbox	12	77.0	77.0	77.0	221,23,23,74	2942.0			
14	14	1.548	стакан-марка-красная	6.3	37.3	порода-в-тени	0.919	12.5	5.0	-1.0	5.1	bbox	13	102.0	100.0	102.0	1680,541,29,116	2896.7			
15	15	0.891	рюкзак-синий	2.0	23.9	снег-в-тени	0.742	62.7	1.0	-12.0	12.0	bbox	14	30.0	30.0	31.0	913,0,54,31	2834.8			
16	16	0.217	рюкзак-синий	1.4	3.5	снег-в-тени	0.808	35.3	2.0	-13.0	13.2	bbox	15	100.0	97.0	100.0	1863,0,24,51	2609.0			
