track	t_best	t0	t1	bbox	score	lat	lon	alt
0	197.3	195.3	198.3	1039,0,126,71	11090.5	39.4815536	73.5924041	5109.7
1	54.1	51.1	64.1	641,542,50,77	7753.0	39.4815543	73.5924067	5109.7
2	197.3	192.3	197.3	1257,29,77,61	6310.3	39.4815536	73.5924041	5109.7
3	140.2	134.2	142.2	0,17,64,55	5771.7	39.4815528	73.5924053	5109.7
4	20.0	20.0	28.0	34,891,73,43	5358.6	39.4815539	73.5924056	5109.7
5	23.0	22.0	27.0	21,357,71,38	4512.8	39.4815539	73.5924055	5109.7
6	10.0	10.0	10.0	1889,145,31,62	4420.6	39.4815562	73.5924065	5109.6
7	121.2	115.2	122.2	120,46,35,88	4415.8	39.4815546	73.5924044	5109.7
8	198.3	192.3	198.3	1252,0,66,26	4389.9	39.4815537	73.5924042	5109.7
9	6.0	6.0	9.0	0,809,57,44	4357.5	39.4815555	73.5924067	5109.6
10	112.1	112.1	112.1	434,877,39,60	4164.8	39.4815544	73.5924061	5109.7
11	72.1	72.1	73.1	41,909,32,85	4131.8	39.4815519	73.5924046	5109.7
12	96.1	94.1	96.1	867,9,54,46	4113.5	39.4815530	73.5924049	5109.7
13	71.1	70.1	73.1	33,961,38,91	3994.2	39.4815519	73.5924047	5109.7
14	93.1	85.1	97.1	871,241,52,40	3762.3	39.4815537	73.5924049	5109.7
15	110.1	110.1	110.1	282,821,55,86	3728.0	39.4815541	73.5924061	5109.7
16	87.1	86.1	96.1	865,699,52,40	3444.6	39.4815537	73.5924040	5109.7
17	82.1	82.1	83.1	132,877,25,68	3421.5	39.4815534	73.5924039	5109.7
18	83.1	83.1	83.1	829,831,50,36	3385.0	39.4815537	73.5924040	5109.7
19	74.1	74.1	74.1	399,1025,32,50	3270.1	39.4815521	73.5924044	5109.7
20	50.1	46.1	64.1	643,785,30,64	3177.5	39.4815551	73.5924068	5109.7
21	49.1	34.0	51.1	999,146,33,41	2618.3	39.4815551	73.5924070	5109.7
22	98.1	97.1	110.1	663,969,50,32	2315.4	39.4815530	73.5924050	5109.7
23	86.1	86.1	87.1	355,25,26,40	2242.3	39.4815537	73.5924041	5109.7
24	11.0	6.0	11.0	0,889,27,28	2160.9	39.4815561	73.5924064	5109.6
25	84.1	84.1	86.1	435,399,76,40	2124.5	39.4815536	73.5924039	5109.7
26	109.1	109.1	109.1	1877,319,33,60	2105.8	39.4815537	73.5924060	5109.7
27	19.0	17.0	21.0	758,257,35,36	2101.5	39.4815540	73.5924055	5109.7
28	102.1	97.1	106.1	689,669,42,28	2096.3	39.4815534	73.5924056	5109.7
29	113.1	113.1	113.1	856,1055,41,25	2036.0	39.4815544	73.5924060	5109.7
30	57.1	46.1	64.1	781,362,32,34	1912.5	39.4815543	73.5924068	5109.7
31	44.1	31.0	48.1	906,305,27,48	1892.5	39.4815553	73.5924061	5109.7
32	7.0	6.0	11.0	849,241,32,38	1868.0	39.4815554	73.5924066	5109.6
33	16.0	15.0	16.0	925,85,32,48	1827.2	39.4815543	73.5924057	5109.6
