ранг	ранг_в_группе	расстояние	сигнатура	d_ab	d_L	ловушка	d_ловушки	L	a	b	C	цвет_измерен	track	t_best	t0	t1	bbox	score	lat	lon	alt
217	217	1.644	рюкзак-синий	5.4	42.0	снег-в-тени	1.483	80.8	6.0	-12.0	13.4	bbox	216	130.0	129.0	130.0	887,35,44,8	661.4			
218	218	1.756	рюкзак-синий	5.8	44.7	снег-в-тени	1.941	83.5	4.0	-19.0	19.4	bbox	217	114.0	114.0	114.0	1002,212,68,7	658.8			
219	219	1.437	рюкзак-синий	6.1	34.1	снег-в-тени	0.898	72.9	0.0	-8.0	8.0	bbox	218	20.0	18.0	23.0	1373,285,44,20	654.9			
220	220	0.859	рюкзак-синий	6.3	9.4	снег-в-тени	0.126	48.2	-1.0	-8.0	8.1	bbox	219	96.0	96.0	96.0	0,0,19,17	652.2			
221	221	1.349	рюкзак-синий	3.2	36.1	снег-в-тени	1.505	74.9	2.0	-17.0	17.1	bbox	220	88.0	88.0	88.0	465,41,48,14	651.5			
222	222	1.306	стакан-марка-красная	10.4	1.2	снег-в-тени	0.761	48.6	1.0	-2.0	2.2	bbox	221	70.0	68.0	70.0	1829,773,28,16	650.7			
223	223	1.679	рюкзак-синий	4.1	44.7	снег-в-тени	1.804	83.5	2.0	-18.0	18.1	bbox	222	108.0	108.0	111.0	1061,49,43,12	644.8			
224	224	1.797	рюкзак-синий	14.0	11.4	снег-в-тени	2.505	50.2	1.0	-28.0	28.0	bbox	223	32.0	31.0	37.0	361,225,16,20	641.7			
225	225	1.170	рюкзак-синий	9.1	8.3	снег-в-тени	1.875	47.1	0.0	-23.0	23.0	bbox	224	42.0	42.0	47.0	295,329,18,26	639.5			
226	226	0.546	рюкзак-синий	3.6	8.7	снег-в-тени	1.132	47.5	-1.0	-17.0	17.0	bbox	225	135.0	135.0	136.0	1832,63,13,32	638.0			
227	227	1.622	рюкзак-синий	9.5	31.0	снег-в-тени	1.523	69.8	10.0	-11.0	14.9	bbox	226	117.0	117.0	117.0	0,587,25,46	636.7			
228	228	0.727	рюкзак-синий	0.0	20.4	снег-в-тени	1.295	18.4	1.0	-14.0	14.0	bbox	227	7.0	2.0	8.0	1613,213,16,15	630.1			
229	229	1.627	стакан-марка-красная	9.2	32.2	снег-освещённый	0.397	82.0	2.0	-1.0	2.2	bbox	228	128.0	128.0	128.0	1211,79,24,14	629.3			
230	230	1.490	рюкзак-синий	11.2	14.5	порода-в-тени	0.313	24.3	-1.0	-3.0	3.2	bbox	229	84.0	84.0	86.0	1887,105,33,20	627.5			
231	231	1.821	стакан-марка-красная	13.6	18.2	снег-розовый	0.972	68.0	0.0	9.0	9.0	bbox	230	98.0	92.0	98.0	159,97,41,14	620.7			
232	232	1.231	рюкзак-синий	8.2	18.8	снег-в-тени	1.789	57.6	-1.0	-22.0	22.0	bbox	231	39.0	38.0	44.0	0,393,15,22	619.0			
233	233	3.517	предмет-оранжевый	27.0	27.4	порода-охристая	5.274	36.9	47.0	33.0	57.4	bbox	232	96.0	96.0	96.0	1195,0,30,24	614.9			
