video	t	drone_lat	drone_lon	drone_alt	hit_lat	hit_lon	hit_alt	dist_m	gb_yaw	gb_pitch	f_px	file
C0008	0.0										C0008_t0000.jpg
C0008	6.0										C0008_t0006.jpg
C0008	12.0										C0008_t0012.jpg
C0008	26.0										C0008_t0026.jpg
C0008	32.0										C0008_t0032.jpg
C0008	44.0										C0008_t0044.jpg
C0008	50.0										C0008_t0050.jpg
C0008	56.0										C0008_t0056.jpg
C0008	72.0										C0008_t0072.jpg
C0008	74.0										C0008_t0074.jpg
C0008	78.0										C0008_t0078.jpg
C0008	122.0										C0008_t0122.jpg
C0008	124.0										C0008_t0124.jpg
C0008	130.0										C0008_t0130.jpg
C0008	134.0										C0008_t0134.jpg
C0008	146.0										C0008_t0146.jpg
C0008	152.0										C0008_t0152.jpg
C0008	168.0										C0008_t0168.jpg
C0008	170.0										C0008_t0170.jpg
C0008	182.0										C0008_t0182.jpg
