video	t	drone_lat	drone_lon	drone_alt	hit_lat	hit_lon	hit_alt	dist_m	gb_yaw	gb_pitch	f_px	file
DJI_20260813163855_0001_Z	249.7	39.483534	73.584408	4610	39.482871	73.586587	4648	205	111.5	10.6	7642.0	DJI_20260813163855_0001_Z_t0249.jpg
DJI_20260813163855_0001_Z	264.0	39.483536	73.584406	4610	39.482967	73.586314	4628	177	111.1	5.6	6301.0	DJI_20260813163855_0001_Z_t0264.jpg
DJI_20260813163855_0001_Z	265.7	39.483536	73.584406	4611	39.482965	73.586320	4628	177	111.1	5.7	4960.0	DJI_20260813163855_0001_Z_t0265.jpg
DJI_20260813163855_0001_Z	269.7	39.483536	73.584405	4610	39.482962	73.586339	4630	179	111.0	6.1	4005.0	DJI_20260813163855_0001_Z_t0269.jpg
DJI_20260813163855_0001_Z	275.0	39.483535	73.584407	4611	39.482959	73.586350	4630	180	111.0	6.3		DJI_20260813163855_0001_Z_t0275.jpg
DJI_20260813163855_0001_Z	279.0	39.483520	73.584517	4611	39.482982	73.586338	4629	169	110.9	6.3		DJI_20260813163855_0001_Z_t0279.jpg
DJI_20260813163855_0001_Z	280.7	39.483503	73.584645	4611	39.483008	73.586324	4628	155	110.9	6.3		DJI_20260813163855_0001_Z_t0280.jpg
DJI_20260813163855_0001_Z	283.0	39.483483	73.584797	4611	39.483035	73.586307	4626	140	111.0	6.3		DJI_20260813163855_0001_Z_t0283.jpg
DJI_20260813163855_0001_Z	285.3	39.483462	73.584958	4611	39.483065	73.586295	4624	124	111.0	6.3	6466.0	DJI_20260813163855_0001_Z_t0285.jpg
DJI_20260813163855_0001_Z	287.3	39.483441	73.585116	4611	39.483093	73.586289	4623	109	111.0	6.3	6466.0	DJI_20260813163855_0001_Z_t0287.jpg
DJI_20260813163855_0001_Z	288.7	39.483421	73.585264	4610	39.483107	73.586275	4621	94	111.9	6.3	6466.0	DJI_20260813163855_0001_Z_t0288.jpg
DJI_20260813163855_0001_Z	291.3	39.483399	73.585400	4610	39.483118	73.586262	4619	81	112.9	6.3	6929.0	DJI_20260813163855_0001_Z_t0291.jpg
DJI_20260813163855_0001_Z	293.3	39.483380	73.585517	4610	39.483133	73.586255	4618	69	113.4	6.3	7392.0	DJI_20260813163855_0001_Z_t0293.jpg
DJI_20260813163855_0001_Z	318.7	39.483378	73.585535	4611	39.483115	73.586580	4642	100	108.0	18.4	7449.0	DJI_20260813163855_0001_Z_t0318.jpg
DJI_20260813163855_0001_Z	352.3	39.483385	73.585529	4611	39.483290	73.586717	4645	108	95.9	18.4	6396.0	DJI_20260813163855_0001_Z_t0352.jpg
DJI_20260813163855_0001_Z	354.3	39.483385	73.585529	4611	39.483308	73.586731	4645	109	94.7	18.4	4146.0	DJI_20260813163855_0001_Z_t0354.jpg
DJI_20260813163855_0001_Z	362.0	39.483386	73.585527	4611	39.483283	73.586505	4630	87	97.8	12.6	2941.0	DJI_20260813163855_0001_Z_t0362.jpg
DJI_20260813163855_0001_Z	375.3	39.483389	73.585525	4611	39.483233	73.586216	4611	62	106.3	0.0	2951.0	DJI_20260813163855_0001_Z_t0375.jpg
DJI_20260813163855_0001_Z	393.3	39.483390	73.585525	4611	39.483088	73.586008	4604	54	129.0	-6.9	2985.0	DJI_20260813163855_0001_Z_t0393.jpg
DJI_20260813163855_0001_Z	394.7	39.483390	73.585524	4611	39.482980	73.585846	4600	54	148.7	-11.0	3109.0	DJI_20260813163855_0001_Z_t0394.jpg
DJI_20260813163855_0001_Z	398.3	39.483390	73.585524	4611	39.483001	73.585675	4594	48	163.3	-20.4	3109.0	DJI_20260813163855_0001_Z_t0398.jpg
DJI_20260813163855_0001_Z	400.7	39.483390	73.585525	4611	39.483076	73.585559	4587	42	175.2	-34.3	3234.0	DJI_20260813163855_0001_Z_t0400.jpg
DJI_20260813163855_0001_Z	408.0	39.483390	73.585526	4611	39.483089	73.585604	4587	41	168.7	-34.2	4004.0	DJI_20260813163855_0001_Z_t0408.jpg
DJI_20260813163855_0001_Z	423.0	39.483390	73.585527	4610	39.483085	73.585520	4585	43	180.9	-37.2	4213.0	DJI_20260813163855_0001_Z_t0423.jpg
DJI_20260813163855_0001_Z	433.7	39.483391	73.585527	4611	39.483161	73.585463	4578	42	192.2	-51.0	3604.0	DJI_20260813163855_0001_Z_t0433.jpg
DJI_20260813163855_0001_Z	436.3	39.483392	73.585528	4611	39.483210	73.585477	4576	40	192.2	-59.1	4448.0	DJI_20260813163855_0001_Z_t0436.jpg
DJI_20260813163855_0001_Z	438.0	39.483391	73.585528	4610	39.483271	73.585494	4573	40	192.2	-69.8	2759.0	DJI_20260813163855_0001_Z_t0438.jpg
DJI_20260813163855_0001_Z	443.7	39.483391	73.585528	4610	39.483239	73.585556	4577	37	172.1	-62.7	2733.0	DJI_20260813163855_0001_Z_t0443.jpg
DJI_20260813163855_0001_Z	446.0	39.483391	73.585528	4611	39.483209	73.585627	4581	37	157.2	-53.0	2708.0	DJI_20260813163855_0001_Z_t0446.jpg
DJI_20260813163855_0001_Z	455.7	39.483391	73.585526	4610	39.483165	73.585691	4586	38	150.7	-40.4	2657.0	DJI_20260813163855_0001_Z_t0455.jpg
DJI_20260813163855_0001_Z	464.0	39.483393	73.585526	4610	39.483136	73.585801	4591	42	140.4	-27.6	2657.0	DJI_20260813163855_0001_Z_t0464.jpg
DJI_20260813163855_0001_Z	472.0	39.483393	73.585526	4611	39.483165	73.585929	4596	45	126.3	-18.9	2686.0	DJI_20260813163855_0001_Z_t0472.jpg
DJI_20260813163855_0001_Z	490.3	39.483388	73.585529	4611	39.483200	73.585954	4596	45	119.8	-19.7	3091.0	DJI_20260813163855_0001_Z_t0490.jpg
DJI_20260813163855_0001_Z	503.0	39.483385	73.585528	4611	39.483214	73.586112	4604	54	110.8	-7.3	2943.0	DJI_20260813163855_0001_Z_t0503.jpg
DJI_20260813163855_0001_Z	524.0	39.483379	73.585530	4610	39.483077	73.586142	4612	62	122.5	1.8	3603.0	DJI_20260813163855_0001_Z_t0524.jpg
DJI_20260813163855_0001_Z	533.7	39.483379	73.585529	4611	39.483006	73.586184	4618	70	126.4	5.9	7609.0	DJI_20260813163855_0001_Z_t0533.jpg
DJI_20260813163855_0001_Z	536.3	39.483379	73.585529	4611	39.483030	73.586223	4620	72	123.1	7.5	4092.0	DJI_20260813163855_0001_Z_t0536.jpg
DJI_20260813163855_0001_Z	537.7	39.483380	73.585529	4610	39.483037	73.586250	4622	74	121.6	8.8	3245.0	DJI_20260813163855_0001_Z_t0537.jpg
DJI_20260813163855_0001_Z	546.3	39.483383	73.585526	4610	39.483023	73.586374	4631	86	118.8	13.8	2397.0	DJI_20260813163855_0001_Z_t0546.jpg
DJI_20260813163855_0001_Z	550.0	39.483386	73.585526	4610	39.483024	73.586377	4631	86	118.8	13.9	2987.0	DJI_20260813163855_0001_Z_t0550.jpg
DJI_20260813163855_0001_Z	552.3	39.483387	73.585527	4611	39.483024	73.586397	4633	88	118.3	14.5	4092.0	DJI_20260813163855_0001_Z_t0552.jpg
