track	t_best	t0	t1	bbox	length_px	score	lat	lon	alt
0	135.2	131.2	136.2	1344,398,576,250	607.1	6755.2	39.4862226	73.5854620	4440.9
1	150.2	150.2	150.2	34,602,384,138	402.8	6368.8	39.4859619	73.5857924	4439.5
2	131.2	131.2	131.2	890,374,460,176	483.2	6352.5	39.4862270	73.5854626	4440.9
3	344.4	344.4	344.4	1410,232,510,144	510.3	6329.0	39.4860316	73.5856296	4439.6
4	348.4	345.4	348.4	1414,588,506,40	504.4	6328.9	39.4860309	73.5856298	4439.6
5	248.3	246.3	249.3	22,326,400,142	414.6	6254.7	39.4859098	73.5858019	4439.5
6	150.2	150.2	150.2	1336,844,490,146	501.5	6165.6	39.4859619	73.5857924	4439.5
7	346.4	345.4	348.4	1416,376,504,38	502.3	6153.9	39.4860310	73.5856300	4439.6
8	154.2	154.2	154.2	1294,844,488,204	520.2	5973.5	39.4859617	73.5857913	4439.5
9	157.2	157.2	159.2	1424,746,366,300	437.0	5342.1	39.4859621	73.5857914	4439.5
10	155.2	153.2	155.2	1304,832,406,248	461.3	5310.4	39.4859618	73.5857911	4439.5
11	347.4	345.4	348.4	1476,272,434,96	430.8	5299.5	39.4860308	73.5856299	4439.6
12	98.1	95.1	100.1	276,98,448,326	545.4	5236.6	39.4862226	73.5854596	4440.9
13	154.2	153.2	154.2	1372,714,430,302	489.7	5028.0	39.4859617	73.5857913	4439.5
14	173.2	168.2	178.2	1680,646,192,112	216.4	5008.6	39.4859632	73.5857881	4439.5
15	153.2	153.2	154.2	1450,324,436,226	467.4	4982.6	39.4859619	73.5857916	4439.4
16	153.2	153.2	155.2	1502,834,306,172	344.7	4950.3	39.4859619	73.5857916	4439.4
17	150.2	150.2	150.2	716,332,432,194	465.9	4830.7	39.4859619	73.5857924	4439.5
18	159.2	157.2	159.2	1418,818,412,146	431.7	4827.0	39.4859626	73.5857915	4439.5
19	150.2	150.2	150.2	1452,692,412,226	451.3	4667.4	39.4859619	73.5857924	4439.5
20	150.2	148.2	150.2	1290,428,232,94	246.3	4630.5	39.4859619	73.5857924	4439.5
21	345.4	345.4	348.4	1408,530,512,124	509.0	4626.3	39.4860314	73.5856298	4439.6
22	338.4	338.4	342.4	1504,988,416,78	417.3	4609.3	39.4860319	73.5856296	4439.6
23	169.2	168.2	172.2	668,812,216,122	234.0	4569.2	39.4859630	73.5857889	4439.5
24	345.4	345.4	345.4	1496,182,418,76	418.5	4487.6	39.4860314	73.5856298	4439.6
25	160.2	160.2	161.2	1384,870,418,154	437.6	4427.0	39.4859629	73.5857913	4439.4
26	156.2	156.2	156.2	1284,710,202,158	251.1	4372.1	39.4859620	73.5857912	4439.5
27	85.1	85.1	85.1	0,326,292,282	397.6	4371.3	39.4862245	73.5854589	4440.9
28	150.2	150.2	150.2	176,448,370,182	392.9	4367.0	39.4859619	73.5857924	4439.5
29	346.4	346.4	347.4	1674,790,246,50	245.3	4227.5	39.4860310	73.5856300	4439.6
30	155.2	155.2	155.2	1494,872,290,190	333.6	4188.2	39.4859618	73.5857911	4439.5
31	96.1	92.1	100.1	0,188,386,330	473.9	4181.4	39.4862226	73.5854592	4440.9
32	150.2	150.2	150.2	280,584,280,82	288.6	4166.1	39.4859619	73.5857924	4439.5
