track	t_best	t0	t1	bbox	score	lat	lon	alt
0	113.1	113.1	113.1	971,351,85,68	11565.6	39.5040071	73.5987460	4240.4
1	11.0	11.0	11.0	23,335,50,84	9698.9	39.4911085	73.5884032	4445.6
2	45.0	45.0	45.0	193,951,38,88	6564.9	39.4952230	73.5916707	4377.7
3	38.0	35.0	38.0	612,967,85,76	5931.2	39.4943211	73.5909514	4406.0
4	93.1	93.1	93.1	463,0,60,39	5688.5	39.5013848	73.5967203	4320.9
5	121.1	121.1	121.1	1213,345,28,126	5474.9	39.5050337	73.5995863	4208.4
6	105.1	105.1	105.1	1073,673,56,106	5426.5	39.5029666	73.5978923	4272.8
7	106.1	106.1	106.1	1357,643,76,62	5219.3	39.5030941	73.5979978	4268.8
8	83.1	82.1	83.1	531,145,46,69	5153.0	39.5000647	73.5957349	4361.4
9	22.0	21.0	22.0	693,413,56,76	5031.8	39.4925385	73.5895354	4445.6
10	41.0	41.0	41.0	555,671,76,46	4984.7	39.4947059	73.5912570	4393.9
11	121.1	121.1	121.1	117,165,50,92	4965.5	39.5050337	73.5995863	4208.4
12	74.1	74.1	74.1	0,665,65,104	4924.0	39.4989156	73.5947869	4365.4
13	74.1	74.1	74.1	81,401,38,136	4830.3	39.4989156	73.5947869	4365.4
14	44.0	44.0	44.0	1436,671,43,42	4546.7	39.4950944	73.5915661	4381.8
15	116.1	116.1	120.1	388,185,29,87	4538.9	39.5043921	73.5990611	4228.4
16	108.1	104.1	108.1	177,0,22,103	4391.3	39.5033501	73.5982085	4260.8
17	21.0	21.0	23.0	537,805,32,118	4380.6	39.4924098	73.5894334	4445.6
18	0.0	0.0	4.0	1151,737,58,48	4355.0	39.4895773	73.5874431	4445.6
19	62.1	62.1	62.1	1863,551,57,32	4250.7	39.4973769	73.5935162	4367.3
20	110.1	110.1	110.1	293,571,40,70	4225.4	39.5036199	73.5984292	4252.4
21	19.0	15.0	19.0	481,71,30,70	4112.2	39.4921507	73.5892280	4445.6
22	111.1	104.1	111.1	1670,353,87,38	3952.2	39.5037362	73.5985241	4248.9
23	80.1	80.1	80.1	199,377,34,64	3909.9	39.4996833	73.5954200	4365.5
24	39.0	39.0	39.0	745,177,43,34	3843.4	39.4944495	73.5910533	4402.0
25	53.1	53.1	53.1	515,983,38,58	3793.9	39.4962310	73.5925439	4367.1
26	12.0	12.0	12.0	0,368,55,31	3742.2	39.4912427	73.5885054	4445.6
27	101.1	101.1	101.1	1791,401,26,79	3730.9	39.5024402	73.5974995	4288.8
28	16.0	16.0	16.0	1396,865,45,50	3711.7	39.4917603	73.5889192	4445.6
29	113.1	113.1	113.1	1731,17,33,48	3580.5	39.5040071	73.5987460	4240.4
30	22.0	22.0	22.0	121,959,60,28	3579.7	39.4925385	73.5895354	4445.6
31	15.0	15.0	15.0	1487,0,21,55	3456.3	39.4916315	73.5888172	4445.7
32	45.0	45.0	45.0	253,939,38,120	3443.1	39.4952230	73.5916707	4377.7
33	55.1	55.1	55.1	145,994,27,73	3429.9	39.4964841	73.5927631	4367.2
34	31.0	31.0	31.0	1171,775,32,40	3306.5	39.4934938	73.5902948	4434.1
35	64.1	64.1	64.1	1675,609,26,120	3293.3	39.4976335	73.5937283	4366.7
36	79.1	79.1	79.1	1569,824,20,105	3274.9	39.4995555	73.5953146	4365.5
37	1.0	1.0	1.0	1485,525,40,56	3266.8	39.4897147	73.5875280	4445.5
38	37.0	37.0	37.0	1669,985,60,40	3261.2	39.4941958	73.5908522	4409.9
39	61.1	61.1	61.1	1225,103,30,34	3164.9	39.4972488	73.5934108	4367.4
40	52.1	52.1	52.1	491,685,38,34	3156.7	39.4961062	73.5924361	4367.0
41	111.1	111.1	111.1	1569,199,38,46	3153.0	39.5037362	73.5985241	4248.9
42	11.0	11.0	13.0	107,75,16,80	3071.6	39.4911085	73.5884032	4445.6
43	83.1	82.1	84.1	183,545,28,48	2970.2	39.5000647	73.5957349	4361.4
44	11.0	8.0	11.0	549,285,44,124	2932.8	39.4911085	73.5884032	4445.6
45	92.1	92.1	92.1	760,883,11,118	2921.5	39.5012520	73.5966227	4325.0
46	25.0	25.0	25.0	0,697,37,48	2866.9	39.4929284	73.5898451	4445.6
47	107.1	107.1	107.1	1776,565,33,51	2849.0	39.5032224	73.5981035	4264.8
48	67.1	67.1	67.1	291,789,38,102	2840.3	39.4980165	73.5940450	4365.9
49	2.0	0.0	4.0	545,849,32,38	2803.3	39.4898536	73.5876136	4445.5
50	109.1	102.1	109.1	85,0,34,65	2796.3	39.5034795	73.5983145	4256.8
51	98.1	98.1	98.1	1244,287,26,37	2694.2	39.5020445	73.5972080	4300.9
52	82.1	82.1	83.1	428,201,21,72	2674.3	39.4999381	73.5956301	4364.7
53	37.0	37.0	37.0	508,209,27,46	2669.7	39.4941958	73.5908522	4409.9
54	86.1	86.1	86.1	0,785,29,74	2635.2	39.5004632	73.5960381	4349.3
55	36.0	36.0	36.0	1390,1051,43,29	2635.0	39.4940710	73.5907533	4413.9
56	6.0	5.0	6.0	123,831,46,30	2599.8	39.4904040	73.5879541	4445.6
57	39.0	39.0	39.0	733,937,40,32	2581.9	39.4944495	73.5910533	4402.0
58	30.0	28.0	30.0	973,729,44,36	2581.8	39.4933974	73.5902175	4438.0
59	24.0	23.0	24.0	94,417,29,28	2537.3	39.4927973	73.5897409	4445.6
60	110.1	110.1	110.1	385,87,38,46	2519.9	39.5036199	73.5984292	4252.4
61	103.1	103.1	103.1	1873,7,24,64	2514.1	39.5027021	73.5976930	4280.8
62	51.1	46.0	51.1	1681,991,38,42	2458.0	39.4959787	73.5923258	4367.0
63	24.0	24.0	24.0	1386,139,29,30	2442.2	39.4927973	73.5897409	4445.6
64	93.1	93.1	93.1	1321,369,40,32	2439.7	39.5013848	73.5967203	4320.9
65	83.1	83.1	83.1	1522,759,32,56	2418.4	39.5000647	73.5957349	4361.4
66	93.1	93.1	93.1	117,689,29,39	2416.3	39.5013848	73.5967203	4320.9
67	16.0	16.0	16.0	97,808,24,48	2358.6	39.4917603	73.5889192	4445.6
68	42.0	42.0	45.0	1467,81,32,30	2354.2	39.4948338	73.5913589	4389.8
69	58.1	58.1	58.1	427,271,22,86	2352.0	39.4968625	73.5930910	4367.6
70	4.0	4.0	7.0	473,366,20,41	2340.2	39.4901284	73.5877836	4445.6
71	50.1	45.0	50.1	1789,225,57,32	2339.8	39.4958528	73.5922173	4367.2
72	53.1	53.1	53.1	1677,767,24,38	2327.8	39.4962310	73.5925439	4367.1
73	112.1	112.1	112.1	1769,561,31,80	2293.9	39.5038643	73.5986290	4244.9
74	27.0	27.0	32.0	1601,619,34,38	2290.7	39.4931588	73.5900285	4445.4
75	84.1	84.1	85.1	957,779,16,70	2262.9	39.5001950	73.5958409	4357.5
76	1.0	1.0	1.0	1717,347,34,25	2253.8	39.4897147	73.5875280	4445.5
77	34.0	34.0	34.0	1123,819,46,38	2226.9	39.4938275	73.5905599	4422.0
78	86.1	86.1	86.1	67,715,14,44	2211.3	39.5004632	73.5960381	4349.3
79	57.1	57.1	57.1	609,1025,18,40	2141.5	39.4967364	73.5929818	4367.5
80	54.1	54.1	54.1	271,1035,24,30	2140.5	39.4963582	73.5926541	4367.2
81	106.1	106.1	106.1	1459,655,16,63	2124.6	39.5030941	73.5979978	4268.8
82	53.1	53.1	53.1	735,727,32,38	2105.5	39.4962310	73.5925439	4367.1
83	99.1	98.1	102.1	125,697,26,53	2089.6	39.5021762	73.5973049	4296.9
84	104.1	104.1	104.1	1332,271,15,112	2089.3	39.5028343	73.5977906	4276.8
85	7.0	7.0	12.0	763,367,25,56	2080.4	39.4905546	73.5880474	4445.6
86	23.0	22.0	23.0	504,428,29,27	2070.9	39.4926690	73.5896389	4445.6
87	50.1	47.0	50.1	1855,951,21,52	2070.2	39.4958528	73.5922173	4367.2
88	1.0	1.0	1.0	3,771,24,32	2068.4	39.4897147	73.5875280	4445.5
89	101.1	101.1	101.1	273,81,24,52	2062.7	39.5024402	73.5974995	4288.8
90	117.1	115.1	117.1	569,257,32,60	2059.8	39.5045199	73.5991658	4224.4
91	19.0	19.0	20.0	1199,0,42,33	2058.4	39.4921507	73.5892280	4445.6
92	24.0	24.0	24.0	557,1057,28,23	2051.8	39.4927973	73.5897409	4445.6
93	81.1	81.1	81.1	97,69,10,92	2047.5	39.4998114	73.5955256	4365.4
94	118.1	117.1	118.1	45,911,18,86	2025.2	39.5046478	73.5992708	4220.4
95	82.1	82.1	82.1	0,97,15,36	2015.4	39.4999381	73.5956301	4364.7
96	108.1	108.1	108.1	161,969,44,22	2009.2	39.5033501	73.5982085	4260.8
97	1.0	1.0	5.0	1705,1009,33,47	1990.0	39.4897147	73.5875280	4445.5
98	22.0	22.0	23.0	0,413,25,54	1988.4	39.4925385	73.5895354	4445.6
99	29.0	29.0	29.0	1074,399,33,22	1985.0	39.4933107	73.5901484	4441.5
100	98.1	98.1	98.1	1325,865,28,26	1979.8	39.5020445	73.5972080	4300.9
101	96.1	95.1	96.1	121,395,20,46	1960.2	39.5017792	73.5970120	4309.0
102	12.0	12.0	12.0	1847,656,22,61	1935.9	39.4912427	73.5885054	4445.6
103	86.1	83.1	86.1	31,921,13,78	1934.1	39.5004632	73.5960381	4349.3
104	111.1	111.1	111.1	1859,577,24,28	1932.0	39.5037362	73.5985241	4248.9
105	20.0	16.0	20.0	1652,305,29,38	1929.6	39.4922793	73.5893300	4445.6
106	68.1	67.1	72.1	0,797,15,63	1918.9	39.4981457	73.5941516	4365.7
107	87.1	85.1	87.1	417,947,18,56	1899.8	39.5005948	73.5961354	4345.2
108	107.1	107.1	107.1	953,105,14,58	1878.2	39.5032224	73.5981035	4264.8
109	102.1	102.1	103.1	0,963,27,30	1870.7	39.5025716	73.5975966	4284.7
110	53.1	53.1	53.1	65,977,27,26	1842.4	39.4962310	73.5925439	4367.1
111	113.1	113.1	113.1	595,65,22,53	1835.4	39.5040071	73.5987460	4240.4
112	77.1	77.1	77.1	1627,795,18,77	1833.8	39.4992990	73.5951032	4365.5
113	104.1	104.1	104.1	723,195,14,48	1828.2	39.5028343	73.5977906	4276.8
114	98.1	98.1	98.1	1175,865,48,24	1827.7	39.5020445	73.5972080	4300.9
115	2.0	2.0	4.0	609,923,32,22	1823.0	39.4898536	73.5876136	4445.5
116	65.1	65.1	65.1	85,1007,13,73	1820.0	39.4977615	73.5938343	4366.4
117	101.1	101.1	101.1	158,587,17,46	1817.5	39.5024402	73.5974995	4288.8
118	77.1	74.1	77.1	697,499,20,62	1811.9	39.4992990	73.5951032	4365.5
119	120.1	120.1	121.1	165,801,22,56	1810.5	39.5049058	73.5994819	4212.4
120	54.1	54.1	54.1	57,177,29,44	1805.8	39.4963582	73.5926541	4367.2
121	109.1	109.1	109.1	1369,697,18,48	1804.9	39.5034795	73.5983145	4256.8
122	26.0	26.0	26.0	201,971,32,44	1800.3	39.4930566	73.5899473	4445.7
123	99.1	99.1	99.1	453,559,12,66	1798.9	39.5021762	73.5973049	4296.9
124	78.1	78.1	78.1	330,1009,19,71	1790.0	39.4994273	73.5952090	4365.5
125	121.1	120.1	121.1	580,409,13,78	1778.4	39.5050337	73.5995863	4208.4
126	110.1	110.1	110.1	93,995,25,44	1773.5	39.5036199	73.5984292	4252.4
127	116.1	116.1	116.1	289,835,24,38	1766.3	39.5043921	73.5990611	4228.4
128	2.0	2.0	2.0	1851,593,20,68	1761.7	39.4898536	73.5876136	4445.5
129	0.0	0.0	0.0	276,43,33,48	1753.3	39.4895773	73.5874431	4445.6
130	31.0	31.0	31.0	1249,117,22,28	1748.4	39.4934938	73.5902948	4434.1
131	41.0	41.0	41.0	1005,695,34,32	1744.6	39.4947059	73.5912570	4393.9
132	88.1	88.1	88.1	1713,177,50,30	1743.0	39.5007263	73.5962331	4341.0
133	57.1	57.1	57.1	1851,363,16,102	1742.8	39.4967364	73.5929818	4367.5
134	17.0	17.0	17.0	903,759,26,22	1731.8	39.4918905	73.5890223	4445.6
135	14.0	13.0	18.0	385,519,26,44	1728.1	39.4915012	73.5887138	4445.7
136	55.1	55.1	55.1	17,1009,16,40	1722.2	39.4964841	73.5927631	4367.2
137	46.0	46.0	46.0	769,0,48,23	1716.4	39.4953488	73.5917801	4373.7
138	0.0	0.0	0.0	17,1041,22,36	1713.0	39.4895773	73.5874431	4445.6
139	14.0	14.0	14.0	1795,147,35,32	1711.9	39.4915012	73.5887138	4445.7
140	17.0	17.0	17.0	749,713,24,24	1691.5	39.4918905	73.5890223	4445.6
141	109.1	109.1	109.1	1777,693,22,66	1691.1	39.5034795	73.5983145	4256.8
142	61.1	61.1	63.1	1889,229,31,28	1683.5	39.4972488	73.5934108	4367.4
143	54.1	53.1	54.1	751,331,36,28	1681.1	39.4963582	73.5926541	4367.2
144	100.1	94.1	100.1	589,569,18,38	1676.5	39.5023087	73.5974026	4292.9
145	11.0	7.0	11.0	24,245,36,44	1672.7	39.4911085	73.5884032	4445.6
146	108.1	108.1	108.1	107,957,34,20	1670.4	39.5033501	73.5982085	4260.8
147	12.0	12.0	12.0	1295,0,28,17	1669.5	39.4912427	73.5885054	4445.6
148	27.0	25.0	27.0	1575,953,28,28	1667.3	39.4931588	73.5900285	4445.4
149	77.1	77.1	77.1	291,333,8,78	1657.4	39.4992990	73.5951032	4365.5
150	47.0	47.0	47.0	899,322,28,45	1657.3	39.4954746	73.5918905	4370.1
151	105.1	105.1	105.1	31,931,14,60	1649.0	39.5029666	73.5978923	4272.8
152	95.1	95.1	96.1	1765,799,31,24	1640.9	39.5016473	73.5969150	4313.0
153	101.1	97.1	103.1	1751,498,58,23	1635.6	39.5024402	73.5974995	4288.8
154	108.1	108.1	110.1	1457,383,36,20	1629.5	39.5033501	73.5982085	4260.8
155	121.1	121.1	121.1	477,801,16,56	1625.9	39.5050337	73.5995863	4208.4
156	102.1	102.1	103.1	327,205,12,60	1611.5	39.5025716	73.5975966	4284.7
157	113.1	113.1	113.1	696,1023,19,34	1604.0	39.5040071	73.5987460	4240.4
158	51.1	51.1	51.1	53,439,15,48	1600.4	39.4959787	73.5923258	4367.0
159	23.0	23.0	23.0	801,419,22,28	1582.0	39.4926690	73.5896389	4445.6
160	41.0	41.0	41.0	217,474,30,29	1559.2	39.4947059	73.5912570	4393.9
161	80.1	80.1	80.1	1391,401,22,40	1554.5	39.4996833	73.5954200	4365.5
162	87.1	87.1	87.1	97,561,16,58	1551.1	39.5005948	73.5961354	4345.2
163	101.1	101.1	105.1	1825,483,36,38	1550.3	39.5024402	73.5974995	4288.8
164	25.0	25.0	25.0	307,386,20,35	1544.8	39.4929284	73.5898451	4445.6
165	104.1	104.1	106.1	73,753,48,20	1535.6	39.5028343	73.5977906	4276.8
166	102.1	98.1	102.1	7,441,11,56	1535.4	39.5025716	73.5975966	4284.7
167	36.0	36.0	36.0	1825,785,30,24	1522.4	39.4940710	73.5907533	4413.9
168	98.1	98.1	103.1	1497,223,22,24	1518.4	39.5020445	73.5972080	4300.9
169	74.1	74.1	74.1	5,863,20,44	1513.7	39.4989156	73.5947869	4365.4
170	93.1	93.1	93.1	293,317,16,36	1513.2	39.5013848	73.5967203	4320.9
171	58.1	58.1	59.1	97,875,41,28	1497.5	39.4968625	73.5930910	4367.6
172	118.1	118.1	121.1	1365,769,28,32	1496.1	39.5046478	73.5992708	4220.4
173	100.1	100.1	100.1	767,904,18,62	1495.0	39.5023087	73.5974026	4292.9
174	42.0	42.0	42.0	1602,339,24,44	1492.5	39.4948338	73.5913589	4389.8
175	76.1	76.1	76.1	1897,447,23,18	1491.6	39.4991713	73.5949980	4365.4
176	26.0	26.0	27.0	1480,497,31,24	1489.3	39.4930566	73.5899473	4445.7
177	74.1	70.1	74.1	1843,113,21,80	1483.1	39.4989156	73.5947869	4365.4
178	37.0	37.0	37.0	233,86,26,31	1470.4	39.4941958	73.5908522	4409.9
179	93.1	93.1	93.1	205,959,16,34	1469.3	39.5013848	73.5967203	4320.9
180	97.1	93.1	97.1	903,673,26,32	1465.8	39.5019130	73.5971107	4304.9
181	2.0	2.0	3.0	338,0,21,23	1458.0	39.4898536	73.5876136	4445.5
182	112.1	108.1	112.1	61,177,6,58	1455.3	39.5038643	73.5986290	4244.9
183	93.1	93.1	93.1	1589,289,24,26	1444.9	39.5013848	73.5967203	4320.9
184	55.1	55.1	55.1	101,337,18,64	1444.5	39.4964841	73.5927631	4367.2
185	119.1	115.1	121.1	659,905,22,56	1442.4	39.5047776	73.5993768	4216.4
186	11.0	11.0	11.0	77,187,20,22	1439.4	39.4911085	73.5884032	4445.6
187	117.1	117.1	119.1	1009,761,24,32	1424.1	39.5045199	73.5991658	4224.4
188	116.1	116.1	119.1	1830,1041,26,39	1416.8	39.5043921	73.5990611	4228.4
189	22.0	22.0	22.0	193,831,20,34	1408.5	39.4925385	73.5895354	4445.6
190	110.1	110.1	110.1	311,129,40,20	1407.9	39.5036199	73.5984292	4252.4
191	105.1	105.1	106.1	1727,769,18,56	1390.1	39.5029666	73.5978923	4272.8
