ранг	ранг_в_группе	расстояние	сигнатура	d_ab	d_L	ловушка	d_ловушки	L	a	b	C	цвет_измерен	track	t_best	t0	t1	bbox	score	lat	lon	alt
1	1	1.602	стакан-марка-красная	12.2	14.1	порода-охристая	0.978	63.9	13.0	13.0	18.4	bbox	0	113.1	113.1	113.1	971,351,85,68	11565.6	39.5040071	73.5987460	4240.4
2	2	1.921	палка-древко-контроль	14.3	19.6	снег-освещённый	0.870	61.2	-5.0	-1.0	5.1	bbox	1	11.0	11.0	11.0	23,335,50,84	9698.9	39.4911085	73.5884032	4445.6
3	3	0.806	стакан-марка-красная	6.0	8.2	порода-охристая	0.861	58.0	11.0	7.0	13.0	bbox	2	45.0	45.0	45.0	193,951,38,88	6564.9	39.4952230	73.5916707	4377.7
4	4	0.638	стакан-марка-красная	5.1	0.4	порода-охристая	0.749	49.4	10.0	6.0	11.7	bbox	3	38.0	35.0	38.0	612,967,85,76	5931.2	39.4943211	73.5909514	4406.0
5	5	1.284	стакан-марка-красная	9.8	10.2	порода-охристая	0.928	60.0	15.0	10.0	18.0	bbox	4	93.1	93.1	93.1	463,0,60,39	5688.5	39.5013848	73.5967203	4320.9
6	6	1.455	палка-ручка-пробка	11.4	8.2	лишайник-жёлтый-на-камне	0.907	83.9	-2.0	14.0	14.1	bbox	5	121.1	121.1	121.1	1213,345,28,126	5474.9	39.5050337	73.5995863	4208.4
7	7	2.657	стакан-марка-красная	21.2	5.9	корка-жёлтая-на-скале	1.453	55.7	-9.0	8.0	12.0	bbox	6	105.1	105.1	105.1	1073,673,56,106	5426.5	39.5029666	73.5978923	4272.8
8	8	1.910	палка-ручка-пробка	14.8	13.7	корка-жёлтая-на-скале	1.128	62.0	-8.0	16.0	17.9	bbox	7	106.1	106.1	106.1	1357,643,76,62	5219.3	39.5030941	73.5979978	4268.8
9	9	1.792	стакан-марка-красная	14.0	10.2	порода-в-тени	0.708	39.6	-3.0	0.0	3.0	bbox	8	83.1	82.1	83.1	531,145,46,69	5153.0	39.5000647	73.5957349	4361.4
10	10	0.529	палка-ручка-пробка	2.2	12.6	лишайник-жёлтый-на-камне	0.643	63.1	3.0	22.0	22.2	bbox	9	22.0	21.0	22.0	693,413,56,76	5031.8	39.4925385	73.5895354	4445.6
11	11	1.398	стакан-марка-красная	11.2	0.0	порода-охристая	0.746	49.8	16.0	11.0	19.4	bbox	10	41.0	41.0	41.0	555,671,76,46	4984.7	39.4947059	73.5912570	4393.9
12	12	1.710	стакан-марка-красная	12.0	22.7	снег-освещённый	0.295	72.5	-1.0	0.0	1.0	bbox	11	121.1	121.1	121.1	117,165,50,92	4965.5	39.5050337	73.5995863	4208.4
13	13	1.482	палка-ручка-пробка	11.7	6.7	лишайник-жёлтый-на-камне	0.877	82.4	1.0	12.0	12.0	bbox	12	74.1	74.1	74.1	0,665,65,104	4924.0	39.4989156	73.5947869	4365.4
14	14	2.140	палка-ручка-пробка	17.0	7.0	снег-розовый	0.993	82.7	-3.0	8.0	8.5	bbox	13	74.1	74.1	74.1	81,401,38,136	4830.3	39.4989156	73.5947869	4365.4
15	15	1.828	палка-ручка-пробка	13.6	18.8	порода-охристая	1.037	56.9	16.0	15.0	21.9	bbox	14	44.0	44.0	44.0	1436,671,43,42	4546.7	39.4950944	73.5915661	4381.8
16	16	1.911	стакан-марка-красная	11.2	36.5	снег-освещённый	0.264	86.3	0.0	-1.0	1.0	bbox	15	116.1	116.1	120.1	388,185,29,87	4538.9	39.5043921	73.5990611	4228.4
17	17	1.544	палка-ручка-пробка	12.1	9.0	лишайник-жёлтый-на-камне	1.701	66.7	-6.0	28.0	28.6	bbox	16	108.1	104.1	108.1	177,0,22,103	4391.3	39.5033501	73.5982085	4260.8
18	18	1.495	стакан-марка-красная	9.2	26.7	снег-розовый	0.131	76.5	2.0	3.0	3.6	bbox	17	21.0	21.0	23.0	537,805,32,118	4380.6	39.4924098	73.5894334	4445.6
19	19	2.407	палка-ручка-пробка	19.2	4.7	снег-освещённый	1.298	71.0	-7.0	8.0	10.6	bbox	18	0.0	0.0	4.0	1151,737,58,48	4355.0	39.4895773	73.5874431	4445.6
20	20	1.263	стакан-марка-красная	10.0	3.5	порода-охристая	0.548	53.3	12.0	11.0	16.3	bbox	19	62.1	62.1	62.1	1863,551,57,32	4250.7	39.4973769	73.5935162	4367.3
21	21	1.298	стакан-марка-красная	10.0	9.8	корка-жёлтая-на-скале	1.104	40.0	3.0	7.0	7.6	bbox	20	110.1	110.1	110.1	293,571,40,70	4225.4	39.5036199	73.5984292	4252.4
22	22	1.177	стакан-марка-красная	5.8	25.9	снег-розовый	0.904	75.7	8.0	6.0	10.0	bbox	21	19.0	15.0	19.0	481,71,30,70	4112.2	39.4921507	73.5892280	4445.6
23	23	1.523	палка-ручка-пробка	12.1	5.5	порода-охристая	1.564	70.2	16.0	18.0	24.1	bbox	22	111.1	104.1	111.1	1670,353,87,38	3952.2	39.5037362	73.5985241	4248.9
24	24	1.313	палка-ручка-контроль	6.3	29.4	порода-охристая	1.670	28.2	12.0	24.0	26.8	bbox	23	80.1	80.1	80.1	199,377,34,64	3909.9	39.4996833	73.5954200	4365.5
25	25	1.859	стакан-марка-красная	11.2	34.3	снег-освещённый	0.213	84.1	0.0	-1.0	1.0	bbox	24	39.0	39.0	39.0	745,177,43,34	3843.4	39.4944495	73.5910533	4402.0
26	26	1.367	палка-ручка-пробка	10.6	9.0	порода-охристая	1.133	66.7	12.0	15.0	19.2	bbox	25	53.1	53.1	53.1	515,983,38,58	3793.9	39.4962310	73.5925439	4367.1
