ранг	ранг_в_группе	расстояние	сигнатура	d_ab	d_L	ловушка	d_ловушки	L	a	b	C	цвет_измерен	track	t_best	t0	t1	bbox	score	lat	lon	alt
1	1	0.860	стакан-марка-красная	4.0	19.6	порода-в-тени	1.204	30.2	7.0	1.0	7.1	bbox	0	22.0	22.0	23.0	1521,695,60,26	3337.0			
2	2	1.716	рюкзак-синий	10.2	32.2	снег-освещённый	0.611	71.0	-1.0	-4.0	4.1	bbox	1	12.0	12.0	14.0	147,357,136,18	2993.3			
3	3	1.448	стакан-марка-красная	11.2	10.6	снег-освещённый	0.750	60.4	0.0	-1.0	1.0	bbox	2	22.0	22.0	23.0	1711,723,70,26	2984.0			
4	4	1.222	стакан-марка-красная	9.2	11.4	порода-в-тени	0.956	38.4	2.0	3.0	3.6	bbox	3	6.0	5.0	7.0	773,1048,40,32	2490.2			
5	5	1.305	стакан-марка-красная	10.4	0.8	снег-розовый	1.058	49.0	1.0	4.0	4.1	bbox	4	7.0	7.0	7.0	728,1061,41,19	2359.0			
6	6	1.398	стакан-марка-красная	11.2	0.4	снег-розовый	1.106	50.2	1.0	6.0	6.1	bbox	5	5.0	5.0	7.0	752,1062,41,18	2342.5			
7	7	1.127	палка-древко-контроль	5.0	26.2	снег-в-тени	1.191	67.8	-3.0	-15.0	15.3	bbox	6	0.0	0.0	2.0	657,153,120,37	2337.9			
8	8	0.722	рюкзак-синий	3.0	17.3	снег-в-тени	0.844	56.1	-2.0	-14.0	14.1	bbox	7	4.0	3.0	9.0	185,493,84,70	1865.6			
9	9	0.686	рюкзак-синий	3.2	15.7	снег-в-тени	0.715	54.5	-2.0	-13.0	13.2	bbox	8	2.0	0.0	2.0	271,483,94,70	1486.3			
10	10	1.341	рюкзак-синий	4.5	34.1	снег-в-тени	1.544	72.9	-1.0	-18.0	18.0	bbox	9	0.0	0.0	0.0	993,98,45,19	1208.1			
11	11	1.463	рюкзак-синий	5.8	35.5	снег-в-тени	1.688	74.3	-2.0	-19.0	19.1	bbox	10	5.0	2.0	9.0	573,88,52,17	914.8			
12	12	2.241	стакан-марка-красная	11.0	49.4	снег-освещённый	0.669	99.2	0.0	0.0	0.0	bbox	11	17.0	17.0	17.0	1735,425,28,15	909.7			
13	13	1.350	палка-древко-контроль	5.0	33.5	снег-в-тени	1.363	75.1	-3.0	-15.0	15.3	bbox	12	3.0	0.0	9.0	633,125,58,22	844.7			
14	14	1.607	рюкзак-синий	8.2	34.5	снег-освещённый	0.796	73.3	-1.0	-6.0	6.1	bbox	13	5.0	0.0	11.0	1107,279,35,24	815.1			
15	15	2.095	стакан-марка-красная	13.0	36.9	снег-освещённый	0.244	86.7	-2.0	0.0	2.0	bbox	14	23.0	22.0	23.0	239,473,29,16	749.2			
16	16	0.806	палка-древко-контроль	6.4	2.7	снег-в-тени	1.431	44.3	-3.0	-19.0	19.2	bbox	15	22.0	22.0	22.0	1791,0,9,65	717.6			
17	17	1.679	рюкзак-синий	4.1	44.7	снег-пересвеченный	1.039	83.5	0.0	-10.0	10.0	bbox	16	10.0	10.0	10.0	613,337,52,8	699.2			
18	18	1.535	рюкзак-синий	5.6	38.3	снег-пересвеченный	0.978	77.1	0.0	-8.5	8.5	bbox	17	11.0	11.0	12.0	327,419,42,14	676.5			
19	19	1.339	стакан-марка-красная	10.0	12.9	порода-в-тени	0.708	36.9	1.0	0.0	1.0	bbox	18	7.0	5.0	7.0	925,1022,28,15	633.7			
20	20	1.308	стакан-марка-красная	10.0	10.2	порода-в-тени	0.792	39.6	1.0	0.0	1.0	bbox	19	3.0	3.0	4.0	1047,1049,25,14	630.2			
21	21	1.840	стакан-марка-красная	13.0	23.9	снег-освещённый	0.282	73.7	-2.0	0.0	2.0	bbox	20	15.0	15.0	15.0	313,705,24,8	615.0			
22	22	1.753	стакан-марка-красная	13.0	18.0	снег-освещённый	0.479	67.8	-2.0	0.0	2.0	bbox	21	16.0	16.0	16.0	515,581,30,12	567.2			
23	23	2.134	стакан-марка-красная	12.0	42.4	снег-освещённый	0.476	92.2	-1.0	2.0	2.2	bbox	22	21.0	21.0	21.0	689,474,20,17	540.5			
24	24	1.332	стакан-марка-красная	10.0	12.7	порода-в-тени	0.728	37.1	1.0	0.5	1.1	bbox	23	3.0	3.0	7.0	977,1057,26,11	506.3			
25	25	2.270	стакан-марка-красная	12.1	47.5	снег-пересвеченный	0.568	97.3	0.0	-4.0	4.0	bbox	24	9.0	0.0	9.0	600,221,39,8	466.9			
26	26	0.642	рюкзак-синий	1.4	17.3	снег-в-тени	0.924	56.1	0.0	-15.0	15.0	bbox	25	3.0	0.0	3.0	305,465,22,30	452.5			
27	27	1.256	рюкзак-синий	2.8	33.7	снег-в-тени	1.023	72.5	-1.0	-12.0	12.0	bbox	26	22.0	22.0	23.0	1229,411,42,6	439.1			
28	28	1.619	рюкзак-синий	3.6	43.6	снег-пересвеченный	1.108	82.4	-1.0	-11.0	11.0	bbox	27	1.0	0.0	4.0	993,87,34,14	415.1			
29	29	2.203	стакан-марка-красная	12.4	43.9	снег-пересвеченный	0.411	93.7	-1.0	-2.0	2.2	bbox	28	9.0	7.0	13.0	1155,377,22,18	375.2			
30	30	2.009	стакан-марка-красная	12.0	37.3	снег-освещённый	0.224	87.1	-1.0	0.0	1.0	bbox	29	21.0	21.0	21.0	1640,451,19,16	358.7			
31	31	1.399	рюкзак-синий	4.5	35.9	снег-в-тени	1.001	74.7	-1.0	-10.0	10.0	bbox	30	17.0	17.0	17.0	1495,431,32,4	340.2			
32	32	0.982	рюкзак-синий	5.4	20.0	снег-в-тени	0.432	58.8	-1.0	-9.0	9.1	bbox	31	13.0	12.0	14.0	353,389,32,14	322.3			
33	33	1.933	стакан-марка-красная	12.0	34.1	снег-освещённый	0.167	83.9	-1.0	1.0	1.4	bbox	32	20.0	19.0	20.0	279,735,18,11	320.5			
34	34	1.616	стакан-марка-красная	12.0	16.5	снег-освещённый	0.519	66.3	-1.0	0.0	1.0	bbox	33	12.0	12.0	12.0	873,929,13,8	316.4			
35	35	1.285	рюкзак-синий	2.2	35.1	снег-в-тени	1.130	73.9	-1.0	-13.0	13.0	bbox	34	17.0	17.0	17.0	1619,425,22,8	303.8			
36	36	0.274	рюкзак-синий	1.4	5.9	снег-в-тени	1.023	32.9	0.0	-15.0	15.0	bbox	35	5.0	0.0	5.0	1780,513,17,24	297.6			
37	37	1.774	стакан-марка-красная	11.0	31.4	снег-освещённый	0.177	81.2	0.0	1.0	1.0	bbox	36	19.0	19.0	19.0	645,801,12,22	287.8			
38	38	0.664	рюкзак-синий	5.0	6.3	снег-в-тени	1.278	45.1	-2.0	-18.0	18.1	bbox	37	0.0	0.0	2.0	716,324,15,12	278.4			
39	39	0.922	рюкзак-синий	6.3	13.3	снег-в-тени	0.807	25.5	-1.0	-8.0	8.1	bbox	38	16.0	16.0	16.0	1770,1049,15,8	277.1			
40	40	0.665	рюкзак-синий	4.1	11.8	снег-в-тени	1.254	50.6	0.0	-18.0	18.0	bbox	39	4.0	3.0	9.0	635,343,20,6	275.9			
41	41	2.094	стакан-марка-красная	10.8	44.9	снег-пересвеченный	0.642	94.7	1.0	-3.0	3.2	bbox	40	11.0	10.0	14.0	425,441,21,6	248.7			
42	42	1.887	рюкзак-синий	7.1	46.7	снег-пересвеченный	0.730	85.5	0.0	-7.0	7.0	bbox	41	7.0	7.0	10.0	887,63,10,17	246.8			
43	43	2.051	стакан-марка-красная	12.0	39.0	снег-освещённый	0.287	88.8	-1.0	0.0	1.0	bbox	42	19.0	18.0	20.0	1831,621,18,10	238.8			
