track	t_best	t0	t1	bbox	score	lat	lon	alt
0	3.0	2.0	3.0	1779,665,141,34	6377.3			
1	7.0	7.0	7.0	1811,739,64,144	5484.9			
2	6.0	3.0	6.0	1761,683,60,146	4504.7			
3	6.0	5.0	6.0	1805,55,40,34	3594.5			
4	2.0	1.0	7.0	1555,633,64,42	3549.9			
5	0.0	0.0	1.0	1501,0,72,45	2644.1			
6	1.0	0.0	1.0	1453,45,44,36	2601.8			
7	2.0	2.0	7.0	1495,714,85,19	2486.4			
8	3.0	2.0	3.0	1787,613,122,12	2283.2			
9	3.0	3.0	3.0	1763,1033,64,14	2272.7			
10	3.0	3.0	3.0	1799,521,90,19	2033.5			
11	2.0	1.0	3.0	1517,833,78,10	1879.3			
12	3.0	3.0	3.0	1679,647,72,16	1804.1			
13	2.0	2.0	3.0	1665,737,56,22	1757.0			
14	3.0	3.0	4.0	1777,457,66,19	1710.8			
15	4.0	4.0	4.0	1347,435,44,18	1685.7			
16	6.0	6.0	6.0	1889,153,16,52	1516.9			
17	3.0	2.0	5.0	1211,191,48,40	1512.5			
18	4.0	4.0	5.0	1547,439,48,10	1478.4			
19	3.0	0.0	3.0	1581,283,52,22	1472.8			
20	0.0	0.0	1.0	1525,156,26,23	1194.8			
21	2.0	2.0	5.0	1549,1007,54,16	1182.3			
22	3.0	3.0	3.0	899,1027,40,20	1148.1			
23	3.0	3.0	7.0	1333,141,38,26	1116.5			
24	2.0	2.0	2.0	1546,895,59,8	1095.6			
25	2.0	2.0	2.0	1633,655,48,14	1054.4			
26	3.0	3.0	5.0	329,921,25,24	1026.1			
27	4.0	4.0	7.0	1299,0,34,35	1025.3			
28	3.0	3.0	5.0	1839,853,56,8	981.5			
29	2.0	2.0	5.0	1488,975,35,18	964.9			
30	3.0	1.0	3.0	1885,370,35,13	940.8			
31	0.0	0.0	0.0	1365,15,28,10	851.1			
32	3.0	0.0	3.0	1796,561,27,10	847.7			
33	3.0	3.0	5.0	1893,797,27,14	820.2			
34	7.0	2.0	7.0	1667,547,44,6	814.0			
35	4.0	4.0	4.0	225,791,14,18	713.4			
36	0.0	0.0	0.0	1757,5,22,23	703.7			
37	0.0	0.0	1.0	1853,37,14,24	676.9			
38	2.0	2.0	2.0	511,205,14,20	652.4			
39	6.0	6.0	6.0	1082,909,27,14	630.1			
40	5.0	1.0	7.0	1801,53,12,16	598.3			
41	2.0	2.0	2.0	1341,779,36,10	583.0			
42	1.0	1.0	6.0	1659,217,10,18	568.7			
43	0.0	0.0	1.0	1362,117,33,12	564.8			
44	5.0	5.0	5.0	1801,227,16,22	548.9			
45	4.0	1.0	4.0	1281,771,26,10	537.4			
46	1.0	1.0	1.0	1481,285,10,22	535.6			
47	1.0	1.0	1.0	1197,729,20,8	535.6			
48	6.0	6.0	6.0	1749,891,34,21	529.2			
49	1.0	1.0	1.0	823,162,8,25	523.4			
50	0.0	0.0	1.0	1629,204,10,21	515.5			
51	2.0	2.0	2.0	482,45,9,28	509.4			
52	2.0	2.0	4.0	1501,617,34,6	504.8			
53	4.0	4.0	4.0	1253,391,24,14	460.0			
54	1.0	0.0	1.0	1589,157,20,14	459.1			
55	0.0	0.0	0.0	1687,51,10,19	457.4			
56	5.0	5.0	5.0	1313,325,32,8	410.5			
57	5.0	1.0	5.0	1777,369,16,16	384.0			
58	4.0	4.0	4.0	669,745,14,16	367.7			
59	4.0	4.0	4.0	1625,1054,34,7	363.6			
60	1.0	1.0	1.0	192,815,9,15	363.1			
61	7.0	7.0	7.0	1489,257,10,16	362.8			
62	4.0	4.0	4.0	1489,1041,28,6	347.8			
63	1.0	1.0	1.0	1481,109,16,16	342.2			
64	1.0	1.0	1.0	1270,531,19,10	325.7			
65	7.0	7.0	7.0	1263,699,10,26	323.7			
66	4.0	4.0	4.0	851,149,10,18	316.2			
67	0.0	0.0	0.0	1434,0,15,9	302.8			
68	1.0	1.0	1.0	1083,469,12,8	301.1			
69	0.0	0.0	0.0	1113,9,12,10	298.5			
70	7.0	7.0	7.0	1133,85,12,8	291.1			
71	4.0	0.0	4.0	1373,578,12,9	290.4			
72	4.0	4.0	4.0	977,951,12,15	273.9			
73	0.0	0.0	0.0	1319,51,18,4	262.4			
74	6.0	6.0	7.0	1770,99,7,22	254.9			
75	4.0	4.0	4.0	1380,473,19,8	246.0			
76	0.0	0.0	0.0	1073,351,6,12	237.6			
77	7.0	7.0	7.0	1537,171,6,12	218.8			
78	6.0	5.0	6.0	59,633,8,8	207.3			
79	6.0	6.0	6.0	1907,401,8,16	203.7			
80	7.0	7.0	7.0	1659,23,10,10	196.4			
81	5.0	5.0	5.0	1193,113,8,8	192.1			
82	7.0	7.0	7.0	1321,245,6,10	180.9			
83	5.0	5.0	5.0	1521,541,14,4	178.3			
84	7.0	7.0	7.0	1735,487,10,6	164.4			
85	5.0	5.0	5.0	1677,957,14,6	161.9			
86	7.0	7.0	7.0	193,667,8,6	147.8			
87	7.0	7.0	7.0	1273,541,14,4	125.3			
