track	t_best	t0	t1	bbox	score	lat	lon	alt
0	6.0	5.0	11.0	529,289,24,44	2638.5	39.4825281	73.5847475	4638.0
1	4.0	4.0	9.0	561,0,48,29	2194.6	39.4825277	73.5847469	4638.0
2	29.0	28.0	30.0	1620,257,22,48	2115.3	39.4825254	73.5847475	4638.0
3	41.0	41.0	45.0	545,779,16,70	1743.3	39.4825277	73.5847477	4637.9
4	29.0	24.0	31.0	1620,321,23,48	1263.5	39.4825254	73.5847475	4638.0
5	25.0	25.0	31.0	142,169,19,24	996.2	39.4825251	73.5847471	4638.0
6	53.1	50.1	56.1	993,585,16,16	986.9	39.4825278	73.5847489	4638.0
7	26.0	25.0	27.0	192,65,17,16	968.4	39.4825252	73.5847474	4638.0
8	23.0	23.0	23.0	14,777,13,38	859.8	39.4825249	73.5847465	4638.0
9	0.0	0.0	0.0	1306,971,19,30	859.4	39.4825273	73.5847466	4638.0
10	44.0	38.0	45.0	581,283,12,30	842.7	39.4825277	73.5847479	4638.0
11	45.0	34.0	45.0	611,519,22,16	688.3	39.4825278	73.5847482	4638.0
12	28.0	28.0	28.0	1550,323,20,19	666.0	39.4825254	73.5847473	4638.0
13	40.0	30.0	45.0	1145,817,10,23	619.0	39.4825277	73.5847475	4637.9
14	22.0	22.0	23.0	1401,467,8,30	582.8	39.4825252	73.5847463	4638.0
15	3.0	0.0	5.0	1385,513,8,16	566.1	39.4825276	73.5847466	4638.0
16	50.1	50.1	56.1	1115,134,14,24	564.5	39.4825278	73.5847490	4638.0
17	0.0	0.0	2.0	533,897,10,34	514.1	39.4825273	73.5847466	4638.0
18	58.1	58.1	65.1	1257,17,12,16	509.6	39.4825265	73.5847475	4638.1
19	23.0	23.0	25.0	17,945,10,16	491.5	39.4825249	73.5847465	4638.0
20	57.1	57.1	59.1	1233,49,16,12	480.9	39.4825269	73.5847477	4638.1
21	58.1	57.1	59.1	449,957,16,20	476.7	39.4825265	73.5847475	4638.1
22	5.0	2.0	5.0	1313,801,8,16	473.0	39.4825281	73.5847472	4638.0
23	36.0	34.0	39.0	1896,135,15,18	446.9	39.4825270	73.5847475	4638.0
24	23.0	22.0	23.0	273,282,13,15	425.9	39.4825249	73.5847465	4638.0
25	64.1	63.1	68.1	1627,153,14,15	420.9	39.4825270	73.5847472	4638.0
26	21.0	16.0	21.0	579,361,14,16	404.5	39.4825254	73.5847460	4638.0
27	54.1	54.1	54.1	1622,114,11,15	393.6	39.4825278	73.5847486	4638.0
28	2.0	0.0	2.0	465,1037,12,12	386.9	39.4825275	73.5847465	4638.0
29	40.0	37.0	46.0	607,287,10,19	354.6	39.4825277	73.5847475	4637.9
30	56.1	56.1	60.1	1295,121,26,8	346.4	39.4825273	73.5847480	4638.0
31	23.0	22.0	23.0	147,185,14,16	340.3	39.4825249	73.5847465	4638.0
32	56.1	56.1	58.1	1691,64,22,7	333.7	39.4825273	73.5847480	4638.0
33	44.0	36.0	45.0	481,520,8,24	330.8	39.4825277	73.5847479	4638.0
34	1.0	0.0	1.0	483,1049,10,16	327.3	39.4825273	73.5847465	4638.0
35	27.0	26.0	45.0	168,89,9,16	325.2	39.4825254	73.5847473	4638.0
36	16.0	15.0	20.0	708,145,13,8	322.3	39.4825268	73.5847468	4638.1
37	55.1	55.1	59.1	1842,63,15,12	322.2	39.4825275	73.5847484	4638.0
38	15.0	14.0	21.0	635,273,6,16	317.6	39.4825269	73.5847473	4638.1
39	52.1	52.1	54.1	1689,513,7,16	313.3	39.4825278	73.5847490	4638.0
40	21.0	21.0	21.0	441,770,8,19	304.0	39.4825254	73.5847460	4638.0
41	55.1	49.0	55.1	1009,1049,12,8	297.8	39.4825275	73.5847484	4638.0
42	55.1	55.1	57.1	1439,25,18,8	297.2	39.4825275	73.5847484	4638.0
43	45.0	40.0	45.0	561,740,8,13	281.5	39.4825278	73.5847482	4638.0
44	27.0	25.0	27.0	139,185,14,15	279.9	39.4825254	73.5847473	4638.0
45	0.0	0.0	0.0	119,1016,10,10	276.1	39.4825273	73.5847466	4638.0
46	61.1	61.1	65.1	1630,49,11,8	274.0	39.4825265	73.5847470	4638.0
47	54.1	51.1	56.1	865,561,8,8	273.3	39.4825278	73.5847486	4638.0
48	16.0	10.0	18.0	585,841,10,20	265.5	39.4825268	73.5847468	4638.1
49	37.0	34.0	42.0	1886,107,11,14	260.2	39.4825274	73.5847474	4638.0
50	57.1	55.1	57.1	1089,849,8,8	258.8	39.4825269	73.5847477	4638.1
51	56.1	54.1	56.1	721,937,8,8	254.5	39.4825273	73.5847480	4638.0
52	19.0	16.0	21.0	609,545,8,8	244.8	39.4825252	73.5847455	4638.0
53	20.0	13.0	20.0	557,689,4,16	244.3	39.4825252	73.5847457	4638.0
54	56.1	50.1	56.1	785,993,8,8	244.1	39.4825273	73.5847480	4638.0
55	60.1	60.1	60.1	1722,385,7,12	240.8	39.4825265	73.5847471	4638.0
56	20.0	12.0	20.0	1103,881,6,24	238.0	39.4825252	73.5847457	4638.0
57	48.0	46.0	48.0	1201,641,8,8	237.2	39.4825279	73.5847489	4638.0
58	22.0	22.0	22.0	281,337,8,8	234.4	39.4825252	73.5847463	4638.0
59	59.1	59.1	66.1	1305,0,15,9	230.4	39.4825262	73.5847472	4638.1
60	54.1	53.1	54.1	993,834,12,7	224.9	39.4825278	73.5847486	4638.0
61	31.0	22.0	31.0	125,269,9,10	222.5	39.4825260	73.5847473	4638.0
62	52.1	51.1	52.1	1105,332,9,7	220.4	39.4825278	73.5847490	4638.0
