track	t_best	t0	t1	bbox	length_px	score	lat	lon	alt
0	20.0	16.0	35.1	1274,334,646,432	772.1	11656.5	39.4827886	73.5852193	4611.3
1	34.1	34.1	34.1	926,280,736,626	958.0	11060.6	39.4827905	73.5852191	4611.3
2	18.0	13.0	31.0	1522,292,382,194	419.5	10372.2	39.4827884	73.5852193	4611.3
3	18.0	18.0	20.0	892,594,534,442	687.7	9567.4	39.4827884	73.5852193	4611.3
4	33.1	24.0	34.1	1486,568,416,334	530.7	9172.4	39.4827900	73.5852191	4611.3
5	141.2	141.2	141.2	206,756,364,144	386.0	7734.0	39.4827896	73.5852173	4611.2
6	23.0	22.0	23.0	1350,360,570,468	733.4	7563.0	39.4827891	73.5852204	4611.2
7	45.1	45.1	45.1	976,752,414,144	435.2	7560.6	39.4827936	73.5852176	4611.2
8	0.0	0.0	2.0	1476,196,388,264	461.7	7408.7	39.4827946	73.5852145	4611.2
9	37.1	37.1	37.1	526,0,530,504	727.4	7218.0	39.4827917	73.5852175	4611.2
10	152.2	152.2	152.2	266,640,594,324	659.9	6931.7	39.4828705	73.5849509	4604.2
11	0.0	0.0	0.0	0,330,386,254	459.3	6835.5	39.4827946	73.5852145	4611.2
12	46.1	42.1	51.1	1248,890,382,114	395.6	6710.0	39.4827932	73.5852184	4611.2
13	35.1	35.1	35.1	1306,788,354,200	403.9	6569.7	39.4827910	73.5852186	4611.2
14	5.0	2.0	5.0	1668,276,230,166	276.2	6567.6	39.4827926	73.5852150	4611.3
15	45.1	45.1	45.1	912,846,406,144	427.5	6448.6	39.4827936	73.5852176	4611.2
16	46.1	46.1	51.1	1372,450,456,116	467.6	6392.4	39.4827932	73.5852184	4611.2
17	46.1	46.1	79.1	1232,662,542,176	553.3	6350.1	39.4827932	73.5852184	4611.2
18	102.2	98.2	118.2	1142,718,340,132	356.4	6265.7	39.4827905	73.5852162	4611.2
19	47.1	46.1	52.1	1338,444,456,116	468.1	6238.2	39.4827934	73.5852191	4611.2
20	141.2	140.2	141.2	1500,724,420,148	442.1	6163.2	39.4827896	73.5852173	4611.2
21	104.2	101.2	118.2	1302,654,322,110	337.0	5941.5	39.4827893	73.5852165	4611.2
22	86.1	82.1	90.1	972,786,360,136	376.2	5865.0	39.4827924	73.5852177	4611.2
23	140.2	137.2	141.2	126,832,318,112	330.2	5721.2	39.4827893	73.5852174	4611.2
24	83.1	82.1	87.1	1038,562,418,186	448.3	5692.4	39.4827927	73.5852173	4611.2
25	24.0	24.0	34.1	1410,164,438,352	556.3	5681.1	39.4827889	73.5852206	4611.3
26	35.1	35.1	35.1	1644,482,276,234	358.6	5605.0	39.4827910	73.5852186	4611.2
27	50.1	49.1	81.1	1456,544,464,128	476.9	5594.5	39.4827946	73.5852202	4611.3
28	35.1	35.1	35.1	34,558,428,254	492.9	5482.7	39.4827910	73.5852186	4611.2
29	46.1	46.1	78.1	1140,796,454,184	485.4	5417.7	39.4827932	73.5852184	4611.2
