track	t_best	t0	t1	bbox	score	lat	lon	alt
0	62.1	62.1	62.1	1452,377,61,100	9144.1	39.4862310	73.5854577	4440.9
1	324.4	321.4	326.4	69,99,31,98	6955.3	39.4860313	73.5856298	4439.5
2	152.2	152.2	152.2	761,311,70,49	6086.8	39.4859618	73.5857918	4439.5
3	238.3	238.3	239.3	125,273,73,48	5762.7	39.4859089	73.5857998	4439.5
4	33.0	28.0	33.0	1843,373,77,50	5478.8	39.4862336	73.5854573	4440.9
5	163.2	157.2	166.2	1404,689,62,52	5426.2	39.4859631	73.5857906	4439.5
6	151.2	151.2	151.2	687,267,66,38	5074.3	39.4859618	73.5857922	4439.5
7	330.4	330.4	330.4	65,0,86,29	4309.2	39.4860308	73.5856307	4439.6
8	282.4	279.4	283.4	0,836,57,70	4194.9	39.4859995	73.5857772	4439.5
9	170.2	170.2	172.2	21,597,72,63	4051.3	39.4859630	73.5857886	4439.5
10	119.2	115.1	126.2	602,335,49,49	4023.4	39.4862243	73.5854625	4440.9
11	78.1	78.1	78.1	1809,1027,48,38	3980.8	39.4862259	73.5854595	4440.9
12	171.2	171.2	175.2	13,817,38,37	3826.3	39.4859630	73.5857884	4439.5
13	277.4	277.4	277.4	255,177,60,58	3790.3	39.4859996	73.5857774	4439.5
14	337.4	337.4	342.4	1265,987,39,66	3495.1	39.4860321	73.5856295	4439.6
15	307.4	303.4	309.4	85,245,64,38	3455.5	39.4859967	73.5857760	4439.5
16	280.4	278.4	284.4	73,125,51,80	3356.0	39.4859997	73.5857779	4439.6
17	273.4	272.4	277.4	1749,140,50,47	3339.0	39.4859998	73.5857768	4439.6
18	288.4	286.4	288.4	755,1009,50,64	3338.6	39.4859984	73.5857752	4439.5
19	324.4	321.4	325.4	96,217,33,53	3174.0	39.4860313	73.5856298	4439.5
20	323.4	323.4	323.4	867,562,30,47	3140.4	39.4860310	73.5856301	4439.5
21	331.4	330.4	331.4	427,187,20,54	3092.5	39.4860306	73.5856305	4439.6
22	63.1	63.1	71.1	1455,379,42,70	3039.6	39.4862309	73.5854578	4440.9
23	312.4	311.4	324.4	977,1025,24,55	3005.2	39.4859955	73.5857769	4439.6
24	332.4	332.4	332.4	929,535,32,42	2996.7	39.4860308	73.5856303	4439.6
25	290.4	290.4	296.4	1767,0,36,43	2867.0	39.4859980	73.5857748	4439.5
26	147.2	147.2	147.2	809,257,44,39	2837.5	39.4859623	73.5857913	4439.5
27	172.2	172.2	173.2	9,229,30,54	2796.2	39.4859631	73.5857883	4439.5
28	7.0	3.0	7.0	1793,703,60,38	2789.1	39.4862327	73.5854586	4440.9
29	301.4	301.4	309.4	11,49,32,72	2783.9	39.4859966	73.5857756	4439.5
30	60.1	57.1	60.1	1694,175,53,37	2763.2	39.4862314	73.5854575	4440.9
31	278.4	278.4	282.4	60,257,37,63	2756.5	39.4859996	73.5857780	4439.5
