ранг	ранг_в_группе	расстояние	сигнатура	d_ab	d_L	ловушка	d_ловушки	L	a	b	C	цвет_измерен	track	t_best	t0	t1	bbox	score	lat	lon	alt
1	1	2.058	стакан-марка-красная	11.0	42.7	порода-в-тени	0.552	7.1	0.0	0.0	0.0	bbox	0	26.0	19.0	28.0	805,777,22,40	1818.5	39.4824844	73.5841055	4638.2
2	2	1.954	стакан-марка-красная	12.0	34.9	порода-в-тени	0.264	14.9	-1.0	0.0	1.0	bbox	1	0.0	0.0	5.0	137,353,10,38	1279.1	39.4824853	73.5841073	4638.2
3	3	1.490	стакан-марка-красная	11.0	15.7	порода-в-тени	0.564	34.1	0.0	0.0	0.0	bbox	2	105.2	105.2	106.2	1876,703,21,34	1190.5	39.4826926	73.5838764	4637.3
4	4	1.964	рюкзак-синий	14.9	17.8	порода-в-тени	0.280	21.0	-4.0	0.0	4.0	bbox	3	23.0	16.0	23.0	9,1009,16,32	1104.9	39.4824848	73.5841064	4638.3
5	5	1.707	стакан-марка-красная	11.2	27.4	порода-в-тени	0.260	22.4	0.0	-1.0	1.0	bbox	4	46.1	46.1	49.1	1461,41,16,50	1054.7	39.4826924	73.5838826	4637.3
6	6	1.880	рюкзак-синий	13.3	24.3	порода-в-тени	0.210	14.5	-2.0	-1.0	2.2	bbox	5	77.1	76.1	80.1	641,401,24,16	1054.2	39.4826925	73.5838761	4637.3
7	7	2.121	рюкзак-синий	13.0	38.0	порода-в-тени	0.744	0.8	0.0	-1.0	1.0	bbox	6	6.0	4.0	7.0	337,363,42,18	1048.3	39.4824851	73.5841079	4638.2
8	8	1.435	стакан-марка-красная	11.0	11.0	порода-в-тени	0.715	38.8	0.0	0.0	0.0	bbox	7	132.2	132.2	133.2	969,655,16,30	1042.3	39.4826926	73.5838744	4637.3
9	9	1.726	стакан-марка-красная	11.0	29.0	порода-в-тени	0.280	20.8	0.0	0.0	0.0	bbox	8	102.1	97.1	104.2	945,481,24,16	983.8	39.4826927	73.5838763	4637.3
10	10	1.677	стакан-марка-красная	11.0	26.7	порода-в-тени	0.296	23.1	0.0	0.0	0.0	bbox	9	103.2	101.1	103.2	1825,337,16,16	941.4	39.4826927	73.5838764	4637.3
11	11	1.879	стакан-марка-красная	11.0	35.7	порода-в-тени	0.358	14.1	0.0	0.0	0.0	bbox	10	69.1	68.1	69.1	1553,73,25,16	930.1	39.4826935	73.5838755	4637.3
12	12	1.704	рюкзак-синий	13.3	9.8	порода-в-тени	0.308	29.0	-2.0	-1.0	2.2	bbox	11	60.1	60.1	69.1	1649,49,22,32	832.2	39.4826951	73.5838757	4637.3
13	13	1.677	стакан-марка-красная	11.0	26.7	порода-в-тени	0.296	23.1	0.0	0.0	0.0	bbox	12	94.1	94.1	96.1	1873,849,16,19	815.2	39.4826922	73.5838751	4637.3
