ранг	ранг_в_группе	расстояние	сигнатура	d_ab	d_L	ловушка	d_ловушки	L	a	b	C	цвет_измерен	track	t_best	t0	t1	bbox	score	lat	lon	alt
1490	1490	1.258	стакан-марка-красная	6.0	28.2	порода-в-тени	1.168	21.6	7.0	-3.5	7.8	bbox	1489	111.1	111.1	111.1	497,1069,4,6	78.8	39.4863270	73.5937820	4927.5
1491	1491	1.053	стакан-марка-красная	4.0	25.9	порода-в-тени	1.194	23.9	7.5	-1.0	7.6	bbox	1490	144.1	142.1	144.1	1573,107,8,6	78.7	39.4863290	73.5937840	4927.5
1492	1492	2.310	стакан-марка-красная	14.9	38.4	снег-освещённый	0.834	88.2	-3.0	6.0	6.7	bbox	1491	111.1	111.1	111.1	1621,897,4,8	78.2	39.4863270	73.5937820	4927.5
1493	1493	1.041	рюкзак-синий	4.6	24.3	снег-в-тени	1.368	14.5	4.5	-11.0	11.9	bbox	1492	205.2	205.2	205.2	65,13,8,4	77.8	39.4863270	73.5937840	4927.5
1494	1494	1.358	рюкзак-синий	8.1	25.5	порода-в-тени	0.839	13.3	2.0	-6.0	6.3	bbox	1493	88.1	87.1	89.1	51,993,4,6	77.7	39.4863270	73.5937830	4927.5
1495	1495	1.843	стакан-марка-красная	11.7	31.4	снег-освещённый	0.396	81.2	0.0	-3.0	3.0	bbox	1494	89.1	89.1	89.1	1563,39,4,12	77.7	39.4863270	73.5937830	4927.5
1496	1496	1.565	рюкзак-синий	7.6	34.9	снег-освещённый	0.860	73.7	0.0	-6.5	6.5	bbox	1495	111.1	111.1	111.1	729,609,6,4	77.5	39.4863270	73.5937820	4927.5
1497	1497	1.009	стакан-марка-красная	3.6	25.3	порода-в-тени	1.259	24.5	8.0	-1.0	8.1	bbox	1496	144.1	144.1	144.1	1705,217,6,4	77.5	39.4863290	73.5937840	4927.5
1498	1498	1.321	рюкзак-синий	6.4	29.4	снег-в-тени	0.830	68.2	-3.0	-9.0	9.5	bbox	1497	213.2	213.2	213.2	84,141,9,6	77.4	39.4863280	73.5937840	4927.5
1499	1499	1.554	стакан-марка-красная	11.0	20.0	порода-в-тени	0.437	29.8	0.0	0.0	0.0	bbox	1498	144.1	144.1	147.1	1751,895,8,4	76.9	39.4863290	73.5937840	4927.5
