ранг	ранг_в_группе	расстояние	сигнатура	d_ab	d_L	ловушка	d_ловушки	L	a	b	C	цвет_измерен	track	t_best	t0	t1	bbox	score	lat	lon	alt
1	1	1.147	стакан-марка-красная	7.0	20.8	порода-в-тени	0.848	29.0	4.0	1.0	4.1	bbox	0	41.0	41.0	41.0	1718,0,202,66	14242.4			
2	2	1.326	стакан-марка-красная	10.2	10.2	порода-в-тени	0.782	39.6	1.0	-1.0	1.4	bbox	1	35.0	30.0	35.0	1659,709,261,371	10982.2			
3	3	1.379	стакан-марка-красная	11.0	2.7	снег-розовый	0.937	52.5	0.0	1.0	1.0	bbox	2	24.0	24.0	25.0	1687,885,233,195	8288.2			
4	4	1.258	стакан-марка-красная	9.5	11.8	порода-в-тени	0.814	38.0	2.0	-2.0	2.8	bbox	3	34.0	34.0	34.0	1673,887,144,193	7288.9			
5	5	1.217	стакан-марка-красная	9.2	11.0	порода-в-тени	0.826	38.8	2.0	-1.0	2.2	bbox	4	36.0	36.0	36.0	1721,813,199,267	6839.6			
6	6	1.494	стакан-марка-красная	11.4	12.6	снег-освещённый	0.716	62.4	0.0	-2.0	2.0	bbox	5	23.0	23.0	25.0	1647,832,273,248	6167.3			
7	7	1.359	стакан-марка-красная	10.4	10.6	порода-в-тени	0.780	39.2	1.0	-2.0	2.2	bbox	6	29.0	29.0	32.0	1817,977,103,103	5795.3			
8	8	1.439	стакан-марка-красная	11.4	5.5	снег-в-тени	0.760	44.3	0.0	-2.0	2.0	bbox	7	26.0	24.0	27.0	1794,947,126,133	5452.5			
9	9	1.549	стакан-марка-красная	12.0	10.2	порода-в-тени	0.708	39.6	-1.0	0.0	1.0	bbox	8	22.0	22.0	22.0	1847,1013,73,67	5218.7			
10	10	1.187	стакан-марка-красная	9.5	1.2	снег-в-тени	0.791	48.6	2.0	-2.0	2.8	bbox	9	34.0	34.0	34.0	1837,737,83,128	5018.6			
11	11	1.381	рюкзак-синий	11.0	0.4	снег-в-тени	0.696	39.2	0.0	-3.0	3.0	bbox	10	28.0	28.0	28.0	1850,1009,70,71	4248.2			
12	12	1.584	стакан-марка-красная	9.5	29.4	порода-в-тени	0.800	20.4	2.0	4.0	4.5	bbox	11	3.0	3.0	3.0	1798,273,122,274	3948.2			
13	13	1.426	стакан-марка-красная	11.4	1.6	снег-в-тени	0.750	48.2	0.0	-2.0	2.0	bbox	12	29.0	29.0	34.0	1699,929,136,151	3904.0			
14	14	1.456	рюкзак-синий	11.0	13.0	снег-в-тени	0.641	51.8	0.0	-3.0	3.0	bbox	13	31.0	30.0	35.0	1761,701,159,202	3806.4			
15	15	1.647	стакан-марка-красная	9.2	32.9	порода-в-тени	1.256	16.9	4.0	7.0	8.1	bbox	14	4.0	4.0	4.0	1625,1024,50,56	3556.5			
16	16	1.408	стакан-марка-красная	11.2	4.7	снег-в-тени	0.907	54.5	0.0	-1.0	1.0	bbox	15	23.0	23.0	27.0	1851,1023,69,57	3436.9			
17	17	1.942	стакан-марка-красная	11.0	38.2	снег-освещённый	0.287	88.0	0.0	0.0	0.0	bbox	16	37.0	37.0	37.0	24,959,275,121	3413.4			
18	18	0.518	рюкзак-синий	4.1	1.4	снег-в-тени	0.369	40.2	0.0	-10.0	10.0	bbox	17	30.0	30.0	31.0	1865,557,55,76	3389.1			
19	19	0.888	рюкзак-синий	7.1	2.4	снег-в-тени	0.268	41.2	0.0	-7.0	7.0	bbox	18	26.0	26.0	26.0	0,323,180,75	3024.6			
20	20	1.114	стакан-марка-красная	2.2	30.2	порода-охристая	1.334	19.6	9.0	2.0	9.2	bbox	19	41.0	37.0	41.0	167,627,119,80	2644.0			
21	21	1.977	стакан-марка-красная	11.0	39.6	снег-освещённый	0.332	89.4	0.0	0.0	0.0	bbox	20	40.0	40.0	40.0	292,737,41,136	2595.4			
22	22	0.909	рюкзак-синий	7.1	5.9	снег-в-тени	0.167	44.7	0.0	-7.0	7.0	bbox	21	5.0	4.0	5.0	1687,999,52,81	2428.0			
23	23	1.473	стакан-марка-красная	11.7	4.7	снег-в-тени	0.669	54.5	0.0	-3.0	3.0	bbox	22	32.0	32.0	35.0	1784,654,136,177	2301.3			
24	24	1.439	стакан-марка-красная	11.4	5.5	снег-в-тени	0.760	44.3	0.0	-2.0	2.0	bbox	23	28.0	28.0	28.0	1793,877,127,148	2085.5			
25	25	1.912	рюкзак-синий	7.1	47.5	снег-пересвеченный	0.724	86.3	0.0	-7.0	7.0	bbox	24	1.0	1.0	1.0	0,308,89,32	1977.9			
26	26	1.337	рюкзак-синий	6.0	31.0	снег-в-тени	0.796	69.8	1.0	-8.0	8.1	bbox	25	25.0	25.0	25.0	297,0,88,45	1872.1			
27	27	1.094	рюкзак-синий	2.0	29.8	снег-в-тени	0.905	68.6	1.0	-12.0	12.0	bbox	26	2.0	2.0	2.0	243,49,120,24	1678.8			
28	28	1.047	стакан-марка-красная	7.2	14.9	снег-розовый	0.702	64.7	5.0	5.0	7.1	bbox	27	39.0	38.0	41.0	241,865,22,40	1672.3			
29	29	0.523	рюкзак-синий	4.0	4.3	снег-в-тени	0.325	43.1	1.0	-10.0	10.0	bbox	28	40.0	40.0	40.0	429,709,52,88	1587.0			
30	30	0.839	рюкзак-синий	5.1	15.3	снег-в-тени	0.876	23.5	0.0	-9.0	9.0	bbox	29	31.0	31.0	31.0	1674,637,29,22	1523.3			
31	31	1.430	стакан-марка-красная	11.4	3.1	снег-в-тени	0.751	46.7	0.0	-2.0	2.0	bbox	30	29.0	29.0	35.0	1877,822,43,55	1517.2			
32	32	1.534	рюкзак-синий	8.0	32.6	снег-освещённый	0.859	71.4	1.0	-6.0	6.1	bbox	31	26.0	26.0	26.0	1105,11,102,46	1442.1			
33	33	1.127	рюкзак-синий	6.0	23.6	снег-в-тени	0.535	62.4	1.0	-8.0	8.1	bbox	32	8.0	8.0	12.0	621,21,74,34	1397.0			
34	34	1.348	стакан-марка-красная	10.8	2.0	снег-розовый	1.134	47.8	1.0	5.0	5.1	bbox	33	39.0	38.0	39.0	107,817,20,22	1378.6			
35	35	1.864	рюкзак-синий	10.2	38.1	снег-освещённый	0.519	76.9	-1.0	-4.0	4.1	bbox	34	30.0	30.0	30.0	1796,327,116,28	1323.6			
36	36	0.978	рюкзак-синий	6.1	17.2	порода-в-тени	0.911	21.6	0.0	-8.0	8.0	bbox	35	29.0	29.0	31.0	1737,847,56,78	1261.2			
37	37	1.637	рюкзак-синий	8.0	36.3	снег-освещённый	0.816	75.1	1.0	-6.0	6.1	bbox	36	27.0	27.0	27.0	485,421,134,38	1193.6			
38	38	0.653	рюкзак-синий	4.5	9.4	снег-в-тени	0.280	48.2	-1.0	-10.0	10.0	bbox	37	7.0	6.0	7.0	1875,978,32,71	1176.9			
39	39	1.459	стакан-марка-красная	11.2	11.8	снег-освещённый	0.709	61.6	0.0	-1.0	1.0	bbox	38	25.0	25.0	27.0	1708,880,109,107	1148.8			
40	40	1.427	стакан-марка-красная	11.4	2.0	снег-в-тени	0.763	51.8	0.0	-2.0	2.0	bbox	39	37.0	37.0	37.0	275,1055,68,25	1115.2			
41	41	1.685	стакан-марка-красная	10.6	29.0	порода-охристая	1.240	20.8	3.0	8.0	8.5	bbox	40	3.0	3.0	3.0	1770,553,29,94	1112.8			
42	42	1.455	стакан-марка-красная	11.2	11.4	снег-освещённый	0.723	61.2	0.0	-1.0	1.0	bbox	41	28.0	28.0	28.0	1744,1027,49,53	1073.4			
