track	t_best	t0	t1	bbox	score	lat	lon	alt
0	99.1	95.1	99.1	741,0,41,83	6714.2	39.4689044	73.5883052	6058.6
1	107.1	105.1	107.1	1809,931,60,58	5537.6	39.4689040	73.5883053	6058.6
2	241.3	241.3	246.3	1221,649,44,44	3905.7	39.4788022	73.5900968	5801.5
3	118.2	115.1	126.2	1033,375,49,42	3456.6	39.4689041	73.5883052	6058.7
4	168.2	160.2	169.2	44,61,49,71	3409.2	39.4692200	73.5886682	6058.9
5	124.2	119.2	125.2	1185,481,48,32	3271.0	39.4689040	73.5883057	6058.8
6	268.3	265.3	268.3	1649,1045,55,35	3190.5	39.4828518	73.5910529	5662.5
7	285.4	285.4	285.4	33,0,56,37	3178.0	39.4853657	73.5918306	5559.9
8	266.3	252.3	267.3	1617,1031,85,49	3104.9	39.4825541	73.5909722	5674.5
9	240.3	233.3	240.3	1333,593,54,32	2490.4	39.4786509	73.5900788	5805.5
10	24.0	24.0	24.0	161,961,28,46	2428.7	39.4689422	73.5884774	6057.6
11	163.2	160.2	168.2	0,45,39,56	2289.5	39.4691457	73.5886046	6058.8
12	319.4	319.4	334.4	1161,0,76,19	2268.2	39.4903783	73.5934741	5366.8
13	267.3	266.3	268.3	1561,993,40,42	2262.2	39.4827023	73.5910124	5668.5
14	25.0	25.0	25.0	35,1023,31,36	2222.2	39.4689369	73.5884525	6058.1
15	65.1	62.1	65.1	1194,430,32,28	2203.4	39.4689043	73.5883034	6058.6
16	164.2	163.2	168.2	0,44,37,53	2087.6	39.4691456	73.5886045	6058.8
17	24.0	24.0	27.0	129,759,32,35	2044.8	39.4689422	73.5884774	6057.6
18	97.1	90.1	97.1	429,0,33,50	2024.0	39.4689050	73.5883053	6058.5
19	266.3	265.3	266.3	1685,1038,52,39	1988.9	39.4825541	73.5909722	5674.5
20	122.2	121.2	128.2	649,457,41,32	1975.6	39.4689040	73.5883056	6058.7
21	286.4	286.4	289.4	39,39,40,40	1962.7	39.4855141	73.5918772	5553.9
22	214.3	212.3	225.3	366,161,31,22	1796.6	39.4747120	73.5896073	5909.6
23	6.0	5.0	9.0	1847,801,34,40	1719.8	39.4689973	73.5890907	6057.8
24	277.4	277.4	289.4	23,0,44,20	1679.8	39.4841836	73.5914587	5608.3
25	320.4	319.4	321.4	113,1041,32,32	1630.9	39.4905257	73.5935230	5360.8
26	253.3	247.3	253.3	1885,1047,35,24	1630.4	39.4806039	73.5904442	5748.7
27	225.3	221.3	226.3	259,321,32,20	1620.6	39.4763792	73.5898073	5865.6
28	23.0	23.0	23.0	273,951,29,34	1611.3	39.4689476	73.5885007	6057.6
29	127.2	127.2	128.2	1057,513,40,12	1584.5	39.4689042	73.5883057	6058.8
30	39.1	39.1	39.1	1775,889,29,22	1581.0	39.4689033	73.5883057	6058.6
31	167.2	159.2	168.2	42,144,28,33	1529.3	39.4691829	73.5886367	6058.9
32	316.4	308.4	318.4	1313,665,24,24	1482.2	39.4899362	73.5933274	5384.8
33	273.4	255.3	274.4	730,1001,31,33	1444.3	39.4835922	73.5912718	5632.3
34	297.4	296.4	297.4	89,1041,40,32	1440.7	39.4871363	73.5924023	5493.7
35	121.2	114.1	121.2	0,391,68,26	1432.1	39.4689040	73.5883057	6058.7
36	311.4	310.4	311.4	17,1064,32,16	1431.3	39.4891990	73.5930833	5414.9
37	169.2	169.2	179.2	0,0,21,33	1428.7	39.4692684	73.5887055	6058.9
38	107.1	107.1	107.1	1765,481,32,36	1428.0	39.4689040	73.5883053	6058.6
39	97.1	94.1	97.1	649,0,58,25	1411.7	39.4689050	73.5883053	6058.5
40	34.0	30.0	38.0	1482,624,25,21	1403.7	39.4689028	73.5883054	6058.5
41	291.4	291.4	291.4	1903,159,14,34	1338.5	39.4862518	73.5921122	5524.2
42	191.2	189.2	192.2	1817,49,72,35	1316.5	39.4712467	73.5891350	6002.2
43	122.2	122.2	126.2	23,337,42,22	1303.3	39.4689040	73.5883056	6058.7
44	319.4	318.4	325.4	1293,27,36,18	1295.9	39.4903783	73.5934741	5366.8
45	121.2	120.2	121.2	747,449,17,52	1281.2	39.4689040	73.5883057	6058.7
46	125.2	117.2	126.2	1457,593,51,22	1277.5	39.4689040	73.5883057	6058.8
47	336.4	334.4	336.4	37,519,24,20	1274.3	39.4928489	73.5945112	5274.8
48	226.3	226.3	226.3	31,415,34,16	1247.0	39.4765310	73.5898255	5861.6
49	1.0	1.0	1.0	1890,486,25,21	1242.6	39.4689612	73.5892951	6057.8
50	275.4	275.4	289.4	0,0,27,21	1237.8	39.4838869	73.5913654	5620.4
