track	t_best	t0	t1	bbox	length_px	score	lat	lon	alt
0	55.1	54.1	56.1	44,330,290,258	382.2	7277.8	39.4830935	73.5851202	4555.7
1	56.1	45.0	57.1	1250,674,378,394	538.6	7177.9	39.4830934	73.5851203	4555.7
2	56.1	56.1	56.1	1556,712,282,324	420.9	5170.1	39.4830934	73.5851203	4555.7
3	45.0	44.0	52.1	782,178,272,294	394.8	5157.2	39.4830969	73.5851195	4555.6
4	53.1	53.1	53.1	1498,700,392,356	460.4	4844.6	39.4830942	73.5851203	4555.6
5	55.1	54.1	56.1	960,272,174,152	225.4	4450.4	39.4830935	73.5851202	4555.7
6	55.1	54.1	56.1	1720,754,190,226	279.2	4053.5	39.4830935	73.5851202	4555.7
7	71.1	68.1	72.1	1478,588,222,182	283.9	3983.9	39.4830963	73.5851178	4555.7
8	56.1	56.1	56.1	1650,904,168,156	215.6	3768.5	39.4830934	73.5851203	4555.7
9	44.0	42.0	44.0	962,722,216,230	312.5	3764.8	39.4830966	73.5851196	4555.6
10	43.0	42.0	46.0	500,504,102,118	151.8	3411.1	39.4830968	73.5851196	4555.6
11	43.0	42.0	45.0	824,326,248,212	323.4	3410.2	39.4830968	73.5851196	4555.6
12	56.1	54.1	56.1	536,422,204,218	286.1	3359.4	39.4830934	73.5851203	4555.7
13	69.1	68.1	82.1	552,0,118,136	177.2	3355.7	39.4830963	73.5851190	4555.7
14	54.1	54.1	54.1	1484,878,216,202	291.4	3340.0	39.4830937	73.5851202	4555.6
15	68.1	68.1	74.1	1498,532,104,106	142.8	3294.7	39.4830960	73.5851192	4555.6
16	72.1	69.1	72.1	1164,878,214,158	259.6	3247.7	39.4830963	73.5851177	4555.6
17	42.0	42.0	46.0	258,112,114,164	193.7	3186.3	39.4830969	73.5851192	4555.7
18	65.1	58.1	66.1	1084,760,150,128	192.9	3053.7	39.4830952	73.5851194	4555.6
19	72.1	68.1	72.1	1540,788,120,98	150.4	2939.9	39.4830963	73.5851177	4555.6
20	69.1	68.1	72.1	880,686,80,100	125.2	2932.0	39.4830963	73.5851190	4555.7
21	73.1	73.1	73.1	524,92,118,122	165.2	2902.2	39.4830963	73.5851181	4555.6
22	73.1	73.1	73.1	1340,572,92,88	124.4	2901.6	39.4830963	73.5851181	4555.6
23	67.1	66.1	67.1	1300,778,162,158	217.8	2896.2	39.4830955	73.5851194	4555.6
24	72.1	68.1	72.1	736,358,150,116	183.1	2886.1	39.4830963	73.5851177	4555.6
25	73.1	73.1	73.1	1130,860,188,134	228.1	2883.5	39.4830963	73.5851181	4555.6
26	63.1	61.1	65.1	402,790,190,138	228.6	2873.1	39.4830952	73.5851193	4555.7
27	53.1	53.1	53.1	1338,808,160,206	248.9	2840.3	39.4830942	73.5851203	4555.6
28	42.0	42.0	42.0	1136,914,102,166	182.6	2828.6	39.4830969	73.5851192	4555.7
29	69.1	69.1	69.1	914,84,166,250	296.2	2769.9	39.4830963	73.5851190	4555.7
30	75.1	67.1	79.1	820,202,122,152	190.4	2726.4	39.4830963	73.5851183	4555.6
31	55.1	54.1	57.1	304,300,138,192	231.8	2703.3	39.4830935	73.5851202	4555.7
32	45.0	45.0	46.0	1120,960,140,120	181.2	2681.0	39.4830969	73.5851195	4555.6
33	65.1	58.1	66.1	1098,924,100,98	136.8	2595.9	39.4830952	73.5851194	4555.6
34	53.1	53.1	53.1	1180,646,166,172	228.5	2588.3	39.4830942	73.5851203	4555.6
35	73.1	73.1	73.1	764,408,128,100	158.0	2585.6	39.4830963	73.5851181	4555.6
36	73.1	73.1	73.1	1448,774,114,94	144.8	2578.1	39.4830963	73.5851181	4555.6
37	53.1	53.1	53.1	1424,806,192,198	229.1	2529.7	39.4830942	73.5851203	4555.6
38	59.1	58.1	61.1	450,436,146,132	182.4	2497.6	39.4830947	73.5851199	4555.6
39	74.1	74.1	74.1	1332,782,174,154	218.4	2494.7	39.4830963	73.5851182	4555.6
40	48.0	48.0	51.1	174,92,174,148	220.2	2486.5	39.4830969	73.5851190	4555.7
41	75.1	75.1	82.1	654,28,144,130	191.2	2476.4	39.4830963	73.5851183	4555.6
42	49.0	49.0	50.1	444,110,76,70	99.9	2470.7	39.4830965	73.5851191	4555.6
43	58.1	58.1	58.1	1310,942,138,130	186.8	2449.9	39.4830943	73.5851202	4555.6
44	70.1	67.1	72.1	1354,816,112,94	143.3	2442.5	39.4830961	73.5851182	4555.7
45	43.0	42.0	45.0	846,546,132,140	186.8	2426.6	39.4830968	73.5851196	4555.6
46	53.1	53.1	53.1	1130,848,96,110	139.0	2425.2	39.4830942	73.5851203	4555.6
47	53.1	53.1	53.1	966,384,98,88	127.4	2226.7	39.4830942	73.5851203	4555.6
48	65.1	65.1	66.1	1026,796,64,104	113.6	2184.8	39.4830952	73.5851194	4555.6
49	64.1	63.1	64.1	522,122,126,132	179.6	2153.8	39.4830952	73.5851194	4555.6
50	53.1	53.1	53.1	626,450,168,164	216.7	2149.4	39.4830942	73.5851203	4555.6
51	68.1	68.1	68.1	1258,864,94,92	128.4	2136.1	39.4830960	73.5851192	4555.6
52	72.1	70.1	74.1	1414,470,130,88	147.6	2090.2	39.4830963	73.5851177	4555.6
53	59.1	58.1	62.1	396,116,182,134	222.0	2082.9	39.4830947	73.5851199	4555.6
54	59.1	59.1	59.1	236,362,58,64	83.5	2079.9	39.4830947	73.5851199	4555.6
55	50.1	45.0	51.1	978,716,148,112	170.5	2064.2	39.4830958	73.5851194	4555.6
56	53.1	53.1	53.1	1048,972,106,108	148.4	2058.4	39.4830942	73.5851203	4555.6
57	53.1	53.1	53.1	416,416,78,68	98.8	2031.4	39.4830942	73.5851203	4555.6
58	44.0	43.0	44.0	1100,926,78,78	107.5	2000.7	39.4830966	73.5851196	4555.6
59	73.1	73.1	73.1	1350,500,112,84	130.1	1951.2	39.4830963	73.5851181	4555.6
60	59.1	58.1	59.1	1004,898,128,116	169.9	1900.1	39.4830947	73.5851199	4555.6
61	78.1	75.1	80.1	620,674,78,124	143.7	1878.5	39.4830964	73.5851184	4555.6
62	42.0	42.0	42.0	576,746,94,124	151.6	1820.0	39.4830969	73.5851192	4555.7
63	45.0	45.0	52.1	500,0,122,130	175.1	1814.8	39.4830969	73.5851195	4555.6
64	65.1	65.1	67.1	898,1000,58,62	80.5	1780.1	39.4830952	73.5851194	4555.6
65	65.1	61.1	67.1	764,288,72,70	97.6	1769.2	39.4830952	73.5851194	4555.6
66	55.1	55.1	55.1	1272,964,92,82	120.4	1756.7	39.4830935	73.5851202	4555.7
67	42.0	42.0	43.0	1102,774,82,160	175.0	1735.0	39.4830969	73.5851192	4555.7
68	50.1	49.0	52.1	174,134,104,160	186.3	1727.0	39.4830958	73.5851194	4555.6
69	70.1	66.1	70.1	910,86,104,124	159.0	1724.3	39.4830961	73.5851182	4555.7
70	74.1	74.1	74.1	1376,1030,64,50	78.4	1668.5	39.4830963	73.5851182	4555.6
71	75.1	75.1	75.1	1184,962,52,82	92.6	1653.3	39.4830963	73.5851183	4555.6
72	74.1	74.1	74.1	1036,678,118,90	143.1	1603.9	39.4830963	73.5851182	4555.6
73	57.1	57.1	57.1	1066,602,128,132	180.7	1593.9	39.4830939	73.5851203	4555.6
74	60.1	60.1	60.1	108,236,40,76	79.7	1567.8	39.4830949	73.5851194	4555.7
75	52.1	52.1	52.1	32,344,98,74	120.0	1544.4	39.4830947	73.5851203	4555.6
76	75.1	75.1	75.1	1058,892,66,76	96.5	1430.2	39.4830963	73.5851183	4555.6
77	67.1	67.1	67.1	1132,954,78,86	111.9	1423.4	39.4830955	73.5851194	4555.6
78	75.1	75.1	75.1	1292,940,92,84	111.8	1417.2	39.4830963	73.5851183	4555.6
79	57.1	57.1	57.1	518,92,66,58	82.3	1412.2	39.4830939	73.5851203	4555.6
80	75.1	75.1	75.1	916,416,106,116	147.8	1387.5	39.4830963	73.5851183	4555.6
81	59.1	59.1	64.1	220,50,92,92	126.9	1382.7	39.4830947	73.5851199	4555.6
82	58.1	58.1	58.1	1028,758,114,118	160.8	1380.5	39.4830943	73.5851202	4555.6
83	57.1	57.1	57.1	1418,766,84,82	114.6	1379.3	39.4830939	73.5851203	4555.6
84	74.1	74.1	74.1	1118,976,82,88	116.0	1367.1	39.4830963	73.5851182	4555.6
85	74.1	74.1	74.1	926,82,72,72	98.9	1352.0	39.4830963	73.5851182	4555.6
86	52.1	51.1	52.1	668,180,82,78	110.3	1323.6	39.4830947	73.5851203	4555.6
87	75.1	75.1	82.1	800,76,54,64	79.6	1320.5	39.4830963	73.5851183	4555.6
88	57.1	57.1	57.1	324,0,76,116	135.6	1312.4	39.4830939	73.5851203	4555.6
89	62.1	62.1	63.1	1516,444,76,112	132.5	1261.8	39.4830954	73.5851192	4555.7
90	43.0	43.0	44.0	832,664,68,68	90.5	1201.0	39.4830968	73.5851196	4555.6
91	47.0	47.0	51.1	806,308,80,86	114.6	1197.1	39.4830971	73.5851191	4555.7
92	44.0	44.0	44.0	186,168,62,60	80.6	1184.8	39.4830966	73.5851196	4555.6
93	42.0	42.0	47.0	584,30,50,70	81.6	1183.1	39.4830969	73.5851192	4555.7
94	46.0	46.0	46.0	138,250,60,80	97.1	1182.4	39.4830971	73.5851193	4555.7
95	59.1	59.1	59.1	1154,1002,94,78	117.8	1181.4	39.4830947	73.5851199	4555.6
96	50.1	50.1	50.1	346,0,66,84	94.8	1157.1	39.4830958	73.5851194	4555.6
97	57.1	57.1	57.1	1268,632,78,68	100.6	1080.3	39.4830939	73.5851203	4555.6
98	47.0	47.0	49.0	56,62,100,82	123.6	1055.9	39.4830971	73.5851191	4555.7
99	65.1	65.1	65.1	894,882,82,56	94.8	1054.2	39.4830952	73.5851194	4555.6
100	52.1	50.1	52.1	478,36,74,72	98.9	1020.2	39.4830947	73.5851203	4555.6
101	77.1	77.1	77.1	276,76,72,80	103.0	1019.7	39.4830964	73.5851184	4555.6
102	47.0	47.0	47.0	342,442,46,62	73.2	963.3	39.4830971	73.5851191	4555.7
103	75.1	75.1	75.1	1074,1016,52,64	78.4	958.6	39.4830963	73.5851183	4555.6
104	52.1	52.1	52.1	454,386,48,62	70.9	904.4	39.4830947	73.5851203	4555.6
105	57.1	57.1	57.1	568,386,58,56	77.8	887.2	39.4830939	73.5851203	4555.6
106	50.1	50.1	50.1	244,60,52,58	73.5	880.9	39.4830958	73.5851194	4555.6
107	67.1	67.1	67.1	782,314,56,66	81.2	880.9	39.4830955	73.5851194	4555.6
108	46.0	46.0	46.0	462,546,58,92	102.7	870.9	39.4830971	73.5851193	4555.7
109	64.1	64.1	64.1	454,6,70,56	80.4	866.8	39.4830952	73.5851194	4555.6
110	57.1	57.1	57.1	70,138,86,84	113.1	846.5	39.4830939	73.5851203	4555.6
111	52.1	48.0	52.1	1354,670,48,68	80.4	826.1	39.4830947	73.5851203	4555.6
112	52.1	52.1	52.1	136,110,64,64	84.9	812.5	39.4830947	73.5851203	4555.6
113	62.1	62.1	63.1	1584,730,60,60	81.5	807.6	39.4830954	73.5851192	4555.7
114	65.1	65.1	65.1	770,562,66,46	75.9	780.3	39.4830952	73.5851194	4555.6
115	47.0	47.0	47.0	246,198,48,64	72.0	775.5	39.4830971	73.5851191	4555.7
116	62.1	62.1	62.1	1658,944,76,92	108.8	761.5	39.4830954	73.5851192	4555.7
117	80.1	80.1	80.1	424,514,38,68	75.1	757.4	39.4830956	73.5851184	4555.7
118	78.1	78.1	78.1	530,506,48,68	79.3	691.5	39.4830964	73.5851184	4555.6
119	77.1	77.1	77.1	72,264,68,82	103.5	636.3	39.4830964	73.5851184	4555.6
120	51.1	51.1	51.1	106,34,68,76	99.0	611.0	39.4830953	73.5851202	4555.6
121	62.1	62.1	62.1	1618,586,52,70	84.3	515.9	39.4830954	73.5851192	4555.7
122	77.1	77.1	77.1	102,160,58,62	79.2	404.0	39.4830964	73.5851184	4555.6
