ранг	ранг_в_группе	расстояние	сигнатура	d_ab	d_L	ловушка	d_ловушки	L	a	b	C	цвет_измерен	track	t_best	t0	t1	bbox	score	lat	lon	alt
1	1	1.289	рюкзак-синий	5.8	29.8	снег-в-тени	1.619	9.0	6.0	-11.0	12.5	bbox	0	7.0	7.0	7.0	1881,749,39,204	5570.7			
2	2	1.291	рюкзак-синий	7.2	25.9	снег-в-тени	2.047	12.9	5.0	-20.0	20.6	bbox	1	6.0	6.0	6.0	1837,845,20,96	2319.5			
3	3	1.233	рюкзак-синий	8.5	17.2	порода-в-тени	0.977	21.6	4.0	-6.0	7.2	bbox	2	2.0	2.0	2.0	1871,972,49,25	1545.1			
4	4	1.174	рюкзак-синий	5.7	26.3	снег-в-тени	1.881	12.5	5.0	-18.0	18.7	bbox	3	6.0	6.0	6.0	1863,763,30,44	1076.1			
5	5	1.244	рюкзак-синий	5.8	28.2	снег-в-тени	1.896	10.6	6.0	-17.0	18.0	bbox	4	8.0	8.0	8.0	1873,751,22,44	959.3			
6	6	1.105	рюкзак-синий	8.1	12.7	снег-в-тени	1.906	26.1	5.0	-21.0	21.6	bbox	5	3.0	3.0	3.0	1831,767,18,42	898.8			
7	7	1.333	рюкзак-синий	5.0	32.9	снег-в-тени	1.810	5.9	6.0	-13.5	14.8	bbox	6	3.0	3.0	3.0	1884,1066,36,14	851.3			
8	8	1.514	рюкзак-синий	10.0	23.9	снег-в-тени	2.282	14.9	7.0	-22.0	23.1	bbox	7	5.0	5.0	5.0	1800,659,9,46	819.5			
9	9	1.343	рюкзак-синий	9.4	18.0	снег-в-тени	2.134	20.8	6.0	-22.0	22.8	bbox	8	3.0	3.0	3.0	1829,691,12,34	748.8			
10	10	1.434	рюкзак-синий	8.5	27.0	снег-в-тени	2.161	11.8	7.0	-20.0	21.2	bbox	9	8.0	8.0	8.0	1862,852,9,41	739.6			
11	11	1.303	рюкзак-синий	8.1	23.1	снег-в-тени	2.085	15.7	5.0	-21.0	21.6	bbox	10	4.0	4.0	5.0	1814,625,11,50	713.9			
12	12	1.321	рюкзак-синий	8.1	23.9	порода-в-тени	1.169	14.9	5.0	-7.0	8.6	bbox	11	5.0	4.0	5.0	1881,827,39,14	701.0			
13	13	1.014	рюкзак-синий	5.7	20.4	снег-в-тени	1.747	18.4	5.0	-18.0	18.7	bbox	12	7.0	7.0	7.0	1893,957,22,29	370.8			
14	14	1.191	рюкзак-синий	6.4	24.7	снег-в-тени	1.931	14.1	5.0	-19.0	19.6	bbox	13	3.0	3.0	3.0	1843,617,22,39	368.6			
