track	t_best	t0	t1	bbox	score	lat	lon	alt
0	17.0	14.0	22.0	861,259,20,22	1197.8	39.4829413	73.5845840	4623.5
1	38.0	35.0	45.0	1476,155,24,24	780.0	39.4829077	73.5845988	4623.6
2	79.1	74.1	79.1	657,273,16,16	736.2	39.4825249	73.5847493	4637.4
3	76.1	73.1	79.1	809,589,14,20	643.2	39.4825243	73.5847495	4637.3
4	59.1	59.1	59.1	1015,325,10,28	635.1	39.4825208	73.5847481	4637.3
5	70.1	68.1	70.1	1901,113,10,54	632.5	39.4825229	73.5847498	4637.3
6	34.0	34.0	36.0	195,85,38,12	619.2	39.4829067	73.5845985	4623.5
7	42.0	35.0	49.0	1353,353,32,8	598.3	39.4829085	73.5845984	4623.5
8	39.0	39.0	47.0	1681,219,16,14	577.8	39.4829078	73.5845987	4623.6
9	32.0	32.0	33.0	49,145,27,10	524.0	39.4829068	73.5845982	4623.5
10	42.0	26.0	45.0	1281,161,16,24	464.6	39.4829085	73.5845984	4623.5
11	44.0	44.0	44.0	129,1025,16,8	460.0	39.4829084	73.5845981	4623.6
12	44.0	39.0	45.0	1352,351,9,30	455.3	39.4829084	73.5845981	4623.6
13	53.1	53.1	53.1	1582,1063,20,10	428.7	39.4825690	73.5847283	4636.9
14	38.0	35.0	42.0	1363,209,30,15	414.2	39.4829077	73.5845988	4623.6
15	39.0	39.0	41.0	1809,1013,22,18	388.7	39.4829078	73.5845987	4623.6
16	60.1	60.1	60.1	1431,561,10,16	387.8	39.4825208	73.5847482	4637.3
17	78.1	76.1	79.1	981,325,17,12	385.5	39.4825247	73.5847493	4637.3
18	41.0	39.0	42.0	1737,961,16,8	369.0	39.4829085	73.5845985	4623.5
19	77.1	76.1	79.1	787,873,10,16	363.3	39.4825246	73.5847494	4637.3
20	58.1	57.1	60.1	1219,946,17,15	342.0	39.4825206	73.5847482	4637.3
21	56.1	54.1	56.1	327,559,11,12	334.8	39.4825210	73.5847477	4637.4
22	35.0	35.0	35.0	401,737,16,6	315.9	39.4829071	73.5845986	4623.5
23	42.0	42.0	45.0	1611,169,14,22	310.5	39.4829085	73.5845984	4623.5
24	14.0	14.0	14.0	1132,1047,23,10	308.5	39.4831763	73.5844893	4623.5
25	15.0	13.0	15.0	1677,1017,20,12	306.6	39.4830869	73.5845282	4623.5
26	73.1	61.1	73.1	1767,169,4,28	300.4	39.4825237	73.5847498	4637.4
27	43.0	40.0	47.0	1457,315,20,8	288.7	39.4829086	73.5845982	4623.6
28	43.0	43.0	44.0	1545,1041,24,4	286.4	39.4829086	73.5845982	4623.6
29	41.0	35.0	41.0	971,185,14,11	282.4	39.4829085	73.5845985	4623.5
30	37.0	37.0	37.0	897,835,16,8	278.1	39.4829073	73.5845991	4623.6
31	79.1	79.1	79.1	809,796,7,13	261.4	39.4825249	73.5847493	4637.4
32	39.0	39.0	39.0	769,881,16,8	261.3	39.4829078	73.5845987	4623.6
33	14.0	14.0	14.0	1785,817,8,10	254.7	39.4831763	73.5844893	4623.5
34	36.0	36.0	39.0	193,1067,10,10	254.5	39.4829073	73.5845986	4623.6
35	64.1	61.1	66.1	923,989,6,20	253.7	39.4825215	73.5847476	4637.3
36	59.1	59.1	63.1	817,731,12,10	246.5	39.4825208	73.5847481	4637.3
37	38.0	36.0	38.0	1537,973,13,12	245.2	39.4829077	73.5845988	4623.6
38	69.1	68.1	70.1	1911,276,9,17	244.2	39.4825229	73.5847494	4637.3
39	64.1	61.1	72.1	887,1051,10,20	241.6	39.4825215	73.5847476	4637.3
40	42.0	42.0	44.0	497,185,16,4	232.5	39.4829085	73.5845984	4623.5
41	15.0	15.0	18.0	1393,413,16,4	228.7	39.4830869	73.5845282	4623.5
42	42.0	38.0	49.0	1369,213,14,8	228.6	39.4829085	73.5845984	4623.5
43	29.0	28.0	29.0	657,369,8,10	227.7	39.4829065	73.5845992	4623.6
44	40.0	39.0	40.0	1649,1009,22,8	227.7	39.4829083	73.5845986	4623.5
45	9.0	9.0	9.0	1081,1047,8,10	223.4	39.4837556	73.5842331	4623.5
46	35.0	35.0	36.0	1793,897,8,8	222.0	39.4829071	73.5845986	4623.5
47	2.0	2.0	8.0	934,765,13,11	214.7	39.4840481	73.5840736	4623.3
48	51.1	51.1	51.1	1422,1000,18,8	214.4	39.4826759	73.5846851	4632.9
49	27.0	26.0	27.0	1821,71,6,14	211.3	39.4829062	73.5845998	4623.6
50	37.0	37.0	37.0	1681,993,16,8	211.1	39.4829073	73.5845991	4623.6
51	37.0	34.0	37.0	769,969,8,8	210.8	39.4829073	73.5845991	4623.6
52	36.0	36.0	38.0	1907,307,13,9	209.2	39.4829073	73.5845986	4623.6
53	37.0	36.0	41.0	937,73,8,8	204.2	39.4829073	73.5845991	4623.6
54	56.1	54.1	56.1	706,1074,15,6	201.2	39.4825210	73.5847477	4637.4
55	35.0	35.0	36.0	1493,161,12,6	197.0	39.4829071	73.5845986	4623.5
56	42.0	42.0	42.0	1123,147,14,6	195.6	39.4829085	73.5845984	4623.5
57	46.0	46.0	48.0	34,17,5,14	195.0	39.4828971	73.5846002	4623.6
58	51.1	51.1	51.1	1881,1005,7,9	194.0	39.4826759	73.5846851	4632.9
59	37.0	35.0	47.0	1089,0,8,7	189.9	39.4829073	73.5845991	4623.6
60	14.0	14.0	14.0	1825,1067,14,13	178.4	39.4831763	73.5844893	4623.5
61	65.1	63.1	74.1	955,920,6,14	177.5	39.4825217	73.5847477	4637.4
62	36.0	36.0	40.0	1819,251,8,9	176.3	39.4829073	73.5845986	4623.6
63	44.0	44.0	48.0	441,138,8,7	173.9	39.4829084	73.5845981	4623.6
64	45.0	43.0	45.0	1358,359,11,6	173.3	39.4829066	73.5845983	4623.6
65	58.1	57.1	58.1	0,939,9,13	172.8	39.4825206	73.5847482	4637.3
66	13.0	13.0	13.0	1673,911,9,12	172.1	39.4832776	73.5844454	4623.5
67	73.1	72.1	79.1	671,923,2,22	171.8	39.4825237	73.5847498	4637.4
68	45.0	43.0	49.0	1220,361,11,8	171.2	39.4829066	73.5845983	4623.6
69	36.0	36.0	47.0	1011,27,6,12	170.0	39.4829073	73.5845986	4623.6
70	56.1	55.1	58.1	65,483,5,11	168.8	39.4825210	73.5847477	4637.4
71	44.0	43.0	48.0	857,0,12,5	167.7	39.4829084	73.5845981	4623.6
72	74.1	74.1	74.1	493,1074,18,6	165.8	39.4825238	73.5847497	4637.4
73	59.1	59.1	61.1	1253,573,16,8	164.3	39.4825208	73.5847481	4637.3
74	28.0	28.0	28.0	9,408,8,9	163.3	39.4829062	73.5845994	4623.6
75	52.1	52.1	52.1	1657,671,39,2	161.4	39.4826207	73.5847074	4635.3
76	62.1	62.1	62.1	1690,762,8,5	160.1	39.4825211	73.5847481	4637.3
77	51.1	50.1	52.1	1860,573,13,4	156.6	39.4826759	73.5846851	4632.9
78	53.1	53.1	53.1	1625,1057,16,4	154.9	39.4825690	73.5847283	4636.9
79	41.0	37.0	41.0	897,174,16,5	153.9	39.4829085	73.5845985	4623.5
