track	t_best	t0	t1	bbox	length_px	score	lat	lon	alt
0	143.2	143.2	143.2	1116,332,378,94	381.1	4700.3	39.4826921	73.5838765	4637.3
1	143.2	143.2	143.2	284,956,170,38	171.3	3654.5	39.4826921	73.5838765	4637.3
2	143.2	143.2	143.2	84,1002,196,38	196.9	3454.8	39.4826921	73.5838765	4637.3
3	143.2	143.2	143.2	24,722,192,38	192.7	2823.6	39.4826921	73.5838765	4637.3
4	143.2	143.2	143.2	1628,504,152,32	151.5	2675.2	39.4826921	73.5838765	4637.3
5	143.2	143.2	143.2	0,544,288,72	288.0	2553.7	39.4826921	73.5838765	4637.3
6	107.2	107.2	116.2	1670,156,250,60	253.0	2367.9	39.4826925	73.5838764	4637.3
7	134.2	134.2	134.2	1626,54,198,90	210.1	2308.8	39.4826927	73.5838746	4637.3
8	143.2	143.2	143.2	1342,234,122,22	121.6	2119.1	39.4826921	73.5838765	4637.3
9	109.2	107.2	115.2	1726,532,194,18	192.2	2115.7	39.4826927	73.5838764	4637.3
10	143.2	143.2	143.2	654,620,188,26	186.1	2067.3	39.4826921	73.5838765	4637.3
11	143.2	143.2	143.2	1420,654,122,24	121.1	2031.4	39.4826921	73.5838765	4637.3
12	143.2	143.2	143.2	162,854,232,24	230.1	2027.8	39.4826921	73.5838765	4637.3
13	134.2	134.2	142.2	644,744,192,68	199.2	1888.9	39.4826927	73.5838746	4637.3
14	132.2	131.2	133.2	0,640,236,94	244.3	1789.4	39.4826926	73.5838744	4637.3
15	106.2	105.2	117.2	1766,62,154,32	152.8	1751.5	39.4826924	73.5838764	4637.3
16	119.2	118.2	128.2	1606,92,136,36	136.1	1700.7	39.4826934	73.5838762	4637.3
17	131.2	131.2	131.2	16,598,220,92	235.8	1550.8	39.4826926	73.5838743	4637.3
18	135.2	135.2	135.2	1472,442,170,56	175.2	1430.3	39.4826924	73.5838746	4637.3
19	123.2	123.2	130.2	1316,0,158,88	177.0	1371.2	39.4826928	73.5838752	4637.3
20	141.2	135.2	141.2	744,772,136,34	136.4	1353.8	39.4826916	73.5838761	4637.3
21	106.2	106.2	115.2	1754,202,166,24	164.3	1352.7	39.4826924	73.5838764	4637.3
22	135.2	135.2	141.2	1610,372,138,40	140.7	1269.8	39.4826924	73.5838746	4637.3
23	142.2	142.2	142.2	112,718,172,34	171.7	1263.1	39.4826919	73.5838764	4637.3
24	120.2	120.2	130.2	866,0,166,66	175.2	1245.3	39.4826929	73.5838759	4637.3
25	142.2	142.2	142.2	1554,656,174,36	174.6	1206.9	39.4826919	73.5838764	4637.3
26	104.2	102.1	104.2	1492,1014,126,18	124.4	1198.6	39.4826927	73.5838764	4637.3
27	108.2	105.2	114.2	1666,480,184,30	182.0	1177.8	39.4826926	73.5838764	4637.3
28	135.2	131.2	139.2	112,1022,168,42	169.4	1137.6	39.4826924	73.5838746	4637.3
29	141.2	141.2	141.2	474,90,128,16	126.3	1122.3	39.4826916	73.5838761	4637.3
30	134.2	134.2	142.2	320,558,128,28	127.9	1081.5	39.4826927	73.5838746	4637.3
31	141.2	141.2	141.2	20,754,136,26	134.2	1077.2	39.4826916	73.5838761	4637.3
32	125.2	125.2	129.2	76,346,136,62	146.4	1067.6	39.4826928	73.5838749	4637.3
33	107.2	107.2	109.2	1806,802,114,16	112.4	1058.4	39.4826925	73.5838764	4637.3
34	109.2	109.2	113.2	1752,658,168,20	166.0	1017.8	39.4826927	73.5838764	4637.3
35	107.2	105.2	113.2	1680,510,146,16	144.0	1001.8	39.4826925	73.5838764	4637.3
36	134.2	134.2	134.2	1280,392,86,34	89.2	966.6	39.4826927	73.5838746	4637.3
37	131.2	131.2	132.2	216,902,132,60	142.3	962.5	39.4826926	73.5838743	4637.3
38	124.2	124.2	127.2	100,374,94,44	101.1	944.5	39.4826928	73.5838751	4637.3
39	135.2	135.2	139.2	696,940,98,40	101.8	916.1	39.4826924	73.5838746	4637.3
40	141.2	140.2	141.2	1610,640,124,10	122.0	912.1	39.4826916	73.5838761	4637.3
41	136.2	135.2	140.2	1522,294,138,46	142.9	902.6	39.4826915	73.5838748	4637.3
42	114.2	109.2	117.2	1562,530,146,12	144.0	891.9	39.4826933	73.5838764	4637.3
43	134.2	134.2	134.2	190,358,92,34	93.1	877.3	39.4826927	73.5838746	4637.3
44	133.2	131.2	133.2	1280,242,112,40	115.1	867.3	39.4826927	73.5838745	4637.3
45	116.2	115.2	118.2	1574,722,138,12	136.0	854.4	39.4826935	73.5838766	4637.3
46	142.2	142.2	142.2	34,556,164,28	163.2	852.5	39.4826919	73.5838764	4637.3
47	132.2	128.2	133.2	1378,682,80,48	88.4	778.9	39.4826926	73.5838744	4637.3
48	141.2	140.2	141.2	1676,714,88,14	86.2	770.4	39.4826916	73.5838761	4637.3
49	142.2	142.2	142.2	542,158,112,24	110.1	767.7	39.4826919	73.5838764	4637.3
50	119.2	119.2	119.2	0,228,96,28	97.5	766.4	39.4826934	73.5838762	4637.3
51	133.2	132.2	137.2	418,772,110,26	107.1	760.6	39.4826927	73.5838745	4637.3
52	116.2	115.2	116.2	1760,1030,118,12	116.1	758.2	39.4826935	73.5838766	4637.3
53	123.2	121.2	127.2	1730,216,100,58	112.2	750.4	39.4826928	73.5838752	4637.3
54	141.2	139.2	141.2	1714,240,100,18	98.3	746.0	39.4826916	73.5838761	4637.3
55	134.2	134.2	134.2	678,1062,120,18	118.0	743.8	39.4826927	73.5838746	4637.3
56	114.2	114.2	116.2	1648,834,104,26	102.9	730.2	39.4826933	73.5838764	4637.3
57	110.2	110.2	113.2	1776,372,102,12	100.0	729.5	39.4826925	73.5838760	4637.3
58	141.2	141.2	141.2	344,114,138,22	137.1	723.9	39.4826916	73.5838761	4637.3
59	124.2	124.2	130.2	848,32,120,62	130.5	722.4	39.4826928	73.5838751	4637.3
60	128.2	128.2	129.2	1792,472,128,82	146.0	720.8	39.4826925	73.5838741	4637.3
61	141.2	141.2	141.2	646,296,100,18	98.1	716.8	39.4826916	73.5838761	4637.3
62	135.2	135.2	140.2	396,710,86,26	86.8	701.3	39.4826924	73.5838746	4637.3
