track	t_best	t0	t1	bbox	length_px	score	lat	lon	alt
0	66.1	66.1	66.1	78,686,96,26	95.6	2201.7	39.4795856	73.5923783	5222.6
1	67.1	67.1	67.1	84,190,88,44	95.7	1882.0	39.4795861	73.5923784	5222.6
2	66.1	66.1	67.1	0,616,114,30	115.0	1283.9	39.4795856	73.5923783	5222.6
3	66.1	66.1	66.1	1156,570,92,50	97.7	1176.4	39.4795856	73.5923783	5222.6
4	67.1	67.1	67.1	180,102,94,52	102.9	908.6	39.4795861	73.5923784	5222.6
5	67.1	67.1	67.1	948,1022,148,30	147.9	777.0	39.4795861	73.5923784	5222.6
6	66.1	66.1	66.1	1664,676,84,12	82.0	687.7	39.4795856	73.5923783	5222.6
7	63.1	63.1	63.1	1362,1028,98,10	96.0	624.9	39.4795857	73.5923784	5222.6
8	62.1	62.1	64.1	1480,958,114,12	112.1	598.6	39.4795858	73.5923784	5222.6
9	62.1	62.1	63.1	94,604,78,8	76.0	502.9	39.4795858	73.5923784	5222.6
10	67.1	67.1	67.1	20,342,74,18	72.9	404.7	39.4795861	73.5923784	5222.6
11	64.1	64.1	64.1	702,1052,84,8	82.0	393.0	39.4795856	73.5923783	5222.6
