track	t_best	t0	t1	bbox	score	lat	lon	alt
0	99.0	89.0	99.0	491,847,100,233	39348.8			
1	37.0	37.0	37.0	453,81,130,265	29346.4			
2	54.0	52.0	54.0	467,0,214,77	26740.3			
3	3.0	3.0	3.0	1761,187,144,158	21498.4			
4	87.0	87.0	87.0	1853,713,67,229	21016.4			
5	53.0	42.0	62.0	637,343,166,150	19478.6			
6	2.0	0.0	2.0	1069,33,372,66	17392.6			
7	38.0	38.0	38.0	625,39,302,124	15060.2			
8	42.0	42.0	45.0	825,295,236,133	14701.9			
9	71.0	57.0	72.0	481,317,168,98	14091.4			
10	75.0	75.0	76.0	0,81,203,152	13118.4			
11	55.0	44.0	73.0	549,317,192,134	11814.0			
12	95.0	95.0	98.0	615,673,44,126	11228.1			
13	2.0	1.0	2.0	56,169,222,94	11137.9			
14	75.0	75.0	75.0	121,303,328,28	10822.8			
15	33.0	4.0	33.0	1883,359,37,158	10702.8			
16	46.0	44.0	49.0	598,357,191,138	10372.4			
17	81.0	79.0	81.0	0,223,321,20	9774.3			
18	6.0	6.0	6.0	945,195,62,78	8813.4			
19	94.0	88.0	94.0	561,395,32,96	8421.2			
20	72.0	72.0	72.0	699,343,64,54	8311.0			
21	93.0	88.0	94.0	567,443,34,136	8121.5			
22	95.0	95.0	96.0	543,859,54,114	7755.0			
23	33.0	33.0	35.0	1857,1027,63,53	7654.1			
24	51.0	42.0	54.0	905,0,50,57	7373.8			
25	96.0	96.0	98.0	553,515,27,120	7305.5			
26	97.0	96.0	97.0	1123,105,264,166	7250.3			
27	77.0	74.0	78.0	0,1038,83,42	7113.0			
28	87.0	87.0	87.0	509,1034,84,46	7027.7			
29	89.0	88.0	97.0	765,759,76,70	6983.1			
30	4.0	4.0	5.0	895,227,70,74	6715.3			
31	93.0	88.0	94.0	641,897,64,84	6684.1			
32	92.0	89.0	95.0	528,647,27,134	6614.6			
33	42.0	36.0	43.0	815,111,208,36	6517.3			
34	95.0	95.0	98.0	909,781,84,64	6487.1			
35	93.0	90.0	96.0	757,771,82,68	6348.0			
36	9.0	7.0	30.0	13,0,83,79	6345.3			
37	68.0	55.0	71.0	1137,383,56,42	6296.8			
38	49.0	42.0	49.0	1019,79,48,112	6199.7			
39	99.0	99.0	99.0	1845,345,75,130	6141.2			
40	69.0	61.0	72.0	1795,254,55,118	6132.8			
41	93.0	88.0	93.0	1733,349,187,145	6042.5			
42	69.0	69.0	72.0	1881,97,39,173	5989.4			
43	55.0	43.0	72.0	887,167,108,18	5949.5			
44	99.0	91.0	99.0	1761,477,84,192	5949.3			
45	74.0	74.0	74.0	0,1039,68,41	5920.2			
46	98.0	88.0	98.0	1557,269,262,198	5906.2			
47	7.0	4.0	33.0	0,0,81,67	5887.7			
48	95.0	95.0	98.0	1185,803,84,56	5879.0			
49	6.0	3.0	6.0	96,375,151,162	5718.8			
50	95.0	95.0	98.0	1053,773,68,72	5713.8			
51	35.0	35.0	35.0	1731,0,8,226	5662.3			
52	91.0	90.0	93.0	485,664,26,86	5590.8			
53	43.0	43.0	46.0	505,191,188,18	5560.9			
54	45.0	43.0	57.0	867,239,74,38	5551.0			
55	98.0	97.0	98.0	959,489,128,38	5397.2			
56	99.0	99.0	99.0	845,983,73,54	5365.5			
57	97.0	97.0	98.0	1388,271,289,192	5359.5			
58	54.0	42.0	54.0	715,0,61,53	5199.2			
59	15.0	7.0	33.0	459,558,72,143	5192.8			
60	11.0	7.0	39.0	1348,425,35,40	5104.9			
61	92.0	88.0	94.0	899,745,88,50	4973.2			
62	54.0	54.0	54.0	189,0,45,101	4930.1			
63	30.0	29.0	31.0	1745,559,24,104	4926.2			
64	97.0	95.0	98.0	515,415,24,114	4875.9			
65	43.0	43.0	46.0	781,180,82,53	4874.1			
66	41.0	33.0	41.0	1831,99,89,30	4773.3			
67	55.0	42.0	55.0	553,157,198,22	4714.5			
68	93.0	85.0	94.0	1175,659,116,26	4661.8			
69	89.0	88.0	94.0	549,617,26,84	4612.6			
70	44.0	44.0	64.0	585,173,184,28	4586.8			
71	95.0	95.0	98.0	783,826,73,51	4473.7			
72	98.0	96.0	98.0	1133,507,110,40	4369.7			
73	99.0	99.0	99.0	945,979,68,46	4343.9			
74	3.0	3.0	3.0	611,263,42,50	4278.4			
75	35.0	35.0	36.0	903,165,42,52	4207.2			
76	96.0	95.0	98.0	671,797,54,62	4115.5			
77	94.0	87.0	94.0	1353,635,52,38	4083.9			
78	51.0	51.0	53.0	43,27,50,54	4039.0			
79	66.0	60.0	71.0	513,135,166,26	4031.9			
80	98.0	98.0	98.0	501,531,32,62	4023.8			
81	63.0	57.0	73.0	467,147,192,34	3947.4			
82	94.0	84.0	94.0	1437,139,72,58	3938.1			
83	87.0	87.0	87.0	555,939,58,53	3929.8			
84	23.0	21.0	33.0	471,461,37,134	3910.6			
85	41.0	41.0	41.0	49,0,119,65	3900.5			
86	52.0	51.0	53.0	67,35,50,52	3812.5			
87	49.0	43.0	52.0	0,35,27,56	3806.9			
88	94.0	86.0	94.0	1165,619,46,40	3804.9			
89	28.0	7.0	33.0	489,469,37,176	3748.0			
90	91.0	89.0	93.0	467,999,30,81	3747.9			
91	95.0	95.0	95.0	319,1010,46,43	3625.4			
92	22.0	22.0	22.0	1745,1033,75,47	3620.5			
93	60.0	55.0	70.0	805,21,28,76	3614.4			
94	37.0	37.0	37.0	929,57,230,94	3573.9			
95	94.0	93.0	94.0	765,1027,52,53	3476.2			
96	40.0	39.0	41.0	61,25,96,54	3311.6			
97	35.0	30.0	35.0	1713,514,36,83	3143.7			
98	98.0	98.0	98.0	461,580,28,57	3114.6			
99	40.0	40.0	41.0	1391,0,26,68	3114.1			
100	52.0	46.0	65.0	617,191,180,34	3109.1			
101	18.0	11.0	34.0	0,0,73,51	2996.0			
102	26.0	11.0	29.0	447,529,80,146	2989.2			
103	99.0	99.0	99.0	1091,1009,50,36	2943.6			
104	5.0	3.0	5.0	35,603,69,62	2934.1			
105	87.0	87.0	87.0	1817,215,86,68	2921.5			
106	6.0	6.0	6.0	1900,553,20,73	2848.4			
107	39.0	22.0	39.0	1397,5,69,42	2842.1			
108	99.0	99.0	99.0	1770,679,45,44	2834.5			
109	88.0	88.0	94.0	1217,87,96,56	2807.4			
110	4.0	3.0	4.0	1729,27,129,18	2792.0			
111	36.0	35.0	36.0	905,187,26,46	2773.1			
112	48.0	48.0	49.0	1013,11,44,74	2754.4			
113	99.0	99.0	99.0	1863,491,35,38	2731.6			
114	35.0	29.0	41.0	1631,469,76,116	2696.6			
115	35.0	35.0	35.0	259,277,20,64	2689.4			
116	62.0	54.0	75.0	486,0,24,61	2637.4			
117	98.0	98.0	98.0	837,523,65,36	2590.5			
118	26.0	17.0	27.0	1855,0,24,33	2567.1			
119	43.0	43.0	43.0	219,0,48,21	2562.0			
120	16.0	5.0	18.0	492,503,147,86	2547.1			
121	60.0	59.0	62.0	1737,493,116,13	2544.9			
122	89.0	89.0	89.0	593,1037,32,43	2539.1			
123	49.0	38.0	50.0	826,0,37,25	2523.7			
124	29.0	29.0	30.0	1667,599,38,70	2503.5			
125	96.0	96.0	96.0	438,1027,61,44	2488.0			
126	98.0	97.0	98.0	1257,539,42,24	2485.9			
127	28.0	13.0	32.0	1421,0,24,149	2466.7			
128	15.0	11.0	18.0	973,109,100,24	2456.2			
129	29.0	11.0	36.0	995,0,34,49	2446.6			
130	40.0	39.0	41.0	1757,0,8,90	2443.6			
131	42.0	42.0	50.0	1275,241,44,24	2425.6			
132	35.0	35.0	35.0	134,87,29,150	2423.1			
133	49.0	43.0	72.0	1011,191,36,48	2420.8			
134	35.0	33.0	41.0	1867,113,17,156	2408.5			
135	93.0	87.0	94.0	1099,689,39,22	2406.2			
136	87.0	87.0	87.0	685,315,76,28	2403.3			
137	16.0	7.0	20.0	1361,0,16,151	2395.3			
138	7.0	7.0	7.0	799,203,30,50	2389.9			
139	47.0	43.0	50.0	586,377,63,88	2372.4			
140	99.0	99.0	99.0	1800,620,35,38	2370.9			
141	25.0	7.0	31.0	1349,0,12,163	2360.6			
142	99.0	99.0	99.0	1711,677,48,134	2314.7			
143	95.0	95.0	95.0	541,1053,46,27	2267.5			
144	8.0	8.0	34.0	813,207,30,50	2261.5			
145	87.0	86.0	87.0	503,281,40,34	2250.0			
146	14.0	7.0	33.0	361,637,38,98	2246.9			
147	3.0	3.0	3.0	65,598,36,59	2228.2			
