track	t_best	t0	t1	bbox	score	lat	lon	alt
0	182.0	182.0	182.0	137,75,112,111	11444.2			
1	4.0	4.0	4.0	1648,897,223,183	9342.3			
2	182.0	182.0	182.0	0,13,87,76	9018.3			
3	5.0	5.0	5.0	1677,753,204,216	7807.9			
4	103.0	102.0	106.0	1337,65,102,42	6026.2			
5	155.0	154.0	155.0	1799,831,121,229	6012.8			
6	6.0	6.0	6.0	1665,851,200,204	5872.9			
7	16.0	16.0	16.0	1880,995,40,85	5597.3			
8	74.0	74.0	74.0	1729,409,46,178	5197.0			
9	154.0	154.0	155.0	1789,940,131,140	5158.1			
10	181.0	181.0	181.0	84,987,80,48	5047.8			
11	22.0	22.0	22.0	11,0,201,125	4933.9			
12	184.0	184.0	184.0	1817,209,32,58	4311.0			
13	7.0	7.0	7.0	1857,865,63,152	4285.3			
14	23.0	23.0	24.0	209,49,212,125	4194.9			
15	19.0	19.0	23.0	195,303,26,108	3915.2			
16	179.0	179.0	184.0	0,17,59,48	3701.0			
17	24.0	24.0	25.0	378,0,255,139	3654.8			
18	120.0	120.0	120.0	1871,15,49,30	3420.9			
19	150.0	146.0	151.0	1543,965,32,74	3218.3			
20	132.0	131.0	134.0	729,0,202,67	3173.8			
21	158.0	158.0	158.0	1871,1032,35,38	2992.0			
22	160.0	150.0	160.0	1826,229,39,46	2967.1			
23	163.0	163.0	170.0	79,249,56,132	2917.4			
24	20.0	19.0	22.0	478,501,33,70	2900.2			
25	3.0	3.0	4.0	1817,897,32,100	2761.7			
26	132.0	132.0	132.0	521,61,191,24	2707.0			
27	182.0	182.0	184.0	251,161,42,46	2666.0			
28	59.0	56.0	59.0	1780,975,61,44	2566.6			
29	180.0	179.0	180.0	75,207,30,46	2262.3			
30	74.0	74.0	74.0	1835,545,85,48	2157.2			
31	166.0	166.0	166.0	0,1073,123,7	2015.7			
32	155.0	155.0	155.0	0,0,29,37	2011.0			
33	25.0	25.0	25.0	513,0,86,50	1904.4			
34	151.0	151.0	154.0	1597,926,44,29	1844.3			
35	183.0	180.0	184.0	817,263,52,30	1665.4			
36	161.0	156.0	161.0	1847,128,35,33	1599.1			
37	100.0	100.0	100.0	0,60,24,41	1591.2			
38	52.0	51.0	52.0	1489,351,32,26	1573.8			
39	93.0	93.0	93.0	99,571,26,25	1546.8			
40	141.0	141.0	141.0	510,524,28,20	1542.6			
41	184.0	183.0	184.0	1089,343,68,16	1533.1			
42	79.0	78.0	79.0	1857,1057,63,23	1529.3			
43	120.0	120.0	120.0	841,0,72,45	1517.1			
44	168.0	168.0	168.0	0,1072,106,8	1470.2			
45	32.0	29.0	38.0	921,41,40,26	1465.9			
46	121.0	121.0	121.0	1890,93,30,24	1465.2			
47	4.0	3.0	4.0	1897,1049,23,31	1446.7			
48	114.0	114.0	114.0	1898,184,22,33	1391.2			
49	59.0	58.0	59.0	1834,939,59,32	1386.3			
50	179.0	179.0	179.0	0,1051,59,29	1348.5			
51	159.0	159.0	159.0	1889,977,31,17	1326.6			
52	18.0	13.0	18.0	1729,112,46,27	1318.2			
53	138.0	138.0	138.0	415,785,22,21	1286.1			
54	4.0	3.0	8.0	210,1011,13,40	1284.6			
55	131.0	131.0	134.0	351,143,91,28	1269.9			
56	33.0	30.0	35.0	1221,105,44,22	1250.2			
57	106.0	101.0	106.0	675,45,29,20	1223.6			
58	95.0	95.0	100.0	1879,1055,41,25	1221.7			
59	11.0	7.0	11.0	1638,217,29,44	1203.3			
60	181.0	179.0	181.0	171,1019,21,22	1180.7			
61	57.0	57.0	57.0	1457,1048,45,15	1173.8			
62	125.0	123.0	125.0	1778,360,20,45	1168.8			
63	148.0	148.0	148.0	1523,7,25,27	1122.8			
64	163.0	163.0	164.0	64,153,21,42	1112.6			
65	143.0	143.0	143.0	1874,751,18,34	1099.5			
66	89.0	89.0	89.0	1377,247,22,18	1094.0			
67	180.0	179.0	180.0	59,5,24,20	1083.1			
68	181.0	179.0	181.0	280,219,23,22	1067.6			
69	156.0	155.0	156.0	1377,131,30,51	1063.4			
70	183.0	181.0	184.0	1173,433,12,24	1057.4			
71	162.0	162.0	162.0	0,0,21,27	1052.2			
72	20.0	20.0	20.0	0,0,35,23	1031.2			
73	113.0	113.0	113.0	1287,633,18,26	1019.5			
74	183.0	183.0	184.0	735,73,32,16	1012.3			
75	184.0	180.0	184.0	1065,291,24,12	979.0			
76	50.0	50.0	50.0	1673,1050,31,23	968.2			
77	21.0	21.0	22.0	605,435,20,46	962.6			
78	88.0	88.0	88.0	1831,757,21,22	960.3			
79	144.0	144.0	144.0	297,779,17,30	953.3			
80	23.0	23.0	23.0	438,0,55,39	945.2			
81	74.0	74.0	74.0	1887,329,33,10	936.5			
82	3.0	3.0	8.0	47,940,28,45	936.2			
83	125.0	123.0	125.0	1085,321,25,16	928.4			
84	167.0	165.0	167.0	1815,603,62,21	921.7			
85	164.0	163.0	171.0	199,209,22,48	918.2			
86	110.0	110.0	114.0	1228,118,11,39	887.6			
87	157.0	157.0	157.0	1488,41,22,38	874.5			
88	77.0	77.0	77.0	93,839,26,15	855.1			
89	183.0	183.0	183.0	577,483,12,26	852.1			
90	126.0	126.0	126.0	541,35,40,9	837.2			
91	121.0	121.0	121.0	1285,99,28,18	835.4			
92	4.0	4.0	8.0	49,1051,10,29	825.8			
93	21.0	21.0	23.0	0,0,29,19	822.5			
94	22.0	19.0	22.0	884,505,21,24	819.1			
95	106.0	106.0	106.0	1895,171,19,29	817.7			
96	163.0	162.0	163.0	986,1028,31,17	802.5			
