t	f_px	dist_m	gsd_cm	obj8px_cm	status
0.0	15565	36	0.2	2	ok
2.0	15565	36	0.2	2	ok
4.0	15565	36	0.2	2	ok
6.0	15565	36	0.2	2	ok
8.0	15565	37	0.2	2	ok
10.0	15349	37	0.2	2	ok
12.0	14847	37	0.2	2	ok
14.0	14345	37	0.3	2	ok
16.0	14345	37	0.3	2	ok
18.0	14847	36	0.2	2	ok
20.0	14345	36	0.3	2	ok
22.0	14345	36	0.3	2	ok
24.0	14847	36	0.2	2	ok
26.0	14345	36	0.3	2	ok
28.0	14345	36	0.3	2	ok
30.0	14256	37	0.3	2	ok
32.0	14168	37	0.3	2	ok
34.0	14094	37	0.3	2	ok
36.0	14020	38	0.3	2	ok
38.0					no_focal
40.0					no_focal
42.0					no_focal
44.0					no_focal
46.0					no_focal
48.0					no_focal
50.0					no_focal
52.0					no_focal
54.0	8042	38	0.5	4	ok
56.0	8042	38	0.5	4	ok
58.0	7876	39	0.5	4	ok
60.0	7711	39	0.5	4	ok
62.0	7574	39	0.5	4	ok
64.0	7711	39	0.5	4	ok
66.0	7711	37	0.5	4	ok
68.0	7876	37	0.5	4	ok
70.0	7876	37	0.5	4	ok
72.0	7876	39	0.5	4	ok
74.0	7876	38	0.5	4	ok
76.0	7711	37	0.5	4	ok
78.0	7702	38	0.5	4	ok
80.0	7702	42	0.5	4	ok
82.0	7711	42	0.5	4	ok
84.0					no_focal
86.0					no_focal
88.0	9649	39	0.4	3	ok
90.0					no_focal
92.0	10446	39	0.4	3	ok
94.0	10446	39	0.4	3	ok
96.0	10446	39	0.4	3	ok
98.0	10446	39	0.4	3	ok
100.0	10446	39	0.4	3	ok
102.0					no_focal
104.0					no_focal
106.0					no_focal
108.0	6053	39	0.6	5	ok
110.0	6053	39	0.6	5	ok
112.0	6053	39	0.6	5	ok
114.0	6053	38	0.6	5	ok
116.0	6053	38	0.6	5	ok
118.0	6053	38	0.6	5	ok
120.0	6053	38	0.6	5	ok
122.0	4736	38	0.8	6	ok
124.0	3418	44	1.3	10	ok
126.0	3418	72	2.1	17	ok
128.0	3418	40	1.2	9	ok
130.0	2973	39	1.3	11	ok
132.0	2973	39	1.3	11	ok
134.0	2973	37	1.3	10	ok
136.0	3010	34	1.1	9	ok
138.0	3010	31	1.0	8	ok
140.0	3010	28	0.9	7	ok
142.0	3046	26	0.8	7	ok
144.0	2973	25	0.9	7	ok
146.0	2973	28	1.0	8	ok
148.0	2973	35	1.2	9	ok
150.0	2973	26	0.9	7	ok
152.0	2973	23	0.8	6	ok
154.0	2973	19	0.6	5	ok
156.0	2973	18	0.6	5	ok
158.0	2973	18	0.6	5	ok
160.0					no_telemetry
162.0	2973	33	1.1	9	ok
164.0	2973	32	1.1	9	ok
