t	f_px	dist_m	gsd_cm	obj8px_cm	status
0.0	2630	423	16.1	129	ok
2.0	2518	422	16.8	134	ok
4.0	2341	417	17.8	143	ok
6.0	2341	410	17.5	140	ok
8.0	2341	358	15.3	122	ok
10.0	2341	349	14.9	119	ok
12.0	2341	340	14.5	116	ok
14.0	2341	304	13.0	104	ok
16.0	2341	294	12.6	101	ok
18.0	2341	274	11.7	94	ok
20.0	2341	257	11.0	88	ok
22.0	2518	237	9.4	75	ok
24.0	2630	218	8.3	66	ok
26.0	2630	205	7.8	62	ok
28.0					no_focal
30.0					no_focal
32.0					no_focal
34.0					no_focal
36.0					no_focal
38.0					no_focal
40.0	7733	154	2.0	16	ok
42.0	7994	157	2.0	16	ok
44.0	8255	161	1.9	16	ok
46.0	7994	162	2.0	16	ok
48.0	7733	160	2.1	17	ok
50.0					no_focal
52.0					no_focal
54.0					no_focal
56.0					no_focal
58.0					no_focal
60.0					no_focal
62.0	3211	164	5.1	41	ok
64.0	3048	164	5.4	43	ok
66.0	3048	171	5.6	45	ok
68.0	2822	183	6.5	52	ok
70.0	2822	183	6.5	52	ok
72.0	2760	186	6.7	54	ok
74.0	2760	184	6.7	53	ok
76.0					no_focal
78.0					no_focal
80.0					no_focal
82.0					no_focal
84.0					no_focal
86.0	2448	117	4.8	38	ok
88.0	2448	107	4.4	35	ok
90.0	1235	104	8.4	67	ok
92.0	1842	101	5.5	44	ok
94.0	2448	100	4.1	33	ok
96.0					no_focal
98.0					no_focal
100.0					no_focal
102.0					no_focal
104.0					no_focal
106.0	1717	84	4.9	39	ok
108.0	2107	86	4.1	33	ok
110.0	2448	99	4.1	32	ok
112.0	2207	131	5.9	47	ok
114.0	2207	134	6.1	48	ok
116.0	2648	80	3.0	24	ok
118.0	2836	66	2.3	19	ok
120.0	2742	63	2.3	18	ok
122.0	2742	65	2.4	19	ok
124.0	2742	65	2.4	19	ok
126.0					no_focal
128.0					no_focal
130.0	2836	88	3.1	25	ok
132.0	2932	88	3.0	24	ok
134.0					no_focal
136.0					no_focal
138.0					no_focal
140.0					no_focal
142.0					no_focal
144.0					no_focal
146.0					no_focal
148.0					no_focal
150.0	5830	105	1.8	14	ok
152.0					no_focal
154.0					no_focal
156.0	5830	122	2.1	17	ok
158.0	5976	126	2.1	17	ok
160.0	5976	131	2.2	18	ok
162.0	5976	135	2.3	18	ok
164.0	5976	139	2.3	19	ok
166.0	6170	142	2.3	18	ok
