t	f_px	dist_m	gsd_cm	obj8px_cm	status
0.0	8053	149	1.9	15	ok
2.0	8053	152	1.9	15	ok
4.0	8053	156	1.9	15	ok
6.0	8198	160	1.9	16	ok
8.0	8198	160	2.0	16	ok
10.0	8198	160	1.9	16	ok
12.0	8198	161	2.0	16	ok
14.0	8198	163	2.0	16	ok
16.0	8198	164	2.0	16	ok
18.0	8198	166	2.0	16	ok
20.0	8198	168	2.0	16	ok
22.0	8344	169	2.0	16	ok
24.0	13861	171	1.2	10	ok
26.0	13861	174	1.3	10	ok
28.0	13861	178	1.3	10	ok
30.0	13861	180	1.3	10	ok
32.0	13861	183	1.3	11	ok
34.0	13861	186	1.3	11	ok
36.0	13403	191	1.4	11	ok
38.0	13499	194	1.4	11	ok
40.0	13499	198	1.5	12	ok
42.0	13596	200	1.5	12	ok
44.0	13728	201	1.5	12	ok
46.0	13861	204	1.5	12	ok
48.0	13861	197	1.4	11	ok
50.0	13861	197	1.4	11	ok
52.0	13861	197	1.4	11	ok
54.0	13861	197	1.4	11	ok
56.0	13861	197	1.4	11	ok
58.0	13861	207	1.5	12	ok
60.0	13861	209	1.5	12	ok
62.0	13861	213	1.5	12	ok
64.0	13861	215	1.5	12	ok
66.0	13861	215	1.5	12	ok
68.0	14260	215	1.5	12	ok
70.0	14260	215	1.5	12	ok
72.0	14260	216	1.5	12	ok
74.0	14260	217	1.5	12	ok
76.0	14659	217	1.5	12	ok
78.0					no_focal
80.0					no_focal
82.0					no_focal
84.0					no_focal
86.0					no_focal
88.0					no_focal
90.0					no_focal
92.0					no_focal
94.0					no_focal
96.0					no_focal
98.0					no_focal
100.0					no_focal
102.0					no_focal
104.0					no_focal
106.0					no_focal
108.0					no_focal
110.0					no_focal
112.0					no_focal
114.0					no_focal
116.0					no_focal
118.0					no_focal
120.0					no_focal
122.0					no_focal
124.0					no_focal
126.0					no_focal
128.0					no_focal
130.0					no_focal
132.0					no_focal
134.0					no_focal
136.0					no_focal
