t	f_px	dist_m	gsd_cm	obj8px_cm	status
0.0	3037	2897	95.4	763	ok
2.0	3013	2897	96.1	769	ok
4.0	2969	2905	97.8	783	ok
6.0	2924	3057	104.5	836	ok
8.0	2969	2587	87.1	697	ok
10.0	2924	2646	90.5	724	ok
12.0	2902	2617	90.2	721	ok
14.0	2902	2539	87.5	700	ok
16.0	2902	2346	80.8	647	ok
18.0	2902	2083	71.8	574	ok
20.0	2924	1938	66.3	530	ok
22.0	2902	68	2.3	19	ok
24.0	2902	54	1.9	15	ok
26.0	2924	47	1.6	13	ok
28.0	2953	44	1.5	12	ok
30.0	2924	45	1.5	12	ok
32.0	2908	47	1.6	13	ok
34.0	2908	46	1.6	13	ok
36.0	2894	46	1.6	13	ok
38.0	2894	46	1.6	13	ok
40.0	2876	44	1.5	12	ok
42.0	2890	44	1.5	12	ok
44.0	2890	42	1.4	11	ok
46.0	2930	38	1.3	10	ok
48.0	2924	36	1.2	10	ok
50.0	2945	35	1.2	9	ok
52.0	2966	33	1.1	9	ok
54.0	2951	30	1.0	8	ok
56.0	2945	29	1.0	8	ok
58.0	2951	32	1.1	9	ok
60.0	2951	34	1.1	9	ok
62.0	2951	36	1.2	10	ok
64.0	3012	39	1.3	10	ok
66.0	3007	43	1.4	11	ok
68.0	2951	47	1.6	13	ok
70.0	3062	51	1.7	13	ok
72.0	3095	57	1.9	15	ok
74.0	3132	63	2.0	16	ok
76.0	3166	73	2.3	18	ok
78.0	3166	1576	49.8	398	ok
80.0	3242	1639	50.6	404	ok
82.0	3242	1720	53.1	424	ok
84.0	3318	1687	50.8	407	ok
86.0	4904	1380	28.1	225	ok
88.0	6479	1369	21.1	169	ok
90.0	6673	1329	19.9	159	ok
92.0	6971	77	1.1	9	ok
94.0	7081	70	1.0	8	ok
96.0	7253	65	0.9	7	ok
98.0	7422	61	0.8	7	ok
100.0	7422	57	0.8	6	ok
102.0	7422	54	0.7	6	ok
104.0	7422	52	0.7	6	ok
106.0	7410	51	0.7	5	ok
108.0	7253	49	0.7	5	ok
110.0	7237	48	0.7	5	ok
112.0	6955	46	0.7	5	ok
114.0	6783	45	0.7	5	ok
116.0	6479	44	0.7	5	ok
118.0	5098	42	0.8	7	ok
120.0	3640	39	1.1	9	ok
122.0	3571	36	1.0	8	ok
124.0	3493	34	1.0	8	ok
126.0	3431	32	0.9	7	ok
128.0	3333	30	0.9	7	ok
130.0	3333	29	0.9	7	ok
132.0	3234	29	0.9	7	ok
134.0	3211	31	1.0	8	ok
136.0	3187	32	1.0	8	ok
138.0	3187	33	1.1	8	ok
140.0	3234	35	1.1	9	ok
142.0	3204	37	1.2	9	ok
144.0	3173	39	1.2	10	ok
146.0	3291	39	1.2	10	ok
148.0	3431	40	1.2	9	ok
150.0	3556	41	1.2	9	ok
152.0	3625	42	1.2	9	ok
154.0	3694	42	1.1	9	ok
156.0	3753	42	1.1	9	ok
158.0	3613	39	1.1	9	ok
160.0	4229	38	0.9	7	ok
162.0	4384	37	0.8	7	ok
164.0	5679	37	0.7	5	ok
166.0	5679	37	0.7	5	ok
168.0	6973	38	0.5	4	ok
170.0	6973	38	0.5	4	ok
172.0	6973	39	0.6	4	ok
174.0	5679	36	0.6	5	ok
176.0	5679	34	0.6	5	ok
178.0	4384	33	0.7	6	ok
180.0	5965	33	0.6	4	ok
182.0	5965	33	0.6	4	ok
184.0	5965	33	0.6	4	ok
186.0	4384	2403	54.8	438	ok
188.0	3715	318	8.6	69	ok
190.0	3070	47	1.5	12	ok
192.0	3045	1477	48.5	388	ok
194.0	2988	51	1.7	14	ok
196.0	2930	2092	71.4	571	ok
198.0	2930	309	10.5	84	ok
200.0	2881	309	10.7	86	ok
202.0	2807	309	11.0	88	ok
204.0	2854	52	1.8	14	ok
206.0	2857	47	1.6	13	ok
208.0	2793	43	1.5	12	ok
210.0	2793	41	1.5	12	ok
212.0	2854	39	1.4	11	ok
214.0	2857	37	1.3	10	ok
216.0	2857	35	1.2	10	ok
218.0	2857	34	1.2	10	ok
220.0	2857	34	1.2	9	ok
222.0	2859	31	1.1	9	ok
224.0	2870	30	1.0	8	ok
226.0	2859	29	1.0	8	ok
228.0	2859	28	1.0	8	ok
230.0	2857	28	1.0	8	ok
232.0	2854	27	1.0	8	ok
234.0	2857	27	0.9	8	ok
236.0	2859	28	1.0	8	ok
238.0	3111	28	0.9	7	ok
240.0	3363	27	0.8	6	ok
242.0	3476	27	0.8	6	ok
244.0	3554	28	0.8	6	ok
246.0	3632	28	0.8	6	ok
248.0	3751	29	0.8	6	ok
250.0	3871	30	0.8	6	ok
252.0	4744	32	0.7	5	ok
254.0	5618	32	0.6	5	ok
256.0	5618	32	0.6	5	ok
258.0	5618	32	0.6	5	ok
260.0	5618	32	0.6	5	ok
262.0	5939	32	0.5	4	ok
264.0	5618	33	0.6	5	ok
266.0	5618	33	0.6	5	ok
268.0					no_focal
270.0					no_focal
272.0					no_focal
274.0	6261	33	0.5	4	ok
276.0	8547	33	0.4	3	ok
278.0	8547	33	0.4	3	ok
280.0	8547	33	0.4	3	ok
282.0	10834	33	0.3	2	ok
284.0	10834	33	0.3	2	ok
286.0	10834	33	0.3	2	ok
288.0	10834	33	0.3	2	ok
290.0	8923	33	0.4	3	ok
292.0	10834	33	0.3	2	ok
294.0	12485	34	0.3	2	ok
296.0	12485	34	0.3	2	ok
298.0	12485	34	0.3	2	ok
300.0	12485	34	0.3	2	ok
302.0	12485	34	0.3	2	ok
304.0	12485	34	0.3	2	ok
306.0	12485	34	0.3	2	ok
308.0	12485	34	0.3	2	ok
310.0	12485	34	0.3	2	ok
312.0	12485	34	0.3	2	ok
314.0	14136	34	0.2	2	ok
316.0					no_focal
318.0					no_focal
320.0	14136	28	0.2	2	ok
322.0	14136	61	0.4	3	ok
324.0	14136	61	0.4	3	ok
326.0	14136	35	0.2	2	ok
328.0	14136	29	0.2	2	ok
330.0					no_focal
332.0					no_focal
334.0					no_focal
336.0					no_focal
338.0					no_focal
340.0					no_focal
342.0					no_focal
