t	f_px	dist_m	gsd_cm	obj8px_cm	status
0.0	1468	150	10.2	82	ok
2.0	1468	150	10.2	82	ok
4.0	1468	143	9.7	78	ok
6.0	1468	138	9.4	75	ok
8.0	1468	138	9.4	75	ok
10.0	1468	138	9.4	75	ok
12.0	1468	138	9.4	75	ok
14.0	1468	138	9.4	75	ok
16.0	1468	140	9.5	76	ok
18.0	1468	139	9.5	76	ok
20.0	1468	139	9.5	76	ok
22.0	1468	139	9.5	76	ok
24.0	1468	139	9.5	76	ok
26.0	1468	139	9.5	76	ok
28.0	1468	140	9.5	76	ok
30.0	1468	141	9.6	77	ok
32.0	1468	143	9.7	78	ok
34.0	1468	144	9.8	78	ok
36.0	1468	146	9.9	79	ok
38.0	1468	147	10.0	80	ok
40.0	1468	149	10.1	81	ok
42.0	1468	150	10.2	82	ok
44.0	1468	152	10.4	83	ok
46.0	1468	154	10.5	84	ok
48.0	1468	156	10.6	85	ok
50.0	1468	158	10.7	86	ok
52.0	1468	160	10.9	87	ok
54.0	1468	162	11.0	88	ok
56.0	1468	164	11.2	89	ok
58.0	1468	167	11.3	91	ok
60.0	1468	169	11.5	92	ok
62.0	1468	140	9.6	76	ok
64.0	1468	142	9.7	77	ok
66.0	1468	142	9.7	77	ok
68.0	1468	142	9.7	77	ok
70.0	1437	129	9.0	72	ok
72.0	1468	141	9.6	77	ok
74.0	1468	141	9.6	77	ok
76.0	1468	148	10.1	81	ok
78.0	1468	148	10.1	81	ok
80.0	1468	148	10.1	81	ok
82.0	1468	147	10.0	80	ok
84.0	1468	147	10.0	80	ok
86.0	1468	147	10.0	80	ok
88.0	1468	148	10.1	80	ok
90.0	1468	148	10.1	81	ok
92.0	1468	148	10.1	81	ok
94.0	1468	143	9.8	78	ok
96.0	1468	144	9.8	78	ok
98.0	1468	143	9.7	78	ok
100.0	1468	140	9.5	76	ok
102.0	1468	140	9.5	76	ok
104.0	1468	140	9.6	77	ok
106.0	1468	141	9.6	77	ok
108.0	1468	142	9.6	77	ok
110.0	1468	142	9.7	77	ok
112.0	1468	142	9.7	78	ok
114.0	1468	142	9.7	78	ok
116.0	1468	143	9.8	78	ok
118.0	1468	144	9.8	78	ok
120.0	1468	148	10.1	80	ok
122.0	1468	149	10.2	81	ok
124.0	1468	149	10.2	81	ok
126.0	1468	149	10.2	81	ok
128.0	1468	149	10.1	81	ok
130.0	1468	148	10.1	81	ok
132.0	1468	149	10.2	81	ok
134.0	1468	150	10.2	82	ok
136.0	1468	155	10.6	85	ok
138.0	1468	162	11.0	88	ok
140.0	1468	168	11.5	92	ok
142.0	1468	174	11.8	95	ok
144.0	1468	180	12.3	98	ok
146.0	1468	187	12.7	102	ok
148.0	1468	193	13.2	105	ok
150.0	1468	199	13.5	108	ok
152.0	1468	205	14.0	112	ok
154.0	1468	211	14.4	115	ok
156.0	1468	217	14.8	118	ok
158.0	1468	224	15.2	122	ok
160.0	1468	230	15.7	125	ok
