t	f_px	dist_m	gsd_cm	obj8px_cm	status
0.0	14396	132	0.9	7	ok
2.0	14396	132	0.9	7	ok
4.0	14396	132	0.9	7	ok
6.0	14396	131	0.9	7	ok
8.0	14489	129	0.9	7	ok
10.0	14582	128	0.9	7	ok
12.0	14682	127	0.9	7	ok
14.0	14682	126	0.9	7	ok
16.0	14582	125	0.9	7	ok
18.0	14658	124	0.8	7	ok
20.0	14734	125	0.8	7	ok
22.0	14758	125	0.8	7	ok
24.0	14781	125	0.8	7	ok
26.0	14827	124	0.8	7	ok
28.0	15225	122	0.8	6	ok
30.0	15578	120	0.8	6	ok
32.0	15718	120	0.8	6	ok
34.0	15858	120	0.8	6	ok
36.0	15718	119	0.8	6	ok
38.0	15179	118	0.8	6	ok
40.0	15179	117	0.8	6	ok
42.0	15578	116	0.7	6	ok
44.0	15592	116	0.7	6	ok
46.0	15578	116	0.7	6	ok
48.0	15363	116	0.8	6	ok
50.0	15072	116	0.8	6	ok
52.0	15048	116	0.8	6	ok
54.0	15363	116	0.8	6	ok
56.0	15470	116	0.7	6	ok
58.0	15578	115	0.7	6	ok
60.0	15470	114	0.7	6	ok
62.0	15363	114	0.7	6	ok
64.0	14586	114	0.8	6	ok
66.0	14499	114	0.8	6	ok
68.0	14412	113	0.8	6	ok
70.0	14499	113	0.8	6	ok
72.0	14499	113	0.8	6	ok
74.0	14499	113	0.8	6	ok
76.0	14586	113	0.8	6	ok
78.0	14974	113	0.8	6	ok
80.0	15363	113	0.7	6	ok
82.0	14586	113	0.8	6	ok
84.0	14586	113	0.8	6	ok
86.0	14839	113	0.8	6	ok
88.0	14621	113	0.8	6	ok
90.0	14403	113	0.8	6	ok
92.0	14621	113	0.8	6	ok
94.0	13579	113	0.8	7	ok
96.0	13579	113	0.8	7	ok
98.0	13579	113	0.8	7	ok
100.0	13579	113	0.8	7	ok
102.0	13579	113	0.8	7	ok
104.0					no_focal
106.0	14621	114	0.8	6	ok
108.0	14621	114	0.8	6	ok
110.0	14621	114	0.8	6	ok
112.0	14621	114	0.8	6	ok
114.0	14621	115	0.8	6	ok
116.0	14403	115	0.8	6	ok
118.0	13271	115	0.9	7	ok
120.0	13271	115	0.9	7	ok
122.0	11158	115	1.0	8	ok
124.0					no_focal
126.0	8768	115	1.3	10	ok
128.0	10177	115	1.1	9	ok
130.0	11158	115	1.0	8	ok
132.0	10728	116	1.1	9	ok
134.0	12139	116	1.0	8	ok
136.0	13370	116	0.9	7	ok
138.0	12301	116	0.9	8	ok
140.0	13451	117	0.9	7	ok
142.0	13451	117	0.9	7	ok
144.0	14600	117	0.8	6	ok
146.0	13507	117	0.9	7	ok
148.0	13125	117	0.9	7	ok
150.0	12769	118	0.9	7	ok
152.0	12769	117	0.9	7	ok
154.0	12769	118	0.9	7	ok
156.0	13863	118	0.9	7	ok
158.0	14113	119	0.8	7	ok
160.0	14600	119	0.8	7	ok
162.0	14867	120	0.8	6	ok
164.0	14600	121	0.8	7	ok
166.0	14113	122	0.9	7	ok
168.0	13626	122	0.9	7	ok
170.0	14017	123	0.9	7	ok
172.0	14183	123	0.9	7	ok
174.0	13958	123	0.9	7	ok
176.0	13792	123	0.9	7	ok
178.0	13958	124	0.9	7	ok
180.0	13792	125	0.9	7	ok
182.0	13792	126	0.9	7	ok
184.0	13626	126	0.9	7	ok
186.0	13958	127	0.9	7	ok
188.0	13958	128	0.9	7	ok
190.0	13872	130	0.9	7	ok
192.0	13872	131	0.9	8	ok
194.0	13872	131	0.9	8	ok
196.0	13785	151	1.1	9	ok
198.0	13872	151	1.1	9	ok
200.0	13785	151	1.1	9	ok
202.0	13785	151	1.1	9	ok
204.0	13958	149	1.1	9	ok
206.0	13958	153	1.1	9	ok
208.0	13958	155	1.1	9	ok
210.0	13872	156	1.1	9	ok
212.0	13785	158	1.1	9	ok
214.0	13785	158	1.1	9	ok
216.0	13751	157	1.1	9	ok
218.0	13751	157	1.1	9	ok
220.0	13751	154	1.1	9	ok
222.0	13751	154	1.1	9	ok
224.0	13751	154	1.1	9	ok
226.0	13716	152	1.1	9	ok
228.0	11405	151	1.3	11	ok
230.0	9246	151	1.6	13	ok
232.0	8544	151	1.8	14	ok
234.0	8544	153	1.8	14	ok
236.0	8544	155	1.8	15	ok
238.0	9975	156	1.6	12	ok
240.0	9975	155	1.6	12	ok
242.0	11405	156	1.4	11	ok
244.0	11405	155	1.4	11	ok
246.0	10225	156	1.5	12	ok
248.0	10225	160	1.6	12	ok
250.0	11906	160	1.3	11	ok
252.0					no_focal
254.0					no_focal
256.0	13427	163	1.2	10	ok
258.0					no_focal
260.0					no_focal
262.0					no_focal
264.0	14949	168	1.1	9	ok
266.0	14949	170	1.1	9	ok
268.0	16498	172	1.0	8	ok
270.0	16498	172	1.0	8	ok
272.0	18047	174	1.0	8	ok
274.0	18047	175	1.0	8	ok
276.0	18047	176	1.0	8	ok
278.0	18690	177	0.9	8	ok
280.0	18690	179	1.0	8	ok
282.0	19333	180	0.9	7	ok
284.0					no_focal
286.0					no_focal
288.0					no_focal
290.0					no_focal
292.0					no_focal
294.0					no_focal
296.0					no_focal
298.0					no_focal
300.0					no_focal
302.0					no_focal
304.0					no_focal
306.0					no_focal
308.0					no_focal
310.0					no_focal
312.0					no_focal
314.0					no_focal
316.0					no_focal
318.0					no_focal
320.0					no_focal
322.0					no_focal
324.0					no_focal
326.0					no_focal
328.0					no_focal
330.0					no_focal
332.0					no_focal
334.0					no_focal
336.0					no_focal
338.0					no_focal
340.0					no_focal
342.0					no_focal
344.0					no_focal
346.0					no_focal
348.0					no_focal
350.0					no_focal
352.0					no_focal
354.0					no_focal
356.0					no_focal
358.0					no_focal
360.0					no_focal
362.0					no_focal
364.0					no_focal
366.0					no_focal
368.0					no_focal
370.0					no_focal
372.0					no_focal
374.0					no_focal
376.0					no_focal
378.0					no_focal
380.0					no_focal
382.0					no_focal
384.0					no_focal
386.0					no_focal
388.0					no_focal
390.0					no_focal
392.0					no_focal
394.0					no_focal
396.0					no_focal
398.0					no_focal
400.0					no_focal
402.0					no_focal
404.0					no_focal
406.0					no_focal
408.0					no_focal
410.0					no_focal
412.0					no_focal
414.0					no_focal
416.0					no_focal
418.0					no_focal
420.0					no_focal
422.0					no_focal
424.0					no_focal
426.0					no_focal
428.0					no_focal
430.0					no_focal
432.0					no_focal
434.0					no_focal
436.0					no_focal
438.0					no_focal
440.0					no_focal
442.0					no_focal
444.0					no_focal
446.0					no_focal
448.0					no_focal
450.0					no_focal
452.0					no_focal
454.0					no_focal
456.0					no_focal
458.0					no_focal
460.0					no_focal
462.0					no_focal
464.0					no_focal
466.0					no_focal
