t	f_px	dist_m	gsd_cm	obj8px_cm	status
0.0	13164	55	0.4	3	ok
2.0	13164	55	0.4	3	ok
4.0	13164	55	0.4	3	ok
6.0	13164	55	0.4	3	ok
8.0	13164	55	0.4	3	ok
10.0	13164	55	0.4	3	ok
12.0	12998	55	0.4	3	ok
14.0	12998	55	0.4	3	ok
16.0	13363	55	0.4	3	ok
18.0	13363	55	0.4	3	ok
20.0	13728	55	0.4	3	ok
22.0	13728	55	0.4	3	ok
24.0	13728	55	0.4	3	ok
26.0	13661	55	0.4	3	ok
28.0	12998	55	0.4	3	ok
30.0	13661	55	0.4	3	ok
32.0	14323	55	0.4	3	ok
34.0	14323	55	0.4	3	ok
36.0	14970	55	0.4	3	ok
38.0	15616	55	0.4	3	ok
40.0	15649	55	0.4	3	ok
42.0	15649	55	0.4	3	ok
44.0	15649	55	0.4	3	ok
46.0	15649	55	0.4	3	ok
48.0	15682	56	0.4	3	ok
50.0	15649	56	0.4	3	ok
52.0	15682	56	0.4	3	ok
54.0	15649	57	0.4	3	ok
56.0	15616	57	0.4	3	ok
58.0	15616	58	0.4	3	ok
60.0	14686	58	0.4	3	ok
62.0	14686	58	0.4	3	ok
64.0	14251	59	0.4	3	ok
66.0	14251	59	0.4	3	ok
68.0	14686	60	0.4	3	ok
70.0	14251	60	0.4	3	ok
72.0	14251	61	0.4	3	ok
74.0	14251	77	0.5	4	ok
76.0	13816	78	0.6	5	ok
78.0	13816	79	0.6	5	ok
80.0	12098	81	0.7	5	ok
82.0	12098	83	0.7	5	ok
84.0	12098	83	0.7	6	ok
86.0	12098	83	0.7	6	ok
88.0	10380	83	0.8	6	ok
90.0	10248	83	0.8	6	ok
92.0	10248	83	0.8	7	ok
94.0	10115	83	0.8	7	ok
96.0	10115	84	0.8	7	ok
98.0	10115	85	0.8	7	ok
100.0					no_focal
102.0					no_focal
104.0					no_focal
106.0					no_focal
