video	width	n	n_ests	no_focal	sky	gap	gsd_med_cm	gsd_p90_cm	obj8_med_cm	ryukzak	kurtka	kryshka
DJI_20260815111704_0001_Z.MP4	1920	85	16	0.518	0.000	0.000	33.524	133.590	268.190	0.000	0.000	0.000
DJI_20260815112138_0002_Z.MP4	1920	14	9	0.071	0.000	0.000	0.526	0.577	4.211	0.929	0.929	0.929
DJI_20260815112305_0003_Z.MP4	1920	63	24	0.127	0.016	0.000	1.415	54.951	11.323	0.619	0.619	0.619
DJI_20260815112532_0004_Z.MP4	1920	103	13	0.602	0.000	0.000	0.951	27.114	7.606	0.214	0.214	0.214
DJI_20260815114221_0001_Z.MP4	1920	172	95	0.337	0.000	0.000	0.992	39.096	7.933	0.593	0.593	0.587
DJI_20260815115149_0002_Z.MP4	1920	34	13	0.353	0.000	0.000	1.448	1.549	11.581	0.647	0.647	0.647
DJI_20260815120814_0001_Z.MP4	1920	121	45	0.033	0.000	0.000	0.684	0.861	5.475	0.942	0.942	0.917
DJI_20260815121248_0002_Z.MP4	1920	123	19	0.732	0.000	0.000	0.398	0.461	3.184	0.268	0.268	0.268
DJI_20260815121748_0003_Z.MP4	1920	140	31	0.564	0.000	0.000	0.099	0.272	0.794	0.436	0.436	0.436
DJI_20260815123418_0001_Z.MP4	1920	7	3	0.000	0.429	0.000	26.709	42.650	213.670	0.143	0.143	0.143
DJI_20260815123436_0002_Z.MP4	1920	142	33	0.542	0.049	0.000	0.524	19.921	4.195	0.282	0.282	0.282
DJI_20260815123949_0003_Z.MP4	1920	153	30	0.458	0.046	0.000	0.138	0.420	1.101	0.497	0.497	0.497
DJI_20260815145851_0001_Z.MP4	1920	235	67	0.626	0.000	0.004	1.019	11.376	8.149	0.353	0.306	0.243
DJI_20260815150808_0002_Z.MP4	1920	241	45	0.851	0.000	0.000	0.853	1.405	6.827	0.149	0.149	0.149
DJI_20260815152800_0001_Z.MP4	1920	119	42	0.471	0.000	0.000	1.480	3.095	11.843	0.529	0.529	0.328
DJI_20260815153424_0002_Z.MP4	1920	169	59	0.343	0.000	0.006	5.811	34.105	46.486	0.361	0.349	0.284
DJI_20260815162956_0001_Z.MP4	1920	459	102	0.577	0.000	0.000	1.024	2.163	8.193	0.423	0.423	0.373
DJI_20260815165537_0001_Z.MP4	1920	257	63	0.759	0.078	0.000	1.049	2.320	8.389	0.163	0.163	0.109
DJI_20260815183932_0001_Z.MP4	1920	179	41	0.508	0.000	0.000	0.743	0.965	5.947	0.492	0.492	0.492
DJI_20260815183932_0001_Z_fixed.MP4	1920	113	22	0.292	0.000	0.000	0.813	1.625	6.508	0.708	0.708	0.681
DJI_20260815184619_0002_Z.MP4	1920	26	16	0.192	0.000	0.000	0.950	1.896	7.604	0.808	0.808	0.808
DJI_20260815191652_0001_Z.MP4	1920	69	9	0.855	0.000	0.000	1.505	1.937	12.044	0.145	0.145	0.145
DJI_20260815194339_0001_Z.MP4	1920	175	62	0.531	0.000	0.000	0.173	0.397	1.387	0.469	0.469	0.469
DJI_20260815194939_0002_Z.MP4	1920	7	4	0.571	0.000	0.000	0.055	0.056	0.441	0.429	0.429	0.429
DJI_20260815195123_0003_Z.MP4	1920	61	2	0.984	0.000	0.016						
DJI_20260815200442_0002_Z.MP4	1920	99	18	0.909	0.000	0.000	28.110	30.441	224.876	0.010	0.000	0.000
DJI_20260816114520_0001_Z.MP4	1920	281	41	0.801	0.000	0.000	0.840	1.748	6.721	0.199	0.199	0.196
DJI_20260816141704_0001_W.MP4	1920	500	146	0.224	0.000	0.000	12.433	43.347	99.463	0.390	0.194	0.000
DJI_20260816141704_0001_Z.MP4	1920	500	145	0.496	0.000	0.000	9.733	29.618	77.864	0.266	0.238	0.048
DJI_20260816143344_0005_W.MP4	1920	161	49	0.000	0.000	0.000	2.323	5.518	18.585	1.000	0.988	0.497
DJI_20260816143344_0005_Z.MP4	1920	161	40	0.702	0.000	0.000	0.947	2.542	7.577	0.298	0.298	0.230
DJI_20260816145338_0001_W.MP4	1920	176	61	0.142	0.000	0.000	22.544	34.084	180.349	0.159	0.000	0.000
DJI_20260816145338_0001_Z.MP4	1920	176	66	0.205	0.000	0.000	14.603	21.902	116.821	0.307	0.114	0.028
DJI_20260816150111_0003_W.MP4	1920	81	24	0.000	0.000	0.000	10.046	12.274	80.365	0.901	0.000	0.000
DJI_20260816150111_0003_Z.MP4	1920	81	23	0.481	0.000	0.000	2.702	4.747	21.614	0.519	0.519	0.025
DJI_20260816150405_0004_W.MP4	1920	101	18	0.644	0.000	0.000	29.285	42.453	234.280	0.000	0.000	0.000
DJI_20260816150405_0004_Z.MP4	1920	101	17	0.713	0.000	0.000	14.999	19.855	119.991	0.089	0.000	0.000
