t	f_px	dist_m	gsd_cm	obj8px_cm	status
0.0					no_focal
2.0					no_focal
4.0					no_focal
6.0					no_focal
8.0					no_focal
10.0					no_focal
12.0					no_focal
14.0					no_focal
16.0					no_focal
18.0					no_focal
20.0					no_focal
22.0					no_focal
24.0					no_focal
26.0	1467	479	32.6	261	ok
28.0	1537	469	30.5	244	ok
30.0	1537	458	29.8	238	ok
32.0	1537	447	29.1	233	ok
34.0	1537	440	28.6	229	ok
36.0	1467	434	29.6	236	ok
38.0	1578	427	27.1	217	ok
40.0	1578	431	27.3	218	ok
42.0	1578	432	27.4	219	ok
44.0	1578	432	27.4	219	ok
46.0	1578	424	26.9	215	ok
48.0	1578	421	26.7	213	ok
50.0	1592	416	26.1	209	ok
52.0	1578	410	26.0	208	ok
54.0	1578	411	26.1	209	ok
56.0	1578	415	26.3	210	ok
58.0	1523	415	27.3	218	ok
60.0	1523	921	60.5	484	ok
62.0	1467	287	19.6	157	ok
64.0	1466	285	19.4	155	ok
66.0	1516	285	18.8	150	ok
68.0	1464	284	19.4	155	ok
70.0	1464	305	20.8	166	ok
72.0	1464	357	24.4	195	ok
74.0	1464	355	24.2	194	ok
76.0	1489	351	23.5	188	ok
78.0	1489	327	22.0	176	ok
80.0	1489	298	20.0	160	ok
82.0	1411	290	20.5	164	ok
84.0	1411	284	20.1	161	ok
86.0	1411	274	19.4	155	ok
88.0	1411	261	18.5	148	ok
90.0					no_focal
92.0	1567	254	16.2	130	ok
94.0	1720	245	14.2	114	ok
96.0	1720	233	13.6	109	ok
98.0	1872	223	11.9	95	ok
100.0	1872	205	11.0	88	ok
102.0	1872	190	10.1	81	ok
104.0	1872	175	9.3	75	ok
106.0	1883	157	8.3	67	ok
108.0	1872	146	7.8	62	ok
110.0					no_focal
112.0	1705	170	10.0	80	ok
114.0	1705	192	11.2	90	ok
116.0	1558	209	13.4	107	ok
118.0	1558	236	15.2	121	ok
120.0	1548	260	16.8	134	ok
122.0	1715	261	15.2	122	ok
124.0	1715	257	15.0	120	ok
126.0	1715	257	15.0	120	ok
128.0	1715	416	24.3	194	ok
130.0	1558	423	27.1	217	ok
132.0	1548	423	27.4	219	ok
134.0	1537	431	28.0	224	ok
136.0					no_focal
