t	f_px	dist_m	gsd_cm	obj8px_cm	status
0.0	2853	20	0.7	6	ok
2.0	2893	20	0.7	5	ok
4.0	2928	20	0.7	5	ok
6.0	2893	20	0.7	5	ok
8.0	2876	20	0.7	6	ok
10.0	2893	20	0.7	6	ok
12.0	2928	21	0.7	6	ok
14.0	2893	21	0.7	6	ok
16.0	2876	22	0.8	6	ok
18.0	2876	22	0.8	6	ok
20.0	2876	23	0.8	6	ok
22.0	2893	24	0.8	7	ok
24.0	2893	24	0.8	7	ok
26.0	2963	25	0.8	7	ok
28.0	2974	26	0.9	7	ok
30.0					no_focal
32.0					no_focal
34.0					no_focal
36.0					no_focal
38.0					no_focal
40.0					no_focal
42.0					no_focal
44.0					no_focal
46.0					no_focal
48.0	7466	35	0.5	4	ok
50.0	8439	36	0.4	3	ok
52.0	9412	37	0.4	3	ok
54.0	9412	38	0.4	3	ok
56.0	9489	43	0.5	4	ok
58.0	9450	48	0.5	4	ok
60.0	9412	46	0.5	4	ok
62.0	8455	45	0.5	4	ok
64.0	8450	45	0.5	4	ok
66.0	8446	48	0.6	5	ok
68.0	8450	49	0.6	5	ok
70.0	8450	49	0.6	5	ok
72.0	8446	48	0.6	5	ok
74.0	8446	43	0.5	4	ok
76.0	8446	41	0.5	4	ok
78.0	7872	38	0.5	4	ok
80.0	7872	38	0.5	4	ok
82.0	7872	41	0.5	4	ok
84.0	7872	40	0.5	4	ok
86.0	7872	40	0.5	4	ok
88.0	7746	40	0.5	4	ok
90.0	7746	40	0.5	4	ok
92.0	7522	40	0.5	4	ok
94.0	7746	41	0.5	4	ok
96.0	7522	41	0.5	4	ok
98.0	7298	41	0.6	5	ok
100.0	7519	44	0.6	5	ok
102.0	7341	46	0.6	5	ok
104.0	7391	46	0.6	5	ok
106.0	7528	58	0.8	6	ok
108.0	7528	70	0.9	7	ok
110.0	7528	92	1.2	10	ok
112.0	7528	128	1.7	14	ok
114.0	7528	120	1.6	13	ok
116.0	7528	120	1.6	13	ok
118.0	7528	120	1.6	13	ok
120.0	7528	116	1.5	12	ok
122.0	7528	107	1.4	11	ok
124.0	7528	106	1.4	11	ok
126.0	7528	64	0.8	7	ok
128.0	6342	63	1.0	8	ok
130.0	5294	65	1.2	10	ok
132.0	5294	68	1.3	10	ok
134.0	5294	63	1.2	10	ok
136.0	5294	61	1.1	9	ok
138.0	5294	57	1.1	9	ok
140.0	5294	42	0.8	6	ok
142.0	4342	25	0.6	5	ok
144.0	4342	24	0.6	4	ok
146.0	3390	36	1.1	8	ok
148.0	3390	86	2.5	20	ok
150.0	3390	96	2.8	23	ok
152.0	3390	98	2.9	23	ok
154.0	3390	101	3.0	24	ok
156.0	4342	103	2.4	19	ok
158.0	5294	104	2.0	16	ok
160.0					no_focal
162.0					no_focal
164.0					no_focal
166.0					no_focal
168.0	6036	69	1.1	9	ok
170.0	6245	70	1.1	9	ok
172.0	6408	75	1.2	9	ok
174.0	6408	79	1.2	10	ok
176.0	6455	86	1.3	11	ok
178.0	6408	93	1.5	12	ok
180.0	6455	101	1.6	13	ok
182.0	6455	108	1.7	13	ok
184.0	6455	109	1.7	14	ok
186.0	6455	109	1.7	14	ok
188.0	6455	109	1.7	14	ok
190.0	6455	109	1.7	14	ok
192.0	6455	110	1.7	14	ok
194.0	6455	114	1.8	14	ok
196.0	6408	124	1.9	15	ok
198.0	6362	139	2.2	18	ok
200.0	6563	175	2.7	21	ok
202.0	6764	202	3.0	24	ok
204.0	6764	208	3.1	25	ok
206.0	6764	207	3.1	24	ok
208.0	6764	207	3.1	24	ok
210.0	6764	207	3.1	24	ok
212.0	7085	197	2.8	22	ok
214.0	7085	202	2.8	23	ok
216.0	6764	202	3.0	24	ok
218.0					no_focal
220.0					no_focal
222.0					no_focal
224.0					no_focal
226.0					no_focal
228.0					no_focal
230.0					no_focal
232.0					no_focal
234.0					no_focal
236.0					no_focal
238.0					no_focal
240.0					no_focal
242.0					no_focal
244.0					no_focal
246.0					no_focal
248.0					no_focal
250.0					no_focal
252.0					no_focal
