t	f_px	dist_m	gsd_cm	obj8px_cm	status
0.0					no_focal
2.0					no_focal
4.0					no_focal
6.0					no_focal
8.0					no_focal
10.0					no_focal
12.0					no_focal
14.0					no_focal
16.0					no_focal
18.0					no_focal
20.0					no_focal
22.0					no_focal
24.0					no_focal
26.0					no_focal
28.0					no_focal
30.0					no_focal
32.0					no_focal
34.0					no_focal
36.0					no_focal
38.0					no_focal
40.0					no_focal
42.0	14012	1728	12.3	99	ok
44.0	14012	1569	11.2	90	ok
46.0	14012	1484	10.6	85	ok
48.0	11005	1457	13.2	106	ok
50.0	11005	1457	13.2	106	ok
52.0	11005	1453	13.2	106	ok
54.0	11005	1414	12.9	103	ok
56.0	13698	1434	10.5	84	ok
58.0	13698	1500	11.0	88	ok
60.0	13698	1478	10.8	86	ok
62.0	13698	1570	11.5	92	ok
64.0	13698	1675	12.2	98	ok
66.0	13698	1675	12.2	98	ok
68.0	13698	1548	11.3	90	ok
70.0	13698	1292	9.4	75	ok
72.0	10847	1292	11.9	95	ok
74.0	7997	1273	15.9	127	ok
76.0	3239	97	3.0	24	ok
78.0	3239	94	2.9	23	ok
80.0	3239	94	2.9	23	ok
82.0	3103	94	3.0	24	ok
84.0	3103	94	3.0	24	ok
86.0	3103	94	3.0	24	ok
88.0	8468	94	1.1	9	ok
90.0	8468	94	1.1	9	ok
92.0	8468	1418	16.7	134	ok
94.0	8468	1773	20.9	167	ok
96.0	3239	1998	61.7	493	ok
98.0	3239	1997	61.7	493	ok
100.0	3239	1997	61.7	493	ok
102.0	5278	1997	37.8	303	ok
104.0	7318	1974	27.0	216	ok
106.0	7949	1962	24.7	197	ok
108.0	7318	1868	25.5	204	ok
110.0	7051	1800	25.5	204	ok
112.0	7318	1791	24.5	196	ok
114.0	7318	1791	24.5	196	ok
116.0	7949	1811	22.8	182	ok
118.0	7949	1817	22.9	183	ok
120.0	8581	1817	21.2	169	ok
122.0	8623	1983	23.0	184	ok
124.0	8623	2126	24.7	197	ok
126.0	8623	2254	26.1	209	ok
128.0	8581	2221	25.9	207	ok
130.0	8581	2140	24.9	199	ok
132.0	8581	2057	24.0	192	ok
134.0	8581	1934	22.5	180	ok
136.0	7949	1833	23.1	184	ok
138.0	7949	1809	22.8	182	ok
140.0	7949	1789	22.5	180	ok
142.0	8581	1757	20.5	164	ok
144.0	7682	1752	22.8	182	ok
146.0	6784	1744	25.7	206	ok
148.0	8846	1744	19.7	158	ok
150.0	10907	1757	16.1	129	ok
152.0	10907	1742	16.0	128	ok
154.0	10907	1601	14.7	117	ok
156.0	10907	1498	13.7	110	ok
158.0	10907	1407	12.9	103	ok
160.0					no_focal
162.0					no_focal
164.0					no_focal
166.0					no_focal
168.0					no_focal
170.0					no_focal
172.0					no_focal
174.0	6761	560	8.3	66	ok
176.0					no_focal
178.0					no_focal
180.0					no_focal
182.0					no_focal
184.0					no_focal
186.0					no_focal
188.0					no_focal
190.0					no_focal
192.0					no_focal
194.0					no_focal
196.0					no_focal
