t	f_px	dist_m	gsd_cm	obj8px_cm	status
0.0	14280				above_horizon
2.0	14280				above_horizon
4.0	14612				above_horizon
6.0	14612				above_horizon
8.0	14612				above_horizon
10.0	14612				above_horizon
12.0	14612				above_horizon
14.0	14612				above_horizon
16.0	14612				above_horizon
18.0	14612				above_horizon
20.0	14612				above_horizon
22.0	14280				above_horizon
24.0	14612				above_horizon
26.0	14944				above_horizon
28.0	14530				above_horizon
30.0	14944				above_horizon
32.0	14944				above_horizon
34.0					no_focal
36.0					no_focal
38.0					no_focal
40.0					no_focal
42.0					no_focal
44.0					no_focal
46.0					no_focal
48.0					no_focal
50.0					no_focal
52.0					no_focal
54.0					no_focal
56.0					no_focal
58.0					no_focal
60.0					no_focal
62.0					no_focal
64.0					no_focal
66.0					no_focal
68.0					no_focal
70.0					no_focal
72.0					no_focal
74.0					no_focal
76.0					no_focal
78.0					no_focal
80.0					no_focal
82.0					no_focal
