lat	lon	alt_m	looked	seen	best_obj8_cm	min_dist_m
39.480197	73.586549	4841	1	0	718	11
39.480197	73.586898	4860	1	0	732	3
39.480197	73.587247	4878	1	0	732	9
39.480197	73.587596	4892	1	0	732	24
39.480197	73.587946	4906	1	0		25
39.480197	73.588295	4922	1	0		37
39.480197	73.588644	4940	1	0	535	31
39.480197	73.588993	4957	1	0	535	21
39.480197	73.589342	4979	0	0		41
39.480197	73.589691	5001	0	0		33
39.480197	73.590041	5020	1	1	97	4
39.480197	73.590390	5037	1	1	81	5
39.480197	73.590739	5057	1	1	69	1
39.480467	73.585502	4754	1	0	746	21
39.480467	73.585851	4782	1	0	996	13
39.480467	73.586200	4805	1	0	718	23
39.480467	73.586549	4820	1	0	718	7
39.480467	73.586898	4837	1	0	718	29
39.480467	73.587247	4854	1	0	732	37
39.480467	73.587596	4869	0	0		52
39.480467	73.587946	4885	0	0		54
39.480467	73.588295	4901	0	0		65
39.480467	73.588644	4917	0	0		56
39.480467	73.588993	4934	0	0		50
39.480467	73.589342	4957	0	0		49
39.480467	73.589691	4979	0	0		22
39.480467	73.590041	4998	1	0	118	4
39.480467	73.590390	5017	1	1	97	3
39.480737	73.585502	4723	0	0		38
39.480737	73.585851	4751	1	0	996	17
39.480737	73.586200	4774	1	0	718	32
39.480737	73.586549	4793	1	0	718	23
39.480737	73.586898	4815	0	0		42
39.480737	73.587247	4832	0	0		67
39.480737	73.587596	4849	0	0		76
39.480737	73.587946	4867	0	0		84
39.480737	73.588295	4882	0	0		92
39.480737	73.588644	4898	0	0		79
39.480737	73.588993	4917	0	0		69
39.480737	73.589342	4939	0	0		39
39.480737	73.589691	4957	1	0	153	10
39.480737	73.590041	4974	1	0	132	18
39.480737	73.590390	4996	1	0	119	8
39.481007	73.585502	4694	0	0		58
39.481007	73.585851	4714	0	0		47
39.481007	73.586200	4736	0	0		54
39.481007	73.586549	4762	0	0		52
39.481007	73.586898	4788	0	0		63
39.481007	73.587247	4810	0	0		81
39.481007	73.587596	4829	0	0		67
39.481007	73.587946	4849	0	0		66
39.481007	73.588295	4864	0	0		77
39.481007	73.588644	4878	0	0		54
39.481007	73.588993	4899	0	0		41
39.481007	73.589342	4921	0	0		39
39.481007	73.589691	4938	1	0	152	9
39.481007	73.590041	4954	1	0	152	21
39.481277	73.585851	4683	0	0		77
39.481277	73.586200	4703	0	0		81
39.481277	73.586549	4730	0	0		82
39.481277	73.586898	4759	0	0		75
39.481277	73.587247	4786	0	0		59
39.481277	73.587596	4810	0	0		39
39.481277	73.587946	4831	0	0		37
39.481277	73.588295	4847	0	0		54
39.481277	73.588644	4860	0	0		37
39.481277	73.588993	4880	1	0	354	12
39.481277	73.589342	4903	1	0	371	26
39.481277	73.589691	4922	1	0	153	20
39.481547	73.585851	4661	0	0		98
39.481547	73.586200	4680	0	0		84
39.481547	73.586549	4703	0	0		71
39.481547	73.586898	4731	0	0		50
39.481547	73.587247	4762	0	0		37
39.481547	73.587596	4789	1	0	240	17
39.481547	73.587946	4812	1	0	240	12
39.481547	73.588295	4830	1	0	261	31
39.481547	73.588644	4844	0	0		41
39.481547	73.588993	4863	1	0	354	12
39.481547	73.589342	4886	1	0	370	13
39.481547	73.589691	4908	1	0	382	31
39.481817	73.585851	4648	0	0		73
39.481817	73.586200	4665	0	0		57
39.481817	73.586549	4685	1	0		45
39.481817	73.586898	4710	1	0		30
39.481817	73.587247	4743	1	0	131	8
39.481817	73.587596	4771	1	0	245	23
39.481817	73.587946	4793	1	0	245	3
39.481817	73.588295	4812	1	0	261	5
39.481817	73.588644	4829	1	0	313	35
39.481817	73.588993	4848	1	0	371	30
39.481817	73.589342	4871	1	0	371	12
39.482087	73.586549	4671	1	1	29	18
39.482087	73.586898	4696	1	1	41	5
39.482087	73.587247	4729	1	1	53	3
39.482087	73.587596	4756	1	0	152	20
39.482087	73.587946	4777	1	0	261	32
39.482087	73.588295	4796	1	0	313	30
39.482087	73.588644	4812	0	0		46
39.482087	73.588993	4832	0	0		50
