t	f_px	dist_m	gsd_cm	obj8px_cm	status
0.0	2171	7	0.3	2	ok
2.0	2171	7	0.3	3	ok
4.0	2171	7	0.3	3	ok
6.0	1937	8	0.4	3	ok
8.0	2171	9	0.4	3	ok
10.0					no_focal
12.0	2171	14	0.6	5	ok
14.0	2171	14	0.6	5	ok
16.0	2171	14	0.6	5	ok
18.0	2171	14	0.6	5	ok
20.0	2171	14	0.6	5	ok
22.0	2171	14	0.6	5	ok
24.0	2171	13	0.6	5	ok
26.0	1937	11	0.5	4	ok
28.0	1742	2	0.1	1	ok
30.0	1079	263	24.3	195	ok
32.0					no_focal
34.0	7386	220	3.0	24	ok
36.0	7386	217	2.9	23	ok
38.0	7386	217	2.9	23	ok
40.0	4412	217	4.9	39	ok
42.0	4412	217	4.9	39	ok
44.0	4412	217	4.9	39	ok
46.0	7386	217	2.9	24	ok
48.0					no_focal
50.0					no_focal
52.0					no_focal
54.0	4333				above_horizon
56.0	4333				above_horizon
58.0	4333				above_horizon
60.0	5464				above_horizon
62.0	5464				above_horizon
64.0	5464				above_horizon
66.0	5464				above_horizon
68.0	5464	89	1.6	13	ok
70.0	5464	87	1.6	13	ok
72.0	5464	78	1.4	11	ok
74.0	4333	75	1.7	14	ok
76.0	4333	69	1.6	13	ok
78.0	4333	67	1.5	12	ok
