photo	lat	lon	alt	dist_m	drone_lat	drone_lon	drone_alt	gb_yaw	gb_pitch	dem_alt	dem_minus_lrf
data/drive/2026-08-16/DJI_202608161444_002/DJI_20260816150012_0002_SUPR/DJI_20260816150032_0018_SUPR.JPG	39.4820262	73.5858426	4609.7	191.649	39.48296912	73.584046104	4653.13	124.2	-13.1	4640.3	+30.6
data/drive/2026-08-16/DJI_202608161444_002/DJI_20260816150012_0002_SUPR/DJI_20260816150033_0019_SUPR.JPG	39.4820829	73.5856886	4599.5	180.35	39.482968993	73.584045882	4653.169	124.9	-17.3	4634.2	+34.7
data/drive/2026-08-16/DJI_202608161444_002/DJI_20260816150012_0002_SUPR/DJI_20260816150035_0020_SUPR.JPG	39.4822334	73.5858158	4599.1	181.003	39.482969104	73.584045947	4653.198	118.3	-17.4	4632.6	+33.5
data/drive/2026-08-16/DJI_202608161444_002/DJI_20260816150012_0002_SUPR/DJI_20260816150036_0021_SUPR.JPG	39.4824049	73.5858878	4599.5	178.512	39.482969019	73.58404599	4653.139	111.6	-17.5	4626.6	+27.1
data/drive/2026-08-16/DJI_202608161444_002/DJI_20260816150012_0002_SUPR/DJI_20260816150037_0022_SUPR.JPG	39.4825637	73.5860002	4598.0	182.376	39.482968703	73.584046128	4653.097	105.0	-17.6	4623.2	+25.2
data/drive/2026-08-16/DJI_202608161444_002/DJI_20260816150012_0002_SUPR/DJI_20260816150038_0023_SUPR.JPG	39.4827414	73.5860250	4598.2	180.422	39.482968263	73.584046145	4653.1	98.4	-17.7	4589.9	-8.3
data/drive/2026-08-16/DJI_202608161444_002/DJI_20260816150012_0002_SUPR/DJI_20260816150039_0024_SUPR.JPG	39.4829197	73.5860858	4596.9	184.156	39.482967728	73.584046006	4653.148	91.7	-17.8	4603.5	+6.6
data/drive/2026-08-16/DJI_202608161444_002/DJI_20260816150012_0002_SUPR/DJI_20260816150040_0025_SUPR.JPG	39.4829210	73.5860223	4583.9	183.467	39.48296748	73.584046114	4653.204	91.7	-22.2	4584.4	+0.5
data/drive/2026-08-16/DJI_202608161444_002/DJI_20260816150012_0002_SUPR/DJI_20260816150041_0026_SUPR.JPG	39.4827513	73.5859115	4587.7	174.796	39.48296773	73.584046179	4653.196	98.5	-22.0	4565.3	-22.4
data/drive/2026-08-16/DJI_202608161444_002/DJI_20260816150012_0002_SUPR/DJI_20260816150042_0027_SUPR.JPG	39.4825824	73.5858527	4588.4	173.571	39.482967778	73.584046024	4653.154	105.4	-21.9	4617.3	+28.9
data/drive/2026-08-16/DJI_202608161444_002/DJI_20260816150012_0002_SUPR/DJI_20260816150043_0028_SUPR.JPG	39.4824213	73.5857765	4588.8	173.011	39.482967667	73.584046003	4653.101	112.2	-21.8	4622.8	+34.0
data/drive/2026-08-16/DJI_202608161444_002/DJI_20260816150012_0002_SUPR/DJI_20260816150044_0029_SUPR.JPG	39.4822584	73.5856996	4588.7	174.816	39.482967351	73.584045736	4653.074	119.0	-21.6	4628.2	+39.5
data/drive/2026-08-16/DJI_202608161444_002/DJI_20260816150012_0002_SUPR/DJI_20260816150045_0030_SUPR.JPG	39.4821041	73.5855933	4588.5	176.321	39.482967149	73.584045622	4653.105	125.8	-21.5	4630.9	+42.4
data/drive/2026-08-16/DJI_202608161444_002/DJI_20260816150012_0002_SUPR/DJI_20260816150046_0031_SUPR.JPG	39.4821559	73.5854419	4580.9	166.663	39.482967241	73.584045379	4653.179	127.0	-25.7	4622.1	+41.2
data/drive/2026-08-16/DJI_202608161444_002/DJI_20260816150012_0002_SUPR/DJI_20260816150048_0032_SUPR.JPG	39.4822977	73.5855512	4581.0	165.851	39.48296729	73.584045251	4653.208	119.9	-25.8	4622.4	+41.4
data/drive/2026-08-16/DJI_202608161444_002/DJI_20260816150012_0002_SUPR/DJI_20260816150049_0033_SUPR.JPG	39.4824436	73.5856460	4580.2	166.209	39.482967162	73.584045106	4653.093	113.0	-26.0	4618.6	+38.4
data/drive/2026-08-16/DJI_202608161444_002/DJI_20260816150012_0002_SUPR/DJI_20260816150050_0034_SUPR.JPG	39.4825999	73.5857195	4579.5	166.694	39.482966739	73.584044838	4653.049	105.8	-26.2	4607.3	+27.8
data/drive/2026-08-16/DJI_202608161444_002/DJI_20260816150012_0002_SUPR/DJI_20260816150051_0035_SUPR.JPG	39.4827528	73.5858230	4576.3	172.615	39.482966384	73.584044862	4653.02	98.8	-26.4	4561.8	-14.5
data/drive/2026-08-16/DJI_202608161444_002/DJI_20260816150012_0002_SUPR/DJI_20260816150052_0036_SUPR.JPG	39.4829219	73.5859191	4572.7	180.035	39.482966047	73.584044719	4653.019	91.7	-26.5	4561.5	-11.2
data/drive/2026-08-16/DJI_202608161444_002/DJI_20260816150012_0002_SUPR/DJI_20260816150053_0037_SUPR.JPG	39.4829243	73.5858214	4561.7	177.992	39.482966075	73.584044625	4653.135	91.7	-30.9	4555.6	-6.1
data/drive/2026-08-16/DJI_202608161444_002/DJI_20260816150012_0002_SUPR/DJI_20260816150054_0038_SUPR.JPG	39.4827609	73.5856965	4567.9	167.204	39.482966202	73.584044471	4653.22	99.1	-30.7	4557.7	-10.2
data/drive/2026-08-16/DJI_202608161444_002/DJI_20260816150012_0002_SUPR/DJI_20260816150055_0039_SUPR.JPG	39.4826142	73.5855893	4571.7	160.625	39.482966154	73.584044415	4653.204	106.4	-30.5	4597.8	+26.1
data/drive/2026-08-16/DJI_202608161444_002/DJI_20260816150012_0002_SUPR/DJI_20260816150056_0040_SUPR.JPG	39.4824672	73.5855113	4572.6	159.524	39.482966095	73.584044372	4653.106	113.8	-30.3	4613.4	+40.8
data/drive/2026-08-16/DJI_202608161444_002/DJI_20260816150012_0002_SUPR/DJI_20260816150058_0041_SUPR.JPG	39.4823245	73.5854196	4573.0	159.61	39.482966121	73.584044095	4653.033	121.1	-30.1	4614.2	+41.2
data/drive/2026-08-16/DJI_202608161444_002/DJI_20260816150012_0002_SUPR/DJI_20260816150059_0042_SUPR.JPG	39.4821863	73.5853168	4572.8	161.057	39.48296622	73.584044095	4653.083	128.4	-29.9	4613.8	+41.0
