t	f_px	dist_m	gsd_cm	obj8px_cm	status
0.0					no_focal
2.0					no_focal
4.0					no_focal
6.0					no_focal
8.0					no_focal
10.0					no_focal
12.0					no_focal
14.0					no_focal
16.0					no_focal
18.0					no_focal
20.0					no_focal
22.0	6838				above_horizon
24.0	6838				above_horizon
26.0	6838				above_horizon
28.0	6838				above_horizon
30.0	6838				above_horizon
32.0	6838				above_horizon
34.0	6838				above_horizon
36.0	6838	4169	61.0	488	ok
38.0	6915	3950	57.1	457	ok
40.0	6992	1584	22.7	181	ok
42.0	6992	1510	21.6	173	ok
44.0	6992	1445	20.7	165	ok
46.0	6992	1407	20.1	161	ok
48.0	6992	1387	19.8	159	ok
50.0	7138	1356	19.0	152	ok
52.0	7138	1322	18.5	148	ok
54.0	7107	1294	18.2	146	ok
56.0	6992	1268	18.1	145	ok
58.0	7222	1218	16.9	135	ok
60.0	7464	1237	16.6	133	ok
62.0	7707	1230	16.0	128	ok
64.0	7707	1229	15.9	128	ok
66.0	7464	1201	16.1	129	ok
68.0	7222	1178	16.3	131	ok
70.0	7222	1152	16.0	128	ok
72.0	7107	65	0.9	7	ok
74.0	6992	59	0.8	7	ok
76.0	6992	55	0.8	6	ok
78.0	6909	49	0.7	6	ok
80.0	6847	46	0.7	5	ok
82.0	6847	44	0.6	5	ok
84.0	6847	41	0.6	5	ok
86.0	6847	39	0.6	5	ok
88.0	6847	37	0.5	4	ok
90.0	6847	36	0.5	4	ok
92.0	6847	36	0.5	4	ok
94.0	6597	35	0.5	4	ok
96.0	6597	34	0.5	4	ok
98.0	6515	33	0.5	4	ok
100.0	6515	32	0.5	4	ok
102.0					no_focal
104.0					no_focal
106.0					no_focal
108.0					no_focal
110.0					no_focal
112.0					no_focal
114.0					no_focal
116.0					no_focal
118.0	8376	29	0.3	3	ok
120.0	8376	29	0.3	3	ok
122.0	8376	28	0.3	3	ok
124.0	8376	28	0.3	3	ok
126.0	8376	28	0.3	3	ok
128.0	8376	28	0.3	3	ok
130.0	8376	27	0.3	3	ok
132.0	8376	27	0.3	3	ok
134.0	8376	27	0.3	3	ok
136.0	8376	26	0.3	3	ok
138.0					no_focal
140.0					no_focal
142.0					no_focal
144.0					no_focal
146.0					no_focal
148.0					no_focal
150.0					no_focal
152.0					no_focal
154.0					no_focal
156.0					no_focal
158.0					no_focal
160.0	6065	26	0.4	3	ok
162.0	6065	25	0.4	3	ok
164.0	6065	25	0.4	3	ok
166.0	6065	25	0.4	3	ok
168.0	6724	25	0.4	3	ok
170.0	6724	24	0.4	3	ok
172.0	6724	24	0.4	3	ok
174.0	6724	24	0.4	3	ok
176.0	7383	24	0.3	3	ok
178.0	7383	24	0.3	3	ok
180.0	7383	24	0.3	3	ok
182.0	7383	24	0.3	3	ok
184.0	7383	24	0.3	3	ok
186.0	7383	24	0.3	3	ok
188.0	7383	24	0.3	3	ok
190.0					no_focal
192.0					no_focal
194.0					no_focal
196.0					no_focal
198.0					no_focal
200.0					no_focal
202.0					no_focal
204.0					no_focal
206.0					no_focal
208.0					no_focal
210.0					no_focal
212.0					no_focal
214.0					no_focal
216.0					no_focal
218.0					no_focal
220.0					no_focal
222.0					no_focal
224.0					no_focal
226.0					no_focal
228.0					no_focal
230.0					no_focal
232.0					no_focal
234.0					no_focal
236.0					no_focal
238.0					no_focal
240.0					no_focal
242.0					no_focal
244.0					no_focal
246.0					no_focal
248.0					no_focal
250.0					no_focal
252.0					no_focal
254.0					no_focal
256.0					no_focal
258.0					no_focal
260.0					no_focal
262.0					no_focal
264.0					no_focal
266.0					no_focal
268.0					no_focal
270.0					no_focal
272.0					no_focal
274.0					no_focal
276.0					no_focal
278.0					no_focal
280.0					no_focal
282.0					no_focal
