# Журнал «факт против модели». Факт — от людей на горе / штаба; модель — ECMWF IFS 9 км через Open-Meteo (elevation=4663), осадки мм/сут, Tmax °C на 4663 м; спутник — Sentinel-2, доля камней в зоне 5385–5485 м / гребень C1 (только снимки с чистой площадкой ≥60 %).
# Источник фактов 11–16.08: AE (оператор дрона, был на горе), TG 28.08.2026; контрольная точка 5099 м — штаб.
date	fact_sky	fact_precip	fact_source	model_prec_mm	model_tmax_4663	s2_zone_rock	s2_c1_rock	verdict	note
2026-08-11	пасмурно весь день	~4 ч, внизу дождь, на 4500 снег	AE	4.5	2.1			сходится	пролёта S2 нет
2026-08-12	пасмурно весь день	~4 ч	AE	3.4	2.3	облака	облака	сходится	S2: тайл 98 % облаков
2026-08-13	солнце до 12:00	~2 ч	AE	0.4	3.1			модель занижает	пролёта нет
2026-08-14	пасмурно	~4 ч, снегопад сорвал облёт	AE + штаб	0.6	1.6			модель занижает сильно	пролёта нет; контрольная точка: 15.08 снега больше, чем днём 14.08
2026-08-15	солнце весь день	нет; снег уходит на глазах	AE	0.0	2.6	7.5	33.2	сходится	свежий снег ночи 14→15 виден утром; рюкзак 42.6 %
2026-08-16	солнце до 12:00	~2 ч	AE	0.0	3.0			модель пропустила	пролёта нет
2026-08-17	—	—	—	0.6	3.5	14.7	50.9	спутник: вытаяло 15–16	облачность тайла 43 %, площадка чистая 71 %
