ранг	ранг_в_группе	расстояние	сигнатура	d_ab	d_L	ловушка	d_ловушки	L	a	b	C	цвет_измерен	track	t_best	t0	t1	bbox	score	lat	lon	alt
1	1	0.516	рюкзак-синий	3.6	7.0	снег-в-тени	0.800	31.8	-2.0	-12.0	12.2	bbox	0	19.0	18.0	19.0	1833,0,87,207	6447.0			
2	2	0.820	рюкзак-синий	5.0	14.9	снег-в-тени	0.923	23.9	-2.0	-10.0	10.2	bbox	1	34.0	27.0	38.0	1641,876,279,204	5757.1			
3	3	0.703	рюкзак-синий	4.2	12.9	снег-в-тени	0.903	25.9	-2.0	-11.0	11.2	bbox	2	15.0	13.0	15.0	1831,1008,89,72	5272.0			
4	4	0.404	рюкзак-синий	3.2	2.4	снег-в-тени	0.714	41.2	-2.0	-13.0	13.2	bbox	3	17.0	17.0	17.0	1889,0,31,65	4813.1			
5	5	1.853	рюкзак-синий	13.0	24.7	порода-в-тени	0.336	14.1	0.0	-1.0	1.0	bbox	4	1.0	1.0	2.0	87,833,58,154	3491.4			
6	6	1.184	рюкзак-синий	6.3	24.7	порода-в-тени	0.912	14.1	-1.0	-8.0	8.1	bbox	5	75.0	75.0	76.0	1848,1008,72,72	3263.9			
7	7	1.058	рюкзак-синий	4.1	25.9	порода-в-тени	1.183	12.9	0.0	-10.0	10.0	bbox	6	3.0	0.0	3.0	0,953,47,88	3064.7			
8	8	1.277	рюкзак-синий	7.3	25.1	порода-в-тени	0.797	13.7	-1.0	-7.0	7.1	bbox	7	78.0	77.0	78.0	1878,1033,42,47	2982.7			
9	9	1.297	рюкзак-синий	7.3	25.9	порода-в-тени	0.806	12.9	-1.0	-7.0	7.1	bbox	8	70.0	70.0	71.0	1885,1042,35,38	2936.0			
10	10	0.385	рюкзак-синий	2.2	7.4	снег-в-тени	1.159	31.4	0.0	-16.0	16.0	bbox	9	4.0	3.0	5.0	1807,0,20,95	2827.6			
11	11	1.281	рюкзак-синий	6.3	28.2	порода-в-тени	0.951	10.6	-1.0	-8.0	8.1	bbox	10	68.0	68.0	68.0	1840,988,80,92	2420.5			
12	12	0.676	рюкзак-синий	3.6	14.1	снег-в-тени	0.915	24.7	-1.0	-11.0	11.0	bbox	11	11.0	6.0	11.0	1761,1025,77,55	1925.7			
13	13	1.643	стакан-марка-красная	10.6	27.1	снег-освещённый	0.912	76.9	3.0	-6.0	6.7	bbox	12	97.0	97.0	99.0	1577,65,32,68	1634.1			
14	14	1.267	рюкзак-синий	7.3	24.7	порода-в-тени	0.793	14.1	-1.0	-7.0	7.1	bbox	13	77.0	76.0	77.0	1828,1009,61,71	1621.9			
15	15	0.973	рюкзак-синий	4.1	23.1	порода-в-тени	1.165	15.7	0.0	-10.0	10.0	bbox	14	55.0	55.0	55.0	1901,0,19,57	1599.8			
16	16	1.216	рюкзак-синий	6.3	25.9	порода-в-тени	0.923	12.9	-1.0	-8.0	8.1	bbox	15	79.0	79.0	79.0	1895,1056,25,24	1448.7			
17	17	1.158	рюкзак-синий	9.2	3.1	снег-в-тени	0.984	35.7	7.0	-7.0	9.9	bbox	16	94.0	94.0	97.0	1454,345,29,35	1359.0			
18	18	1.232	рюкзак-синий	6.3	26.4	порода-в-тени	0.929	12.4	-1.0	-8.0	8.1	bbox	17	69.0	69.0	71.0	1896,1057,24,23	1330.7			
19	19	1.859	рюкзак-синий	12.0	30.6	порода-в-тени	0.517	8.2	0.0	-2.0	2.0	bbox	18	37.0	36.0	38.0	1751,863,28,62	1308.4			
20	20	0.525	рюкзак-синий	2.0	12.9	снег-в-тени	0.937	25.9	1.0	-12.0	12.0	bbox	19	96.0	96.0	97.0	1900,43,17,146	1299.3			
21	21	0.858	рюкзак-синий	2.5	22.4	снег-в-тени	0.759	61.2	2.5	-12.0	12.3	bbox	20	96.0	92.0	98.0	1529,0,36,105	1256.7			
22	22	0.519	рюкзак-синий	1.0	14.1	снег-в-тени	1.142	24.7	2.0	-14.0	14.1	bbox	21	99.0	96.0	99.0	1849,81,8,138	1166.3			
23	23	1.189	рюкзак-синий	4.5	29.4	порода-в-тени	1.198	9.4	-1.0	-10.0	10.0	bbox	22	11.0	6.0	11.0	1841,988,53,43	1164.4			
24	24	1.977	стакан-марка-красная	11.0	39.6	порода-в-тени	0.459	10.2	0.0	0.0	0.0	bbox	23	19.0	19.0	19.0	1889,5,31,30	1103.3			
25	25	1.182	рюкзак-синий	4.1	29.8	порода-в-тени	1.222	9.0	0.0	-10.0	10.0	bbox	24	13.0	13.0	13.0	1865,947,37,26	1069.8			
26	26	0.307	рюкзак-синий	1.4	7.0	снег-в-тени	1.046	31.8	0.0	-15.0	15.0	bbox	25	1.0	1.0	1.0	0,1053,29,27	1037.6			
27	27	1.599	стакан-марка-красная	10.8	23.9	снег-освещённый	0.771	73.7	2.0	-5.0	5.4	bbox	26	87.0	87.0	87.0	64,863,41,18	900.2			
28	28	1.893	рюкзак-синий	14.9	10.2	порода-в-тени	0.406	28.6	-4.0	0.0	4.0	bbox	27	0.0	0.0	2.0	0,931,29,29	865.5			
29	29	1.017	рюкзак-синий	3.2	26.3	порода-в-тени	1.305	12.5	0.0	-11.0	11.0	bbox	28	10.0	10.0	10.0	1751,1049,32,26	847.8			
30	30	1.165	рюкзак-синий	4.5	28.6	порода-в-тени	1.189	10.2	-1.0	-10.0	10.0	bbox	29	25.0	20.0	32.0	1798,1000,37,28	804.6			
31	31	1.133	стакан-марка-красная	7.2	19.2	снег-розовый	0.791	69.0	5.0	-3.0	5.8	bbox	30	94.0	93.0	94.0	0,963,31,14	795.2			
32	32	0.280	рюкзак-синий	2.0	3.5	снег-в-тени	1.102	35.3	1.0	-16.0	16.0	bbox	31	2.0	2.0	2.0	99,1023,18,57	788.0			
