track	t_best	t0	t1	bbox	score	lat	lon	alt
433	57.0	57.0	57.0	1828,1077,4,3	30.5			
434	77.0	76.0	77.0	213,105,4,4	30.4			
435	40.0	40.0	40.0	1747,625,2,4	30.3			
436	87.0	87.0	87.0	1253,661,2,6	30.3			
437	74.0	74.0	74.0	549,621,3,4	30.0			
438	9.0	9.0	9.0	1904,865,3,3	29.7			
439	81.0	81.0	81.0	1625,1031,3,4	29.4			
440	0.0	0.0	0.0	1581,109,2,4	29.3			
441	47.0	47.0	47.0	1918,5,2,4	29.2			
442	1.0	1.0	1.0	1623,405,2,4	28.9			
443	16.0	16.0	16.0	1728,585,2,4	28.9			
444	76.0	76.0	76.0	163,453,6,4	28.7			
445	44.0	44.0	44.0	1805,685,2,4	28.6			
446	4.0	4.0	4.0	1539,347,3,4	28.4			
447	79.0	79.0	79.0	289,61,8,2	28.4			
448	21.0	21.0	21.0	1518,1068,3,3	28.2			
449	63.0	63.0	63.0	57,855,4,2	28.0			
450	49.0	47.0	49.0	1659,772,4,3	27.7			
451	91.0	91.0	92.0	1905,929,2,4	27.7			
452	91.0	91.0	91.0	1827,647,6,2	27.6			
453	32.0	32.0	32.0	315,311,4,4	27.4			
454	53.0	53.0	53.0	965,561,3,3	27.1			
455	53.0	53.0	53.0	1240,1065,3,3	27.1			
456	76.0	76.0	76.0	1349,1035,3,3	27.1			
457	20.0	20.0	20.0	1435,341,3,4	27.0			
458	79.0	77.0	79.0	215,217,8,2	27.0			
459	73.0	73.0	73.0	578,439,7,2	26.8			
460	84.0	84.0	84.0	1821,1051,4,4	26.7			
461	1.0	1.0	1.0	1674,673,3,4	26.6			
462	54.0	54.0	54.0	806,1003,2,4	26.5			
463	99.0	99.0	99.0	853,736,3,3	26.5			
464	20.0	20.0	20.0	567,421,4,2	26.3			
465	91.0	88.0	91.0	261,685,6,2	26.3			
466	32.0	32.0	33.0	1915,523,2,4	26.2			
467	49.0	49.0	49.0	1704,841,3,4	26.2			
468	86.0	86.0	86.0	1809,698,6,3	26.2			
469	41.0	41.0	41.0	1609,989,4,4	26.0			
470	91.0	91.0	91.0	847,691,4,4	26.0			
471	15.0	13.0	15.0	563,203,3,4	25.8			
472	98.0	98.0	98.0	191,761,2,4	25.8			
473	9.0	9.0	9.0	748,212,3,5	25.7			
474	55.0	55.0	55.0	1919,125,1,6	25.7			
475	0.0	0.0	0.0	825,367,2,4	25.5			
476	91.0	91.0	91.0	17,335,6,2	25.3			
477	71.0	71.0	71.0	1210,827,5,2	25.1			
478	77.0	77.0	77.0	1871,367,2,3	25.0			
479	76.0	76.0	79.0	1814,427,3,3	24.9			
480	87.0	87.0	87.0	1685,831,6,2	24.9			
481	3.0	3.0	3.0	1916,11,4,2	24.7			
482	26.0	26.0	26.0	1860,913,3,3	24.5			
483	72.0	72.0	72.0	1814,1009,3,3	24.3			
484	15.0	15.0	15.0	673,941,2,4	24.2			
485	31.0	31.0	31.0	1373,975,4,2	24.2			
486	70.0	70.0	70.0	211,583,6,2	24.2			
487	92.0	92.0	92.0	1901,1047,4,2	24.2			
488	15.0	15.0	15.0	1341,189,4,2	24.1			
489	66.0	66.0	66.0	457,523,6,2	23.7			
490	45.0	42.0	45.0	951,793,2,4	23.6			
491	1.0	1.0	1.0	1607,175,2,3	23.5			
492	32.0	32.0	32.0	1599,1077,2,3	23.4			
493	73.0	73.0	73.0	1475,1057,3,2	23.3			
494	24.0	24.0	24.0	445,1018,2,3	23.2			
495	91.0	91.0	91.0	1285,911,4,2	23.1			
496	4.0	4.0	4.0	1861,577,3,2	23.0			
497	46.0	46.0	46.0	1690,326,3,3	23.0			
498	54.0	54.0	54.0	1055,853,2,3	22.6			
499	14.0	14.0	14.0	512,341,2,3	22.5			
500	16.0	16.0	16.0	1759,660,2,3	22.4			
501	47.0	47.0	47.0	1203,179,4,2	22.4			
502	39.0	39.0	39.0	1775,1073,2,4	22.3			
503	74.0	74.0	76.0	333,0,4,2	22.2			
504	46.0	46.0	49.0	1833,779,2,3	22.1			
505	51.0	51.0	51.0	1422,319,3,2	22.1			
506	34.0	34.0	34.0	1797,779,4,2	22.0			
507	46.0	46.0	46.0	357,663,4,2	21.8			
508	47.0	47.0	47.0	1523,951,4,4	21.7			
509	47.0	47.0	47.0	1356,1077,3,3	21.7			
510	50.0	50.0	50.0	1869,471,2,3	21.7			
511	56.0	56.0	56.0	1826,987,2,3	21.4			
512	62.0	62.0	62.0	309,741,4,4	21.3			
513	63.0	63.0	63.0	0,1073,3,2	21.3			
514	74.0	74.0	74.0	1234,521,3,8	21.3			
515	42.0	42.0	42.0	433,73,6,2	21.2			
516	87.0	87.0	87.0	1092,730,3,3	21.2			
517	3.0	3.0	3.0	0,481,3,2	20.9			
518	64.0	64.0	64.0	1707,1077,2,3	20.9			
519	92.0	92.0	92.0	1551,1015,2,3	20.7			
520	53.0	53.0	53.0	867,481,2,4	20.6			
521	76.0	76.0	76.0	1844,1023,3,2	20.6			
522	79.0	79.0	79.0	1829,345,3,2	20.6			
523	51.0	51.0	51.0	79,721,2,4	20.5			
524	86.0	86.0	86.0	1857,863,4,2	20.5			
525	42.0	42.0	42.0	327,371,2,6	20.4			
526	66.0	66.0	66.0	525,113,4,4	19.8			
527	70.0	70.0	70.0	731,0,2,5	19.6			
528	87.0	87.0	87.0	1891,325,2,4	19.4			
529	63.0	63.0	63.0	297,1069,2,3	19.3			
530	13.0	13.0	13.0	631,204,2,4	18.9			
531	99.0	99.0	99.0	17,561,4,2	18.9			
532	45.0	45.0	45.0	1394,927,3,2	18.7			
533	86.0	86.0	86.0	1783,498,2,4	18.6			
534	99.0	99.0	99.0	33,1047,2,3	18.6			
535	24.0	24.0	24.0	469,71,3,2	18.4			
536	80.0	80.0	80.0	25,7,3,2	18.4			
537	67.0	66.0	67.0	415,117,2,4	18.3			
538	79.0	79.0	79.0	167,151,2,4	18.3			
539	15.0	15.0	15.0	1551,188,2,3	18.0			
540	88.0	88.0	88.0	1847,331,2,4	18.0			
541	63.0	63.0	63.0	982,1049,3,2	17.9			
542	64.0	64.0	64.0	489,407,2,4	17.9			
543	91.0	87.0	91.0	515,767,4,2	17.8			
544	99.0	99.0	99.0	943,712,2,3	17.8			
545	71.0	71.0	71.0	1188,1053,3,2	17.5			
546	86.0	86.0	86.0	1695,445,4,4	17.5			
547	92.0	92.0	92.0	85,773,3,2	17.5			
548	42.0	42.0	42.0	797,79,4,2	17.4			
549	53.0	53.0	53.0	685,817,3,2	17.4			
550	86.0	86.0	86.0	1355,982,2,3	17.4			
551	63.0	63.0	63.0	329,1013,3,2	17.3			
552	86.0	86.0	86.0	1831,1077,2,3	17.3			
553	92.0	92.0	92.0	751,243,2,4	17.2			
554	49.0	48.0	49.0	1683,587,3,2	17.0			
555	46.0	46.0	46.0	657,841,2,4	16.9			
556	87.0	87.0	87.0	486,690,3,3	16.8			
557	54.0	54.0	54.0	926,457,3,2	16.7			
558	74.0	74.0	74.0	273,299,3,2	16.6			
559	63.0	63.0	63.0	267,1001,2,3	16.1			
560	10.0	10.0	10.0	837,855,2,3	16.0			
561	63.0	63.0	63.0	414,925,3,2	16.0			
562	73.0	73.0	73.0	411,593,2,4	16.0			
563	49.0	49.0	49.0	1682,467,3,2	15.9			
564	61.0	61.0	61.0	431,457,2,4	15.9			
565	63.0	63.0	63.0	477,437,2,4	15.9			
566	79.0	79.0	79.0	57,973,2,3	15.7			
567	61.0	61.0	61.0	0,695,4,2	15.3			
568	62.0	62.0	62.0	141,33,4,2	15.3			
569	62.0	62.0	62.0	555,151,4,2	15.3			
570	60.0	60.0	60.0	445,263,4,2	15.2			
571	60.0	60.0	60.0	281,289,4,2	15.2			
572	62.0	62.0	62.0	753,61,2,4	15.2			
573	69.0	69.0	69.0	1209,874,2,3	15.1			
574	70.0	70.0	70.0	873,1005,2,4	15.1			
575	66.0	66.0	66.0	52,207,3,2	14.9			
576	87.0	87.0	87.0	1708,889,3,2	14.9			
577	67.0	66.0	67.0	359,173,2,4	14.8			
578	67.0	67.0	67.0	345,587,2,4	14.8			
579	99.0	99.0	99.0	1011,694,2,3	14.8			
580	49.0	49.0	49.0	1899,1077,2,3	14.7			
581	66.0	66.0	66.0	605,359,4,2	14.7			
582	66.0	66.0	66.0	315,529,4,2	14.7			
583	66.0	66.0	66.0	369,923,2,4	14.7			
584	64.0	64.0	64.0	573,453,4,2	14.6			
585	64.0	64.0	64.0	425,597,2,4	14.6			
586	64.0	64.0	65.0	999,49,2,4	14.6			
587	64.0	64.0	65.0	951,125,3,4	14.6			
588	81.0	81.0	81.0	1501,938,2,3	14.4			
589	11.0	11.0	11.0	1393,310,2,3	14.3			
590	25.0	25.0	25.0	443,236,2,3	14.2			
591	60.0	60.0	60.0	1041,813,3,2	14.1			
592	60.0	60.0	60.0	405,8,2,3	13.9			
593	87.0	87.0	87.0	1190,655,3,2	13.9			
594	3.0	3.0	3.0	1676,0,2,3	13.6			
595	86.0	86.0	86.0	1903,760,2,3	13.6			
596	67.0	67.0	67.0	387,433,2,3	13.5			
597	46.0	46.0	46.0	667,13,3,2	13.4			
598	66.0	66.0	66.0	425,55,3,2	13.4			
599	79.0	79.0	79.0	321,0,2,3	12.9			
600	60.0	60.0	60.0	1081,63,3,2	12.8			
601	87.0	87.0	87.0	880,763,3,2	12.6			
602	88.0	88.0	88.0	455,933,4,2	12.4			
603	88.0	88.0	88.0	257,1007,4,2	12.4			
604	42.0	42.0	42.0	335,0,2,3	12.3			
605	79.0	79.0	79.0	975,975,4,4	12.2			
606	88.0	88.0	88.0	881,283,3,2	12.2			
607	88.0	88.0	88.0	303,790,2,3	12.2			
608	88.0	88.0	88.0	25,825,3,2	12.2			
609	73.0	73.0	73.0	524,509,3,2	11.2			
610	63.0	63.0	63.0	297,0,2,3	11.1			
611	63.0	63.0	63.0	262,465,3,2	11.1			
612	67.0	67.0	67.0	957,115,3,2	10.3			
613	90.0	90.0	90.0	433,189,2,3	10.3			
614	64.0	64.0	64.0	296,305,3,2	10.2			
615	88.0	88.0	88.0	67,323,4,4	8.6			
616	88.0	88.0	88.0	41,888,2,3	8.3			
