track	t_best	t0	t1	bbox	length_px	score	lat	lon	alt
0	236.4	236.4	236.4	746,0,428,578	713.5	13866.9	39.4833496	73.5850208	4551.5
1	230.4	230.4	230.4	344,92,358,542	645.5	11371.3	39.4833497	73.5850213	4551.5
2	227.4	225.4	229.4	412,176,170,282	322.3	7939.8	39.4833491	73.5850216	4551.5
3	210.3	209.3	210.3	172,670,240,410	472.3	7788.2	39.4833496	73.5850176	4551.5
4	230.4	230.4	230.4	754,402,166,246	294.0	7075.8	39.4833497	73.5850213	4551.5
5	125.2	123.2	126.2	350,492,224,512	551.3	6912.0	39.4836487	73.5856668	4553.4
6	229.4	229.4	229.4	658,286,178,302	345.5	6769.0	39.4833496	73.5850214	4551.5
7	205.3	205.3	208.3	298,506,198,298	346.4	6512.1	39.4833507	73.5850153	4551.4
8	124.2	124.2	124.2	448,632,186,448	480.6	6411.6	39.4836490	73.5856662	4553.4
9	207.3	207.3	208.3	62,732,184,326	369.8	6395.6	39.4833511	73.5850159	4551.5
10	230.4	230.4	230.4	922,146,190,264	312.2	6199.4	39.4833497	73.5850213	4551.5
11	237.4	232.4	237.4	732,300,174,272	320.1	6142.2	39.4833491	73.5850204	4551.5
12	148.2	148.2	148.2	476,40,234,494	531.2	6126.2	39.4836513	73.5856644	4553.4
13	237.4	237.4	239.4	182,648,272,342	431.6	5835.4	39.4833491	73.5850204	4551.5
14	240.4	240.4	240.4	1036,0,230,526	538.4	5750.7	39.4833493	73.5850188	4551.5
15	152.2	150.2	152.2	568,310,126,364	381.9	5733.3	39.4836505	73.5856652	4553.4
16	205.3	205.3	206.3	92,668,216,368	409.1	5717.7	39.4833507	73.5850153	4551.4
17	240.4	240.4	240.4	908,104,232,328	391.0	5361.0	39.4833493	73.5850188	4551.5
18	106.2	92.1	111.2	696,862,120,218	246.0	5342.1	39.4836575	73.5856514	4553.4
19	237.4	233.4	237.4	644,312,186,272	326.4	5333.9	39.4833491	73.5850204	4551.5
20	210.3	209.3	210.3	232,592,80,172	185.3	5332.1	39.4833496	73.5850176	4551.5
21	209.3	209.3	209.3	52,820,190,260	319.1	5043.1	39.4833503	73.5850170	4551.5
22	210.3	210.3	211.3	508,324,166,236	283.5	5002.4	39.4833496	73.5850176	4551.5
23	226.4	225.4	228.4	612,220,132,200	236.8	4986.5	39.4833492	73.5850214	4551.5
24	125.2	124.2	130.2	390,738,136,322	346.5	4973.0	39.4836487	73.5856668	4553.4
25	226.4	225.4	229.4	404,396,184,252	299.8	4967.4	39.4833492	73.5850214	4551.5
26	230.4	230.4	230.4	624,236,210,256	325.1	4961.1	39.4833497	73.5850213	4551.5
27	146.2	144.2	147.2	390,322,148,322	346.8	4925.5	39.4836510	73.5856645	4553.4
28	236.4	236.4	236.4	736,136,144,236	264.8	4860.4	39.4833496	73.5850208	4551.5
29	145.2	144.2	147.2	622,0,156,354	362.1	4802.4	39.4836504	73.5856645	4553.4
