ранг	ранг_в_группе	расстояние	сигнатура	d_ab	d_L	ловушка	d_ловушки	L	a	b	C	цвет_измерен	track	t_best	t0	t1	bbox	score	lat	lon	alt
1	1	0.182	рюкзак-синий	1.4	1.2	снег-в-тени	0.723	37.6	0.0	-13.0	13.0	bbox	0	2.0	2.0	3.0	1615,497,42,58	2727.0	39.4800350	73.5932098	5177.9
2	2	1.182	палка-ручка-пробка	7.6	19.6	лишайник-жёлтый-на-камне	0.359	56.1	2.0	16.0	16.1	bbox	1	8.0	7.0	13.0	1762,553,31,38	2691.7	39.4800359	73.5932100	5177.9
3	3	1.203	палка-ручка-пробка	9.2	9.6	лишайник-жёлтый-на-камне	0.396	66.1	-1.0	16.0	16.0	bbox	2	11.0	7.0	13.0	1249,1019,32,38	2624.5	39.4800372	73.5932097	5177.9
4	4	1.633	палка-ручка-пробка	10.8	25.9	корка-жёлтая-на-скале	0.289	49.8	1.0	13.0	13.0	bbox	3	4.0	2.0	4.0	929,262,34,59	2551.8	39.4800356	73.5932104	5177.9
5	5	1.695	палка-ручка-пробка	11.7	23.9	корка-жёлтая-на-скале	0.420	51.8	1.0	12.0	12.0	bbox	4	0.0	0.0	0.0	1395,693,32,41	2362.9	39.4800359	73.5932100	5177.9
6	6	1.315	палка-ручка-пробка	8.6	21.2	корка-жёлтая-на-скале	0.270	54.5	0.0	16.0	16.0	bbox	5	2.0	2.0	3.0	1777,861,34,32	2082.9	39.4800350	73.5932098	5177.9
7	7	1.443	палка-ручка-пробка	9.2	24.3	корка-жёлтая-на-скале	0.218	51.4	-1.0	16.0	16.0	bbox	6	6.0	3.0	6.0	1777,209,27,32	1951.3	39.4800356	73.5932100	5177.9
8	8	1.058	палка-древко-контроль	5.0	23.9	снег-в-тени	1.487	65.5	-4.0	-18.0	18.4	bbox	7	2.0	2.0	3.0	1839,0,81,35	1949.9	39.4800350	73.5932098	5177.9
9	9	1.173	палка-ручка-пробка	9.2	6.1	лишайник-жёлтый-на-камне	0.766	81.8	-2.0	17.0	17.1	bbox	8	2.0	2.0	3.0	1723,947,22,27	1815.4	39.4800350	73.5932098	5177.9
10	10	0.995	палка-ручка-пробка	7.2	11.8	лишайник-жёлтый-на-камне	0.137	63.9	1.0	17.0	17.0	bbox	9	3.0	2.0	4.0	651,33,22,35	1700.6	39.4800354	73.5932102	5177.9
11	11	1.009	палка-ручка-пробка	8.1	1.2	лишайник-жёлтый-на-камне	0.367	74.5	1.0	16.0	16.0	bbox	10	13.0	8.0	13.0	1378,397,31,24	1655.2	39.4800380	73.5932095	5177.9
12	12	1.179	стакан-марка-красная	9.4	0.4	порода-охристая	0.780	49.4	6.0	9.0	10.8	bbox	11	6.0	6.0	6.0	1073,233,30,26	1602.9	39.4800356	73.5932100	5177.9
13	13	0.832	рюкзак-синий	2.2	21.9	снег-в-тени	1.415	16.9	-1.0	-15.0	15.0	bbox	12	1.0	1.0	1.0	0,1029,23,51	1600.5	39.4800346	73.5932096	5177.9
14	14	1.498	палка-ручка-пробка	11.7	9.0	лишайник-жёлтый-на-камне	0.639	66.7	1.0	12.0	12.0	bbox	13	0.0	0.0	0.0	773,983,44,42	1551.6	39.4800359	73.5932100	5177.9
15	15	1.239	палка-ручка-пробка	9.1	14.1	лишайник-жёлтый-на-камне	0.472	61.6	4.0	14.0	14.6	bbox	14	6.0	6.0	6.0	1121,453,28,28	1527.1	39.4800356	73.5932100	5177.9
16	16	0.125	рюкзак-синий	1.0	0.0	снег-в-тени	0.816	38.8	0.0	-14.0	14.0	bbox	15	4.0	4.0	4.0	244,229,21,40	1503.3	39.4800356	73.5932104	5177.9
17	17	0.548	рюкзак-синий	3.2	10.6	снег-в-тени	0.379	49.4	0.0	-11.0	11.0	bbox	16	1.0	1.0	1.0	114,28,19,75	1468.3	39.4800346	73.5932096	5177.9
18	18	0.987	рюкзак-синий	4.5	22.8	снег-в-тени	0.566	61.6	-1.0	-10.0	10.0	bbox	17	4.0	4.0	4.0	111,807,24,30	1465.5	39.4800356	73.5932104	5177.9
19	19	1.425	палка-ручка-пробка	10.8	12.6	лишайник-жёлтый-на-камне	0.537	63.1	-1.0	14.0	14.0	bbox	18	2.0	2.0	12.0	1361,424,27,55	1437.5	39.4800350	73.5932098	5177.9
20	20	0.510	рюкзак-синий	3.6	6.7	снег-в-тени	0.404	45.5	-1.0	-11.0	11.0	bbox	19	3.0	3.0	3.0	1630,497,21,64	1416.1	39.4800354	73.5932102	5177.9
21	21	0.755	палка-древко-контроль	3.2	18.0	снег-в-тени	1.252	59.6	-5.0	-16.0	16.8	bbox	20	6.0	6.0	6.0	1837,133,83,72	1347.5	39.4800356	73.5932100	5177.9
22	22	1.105	рюкзак-синий	5.0	25.5	снег-в-тени	0.793	64.3	-3.0	-11.0	11.4	bbox	21	3.0	2.0	3.0	1681,79,16,26	1340.8	39.4800354	73.5932102	5177.9
23	23	0.997	палка-ручка-пробка	7.6	8.2	лишайник-жёлтый-на-камне	0.143	67.5	2.0	16.0	16.1	bbox	22	2.0	2.0	3.0	657,149,16,32	1161.0	39.4800350	73.5932098	5177.9
24	24	1.388	палка-ручка-пробка	10.3	14.5	лишайник-жёлтый-на-камне	0.476	61.2	0.0	14.0	14.0	bbox	23	10.0	6.0	13.0	1319,439,41,20	1111.4	39.4800367	73.5932099	5177.9
25	25	1.236	палка-ручка-пробка	8.1	20.0	лишайник-жёлтый-на-камне	0.498	55.7	4.0	15.0	15.5	bbox	24	7.0	7.0	13.0	938,513,19,20	1021.6	39.4800357	73.5932099	5177.9
26	26	1.164	палка-ручка-пробка	8.5	13.0	лишайник-жёлтый-на-камне	0.269	62.7	2.0	15.0	15.1	bbox	25	5.0	5.0	5.0	1055,171,18,26	948.6	39.4800355	73.5932102	5177.9
27	27	0.812	рюкзак-синий	5.0	14.5	снег-в-тени	0.405	53.3	-2.0	-10.0	10.2	bbox	26	1.0	1.0	1.0	89,173,20,46	879.9	39.4800346	73.5932096	5177.9
28	28	0.283	рюкзак-синий	2.2	1.2	снег-в-тени	1.038	40.0	0.0	-16.0	16.0	bbox	27	4.0	4.0	4.0	181,649,16,18	854.3	39.4800356	73.5932104	5177.9
29	29	1.262	рюкзак-синий	8.5	18.8	снег-в-тени	0.499	57.6	-2.0	-6.0	6.3	bbox	28	6.0	6.0	6.0	1801,97,34,28	851.2	39.4800356	73.5932100	5177.9
30	30	0.202	рюкзак-синий	1.4	2.7	снег-в-тени	0.752	36.1	0.0	-13.0	13.0	bbox	29	2.0	2.0	4.0	369,312,16,25	823.2	39.4800350	73.5932098	5177.9
31	31	1.307	палка-ручка-пробка	7.2	26.5	корка-жёлтая-на-скале	0.284	49.2	1.0	17.0	17.0	bbox	30	11.0	6.0	13.0	1281,965,16,18	726.7	39.4800372	73.5932097	5177.9
32	32	1.015	рюкзак-синий	7.6	9.8	снег-в-тени	1.644	48.6	-2.0	-21.0	21.1	bbox	31	8.0	7.0	13.0	45,917,24,18	674.3	39.4800359	73.5932100	5177.9
33	33	0.420	рюкзак-синий	3.2	3.9	снег-в-тени	0.416	42.7	0.0	-11.0	11.0	bbox	32	3.0	2.0	4.0	249,794,17,31	665.8	39.4800354	73.5932102	5177.9
34	34	1.164	палка-ручка-пробка	8.9	9.0	лишайник-жёлтый-на-камне	0.283	66.7	1.0	15.0	15.0	bbox	33	1.0	1.0	1.0	1069,81,18,14	663.5	39.4800346	73.5932096	5177.9
35	35	1.254	палка-ручка-пробка	10.0	2.8	лишайник-жёлтый-на-камне	0.523	72.9	-1.0	15.0	15.0	bbox	34	6.0	6.0	6.0	1841,695,25,14	656.8	39.4800356	73.5932100	5177.9
36	36	1.455	рюкзак-синий	7.2	32.0	снег-в-тени	0.902	70.8	-3.0	-8.0	8.5	bbox	35	3.0	2.0	4.0	1561,0,12,25	617.0	39.4800354	73.5932102	5177.9
37	37	2.536	палка-древко-контроль	20.0	11.3	снег-в-тени	3.491	52.9	-7.0	-35.0	35.7	bbox	36	9.0	7.0	13.0	1887,433,22,28	614.1	39.4800364	73.5932099	5177.9
38	38	1.650	рюкзак-синий	5.0	42.8	снег-пересвеченный	1.028	81.6	1.0	-9.0	9.1	bbox	37	2.0	2.0	4.0	1419,0,20,9	603.1	39.4800350	73.5932098	5177.9
39	39	1.533	палка-ручка-контроль	10.8	20.5	корка-жёлтая-на-скале	0.475	37.1	2.0	16.0	16.1	bbox	38	13.0	7.0	13.0	1431,893,18,14	568.9	39.4800380	73.5932095	5177.9
40	40	2.539	рюкзак-синий	20.1	10.2	снег-в-тени	3.253	49.0	-1.0	-34.0	34.0	bbox	39	8.0	8.0	8.0	1281,0,32,13	559.3	39.4800359	73.5932100	5177.9
41	41	0.920	палка-ручка-пробка	7.2	5.1	лишайник-жёлтый-на-камне	0.221	70.6	1.0	17.0	17.0	bbox	40	7.0	7.0	7.0	1565,861,16,12	556.7	39.4800357	73.5932099	5177.9
42	42	1.382	палка-ручка-пробка	8.1	26.5	корка-жёлтая-на-скале	0.184	49.2	1.0	16.0	16.0	bbox	41	3.0	2.0	4.0	1155,739,20,12	521.4	39.4800354	73.5932102	5177.9
43	43	0.613	рюкзак-синий	2.2	15.3	снег-в-тени	1.347	23.5	2.0	-16.0	16.1	bbox	42	0.0	0.0	0.0	1167,946,12,31	516.9	39.4800359	73.5932100	5177.9
44	44	1.275	палка-ручка-пробка	7.8	23.0	корка-жёлтая-на-скале	0.306	52.7	0.0	17.0	17.0	bbox	43	2.0	2.0	4.0	1305,389,24,6	505.7	39.4800350	73.5932098	5177.9
45	45	1.209	палка-ручка-пробка	9.2	10.2	лишайник-жёлтый-на-камне	0.395	65.5	-1.0	16.0	16.0	bbox	44	6.0	6.0	11.0	525,855,20,12	504.5	39.4800356	73.5932100	5177.9
46	46	1.609	рюкзак-синий	6.7	38.5	снег-пересвеченный	0.825	77.3	-2.0	-8.0	8.2	bbox	45	0.0	0.0	0.0	78,597,35,18	498.6	39.4800359	73.5932100	5177.9
47	47	1.054	палка-ручка-пробка	8.1	8.6	лишайник-жёлтый-на-камне	0.185	67.1	1.0	16.0	16.0	bbox	46	10.0	10.0	13.0	1291,377,14,23	484.2	39.4800367	73.5932099	5177.9
48	48	1.157	палка-ручка-пробка	9.2	2.8	лишайник-жёлтый-на-камне	0.476	72.9	-1.0	16.0	16.0	bbox	47	5.0	1.0	5.0	749,935,20,6	456.5	39.4800355	73.5932102	5177.9
49	49	1.128	палка-ручка-пробка	8.9	4.1	лишайник-жёлтый-на-камне	0.582	79.8	1.0	15.0	15.0	bbox	48	0.0	0.0	0.0	681,953,16,13	453.5	39.4800359	73.5932100	5177.9
50	50	1.309	палка-ручка-пробка	10.3	6.7	лишайник-жёлтый-на-камне	0.468	69.0	0.0	14.0	14.0	bbox	49	11.0	9.0	12.0	913,1005,24,12	421.5	39.4800372	73.5932097	5177.9
51	51	1.314	рюкзак-синий	5.4	31.6	снег-в-тени	0.826	70.4	-1.0	-9.0	9.1	bbox	50	3.0	3.0	3.0	1761,163,12,14	421.0	39.4800354	73.5932102	5177.9
52	52	0.367	рюкзак-синий	2.8	2.7	снег-в-тени	1.091	36.1	-1.0	-16.0	16.0	bbox	51	1.0	0.0	1.0	27,1010,14,21	405.0	39.4800346	73.5932096	5177.9
53	53	0.807	палка-ручка-пробка	6.4	3.0	лишайник-жёлтый-на-камне	0.313	72.7	1.0	18.0	18.0	bbox	52	10.0	10.0	11.0	1376,743,13,10	396.1	39.4800367	73.5932099	5177.9
54	54	1.254	палка-ручка-пробка	10.0	2.7	лишайник-жёлтый-на-камне	0.645	78.4	-1.0	15.0	15.0	bbox	53	4.0	4.0	4.0	35,379,14,12	394.9	39.4800356	73.5932104	5177.9
55	55	1.257	палка-ручка-пробка	8.9	16.1	лишайник-жёлтый-на-камне	0.350	59.6	1.0	15.0	15.0	bbox	54	0.0	0.0	0.0	783,673,10,20	392.5	39.4800359	73.5932100	5177.9
56	56	1.251	палка-ручка-пробка	10.0	1.2	лишайник-жёлтый-на-камне	0.606	76.9	-1.0	15.0	15.0	bbox	55	6.0	6.0	6.0	1761,701,16,12	373.4	39.4800356	73.5932100	5177.9
57	57	1.661	палка-ручка-контроль	12.2	18.4	корка-жёлтая-на-скале	0.354	39.2	-1.0	16.0	16.0	bbox	56	9.0	8.0	13.0	1031,1058,9,16	372.6	39.4800364	73.5932099	5177.9
58	58	0.686	рюкзак-синий	3.2	15.7	снег-в-тени	0.445	54.5	0.0	-11.0	11.0	bbox	57	1.0	1.0	5.0	924,993,21,12	368.2	39.4800346	73.5932096	5177.9
59	59	1.253	рюкзак-синий	4.5	31.4	снег-в-тени	0.847	70.2	-1.0	-10.0	10.0	bbox	58	4.0	4.0	4.0	1527,109,10,12	363.4	39.4800356	73.5932104	5177.9
60	60	1.511	палка-ручка-пробка	12.0	3.5	лишайник-жёлтый-на-камне	0.826	72.2	-4.0	15.0	15.5	bbox	59	6.0	6.0	6.0	1721,237,8,18	360.2	39.4800356	73.5932100	5177.9
61	61	1.317	палка-ручка-пробка	10.0	11.6	лишайник-жёлтый-на-камне	0.453	64.1	-1.0	15.0	15.0	bbox	60	7.0	7.0	8.0	1685,753,12,14	352.1	39.4800357	73.5932099	5177.9
62	62	1.181	рюкзак-синий	5.0	28.1	снег-в-тени	0.767	66.9	-2.0	-10.0	10.2	bbox	61	4.0	4.0	4.0	1873,285,8,12	340.4	39.4800356	73.5932104	5177.9
63	63	1.357	рюкзак-синий	5.1	33.6	снег-в-тени	0.886	72.4	0.0	-9.0	9.0	bbox	62	1.0	1.0	1.0	101,114,12,31	335.6	39.4800346	73.5932096	5177.9
64	64	1.225	палка-ручка-пробка	9.4	9.8	лишайник-жёлтый-на-камне	0.337	65.9	1.0	14.5	14.5	bbox	63	5.0	5.0	13.0	883,345,10,14	329.8	39.4800355	73.5932102	5177.9
65	65	1.126	палка-ручка-пробка	8.5	10.6	лишайник-жёлтый-на-камне	0.375	65.1	-1.0	17.0	17.0	bbox	64	6.0	6.0	6.0	1151,135,10,12	325.8	39.4800356	73.5932100	5177.9
66	66	1.378	палка-древко-контроль	10.8	8.2	снег-в-тени	2.184	49.8	-4.0	-25.0	25.3	bbox	65	7.0	7.0	7.0	284,149,15,12	323.5	39.4800357	73.5932099	5177.9
67	67	1.182	палка-ручка-пробка	9.4	2.2	лишайник-жёлтый-на-камне	0.455	73.5	0.0	15.0	15.0	bbox	66	5.0	5.0	5.0	1315,833,18,7	310.2	39.4800355	73.5932102	5177.9
68	68	1.072	палка-ручка-пробка	8.1	10.2	лишайник-жёлтый-на-камне	0.177	65.5	1.0	16.0	16.0	bbox	67	8.0	8.0	8.0	1201,314,16,10	308.2	39.4800359	73.5932100	5177.9
69	69	1.193	палка-ручка-пробка	9.2	8.6	лишайник-жёлтый-на-камне	0.399	67.1	-1.0	16.0	16.0	bbox	68	11.0	11.0	12.0	1321,443,14,10	305.6	39.4800372	73.5932097	5177.9
70	70	2.300	палка-древко-контроль	18.2	8.2	снег-в-тени	3.188	49.8	-5.0	-33.0	33.4	bbox	69	12.0	11.0	12.0	1243,87,18,18	302.4	39.4800378	73.5932096	5177.9
71	71	0.727	рюкзак-синий	2.2	18.8	снег-в-тени	1.112	20.0	0.0	-12.0	12.0	bbox	70	1.0	1.0	1.0	99,0,8,15	283.4	39.4800346	73.5932096	5177.9
72	72	1.543	палка-ручка-пробка	10.0	25.3	корка-жёлтая-на-скале	0.460	50.4	-3.0	17.0	17.3	bbox	71	3.0	3.0	3.0	1715,835,11,12	282.8	39.4800354	73.5932102	5177.9
