t	f_px	dist_m	gsd_cm	obj8px_cm	status
0.0	3569	107	3.0	24	ok
2.0	3569	107	3.0	24	ok
4.0	3569	107	3.0	24	ok
6.0	3569	105	2.9	24	ok
8.0	3569	106	3.0	24	ok
10.0	3569	105	2.9	24	ok
12.0	3569	97	2.7	22	ok
14.0	3475	81	2.3	19	ok
16.0	3475	77	2.2	18	ok
18.0	3569	75	2.1	17	ok
20.0	3664	72	2.0	16	ok
22.0	4482	69	1.5	12	ok
24.0	4482	68	1.5	12	ok
26.0	3664	68	1.9	15	ok
28.0	3664	62	1.7	14	ok
30.0	3664	61	1.7	13	ok
32.0	3664	62	1.7	14	ok
34.0	3569	64	1.8	14	ok
36.0	3664	66	1.8	14	ok
38.0	4387	67	1.5	12	ok
40.0	9688	67	0.7	6	ok
42.0	9688	67	0.7	6	ok
44.0	9688	67	0.7	6	ok
46.0	9688	67	0.7	6	ok
48.0	9688	67	0.7	6	ok
50.0	9688	68	0.7	6	ok
52.0	9688	68	0.7	6	ok
54.0	14989	67	0.4	4	ok
56.0	14989	67	0.4	4	ok
58.0					no_focal
60.0					no_focal
