t	f_px	dist_m	gsd_cm	obj8px_cm	status
0.0	7786	41	0.5	4	ok
2.0	11144	42	0.4	3	ok
4.0	7797	43	0.5	4	ok
6.0	7797	44	0.6	5	ok
8.0	7791	47	0.6	5	ok
10.0	7786	48	0.6	5	ok
12.0	7666	48	0.6	5	ok
14.0	7547	48	0.6	5	ok
16.0	7547	50	0.7	5	ok
18.0	7465	52	0.7	6	ok
20.0	7384	52	0.7	6	ok
22.0	7384	54	0.7	6	ok
24.0	7118	54	0.8	6	ok
26.0	5392	54	1.0	8	ok
28.0	3400	50	1.5	12	ok
30.0	3380	43	1.3	10	ok
32.0	3228	41	1.3	10	ok
34.0	2965	40	1.4	11	ok
36.0	2854	43	1.5	12	ok
38.0	2773	46	1.7	13	ok
40.0	2773	49	1.8	14	ok
42.0	2773	49	1.8	14	ok
44.0	2773	52	1.9	15	ok
46.0	2773	51	1.8	15	ok
48.0	2965	53	1.8	14	ok
50.0	3076	59	1.9	15	ok
52.0	3380	69	2.0	16	ok
54.0	3400	69	2.0	16	ok
56.0	3400	69	2.0	16	ok
58.0	3444	71	2.1	16	ok
60.0	3489	70	2.0	16	ok
62.0	3489	72	2.1	17	ok
64.0	3489	75	2.1	17	ok
66.0	8561	74	0.9	7	ok
68.0	8561	77	0.9	7	ok
70.0	13634	78	0.6	5	ok
72.0	14349	78	0.5	4	ok
74.0	14349	80	0.6	4	ok
76.0	14349	80	0.6	4	ok
78.0	14349	80	0.6	4	ok
80.0	14349	82	0.6	5	ok
82.0	15064	82	0.5	4	ok
84.0	15463	82	0.5	4	ok
86.0	15463	83	0.5	4	ok
88.0	11182	83	0.7	6	ok
90.0	7299	83	1.1	9	ok
92.0	5787	83	1.4	12	ok
94.0	4274	88	2.1	16	ok
96.0	4274	56	1.3	10	ok
98.0	4274	82	1.9	15	ok
100.0	4274	90	2.1	17	ok
102.0	4274	80	1.9	15	ok
104.0	5787	89	1.5	12	ok
106.0	7299	89	1.2	10	ok
108.0	7299	88	1.2	10	ok
110.0	7299	88	1.2	10	ok
112.0	7299	85	1.2	9	ok
114.0	13097	85	0.6	5	ok
116.0	13097	84	0.6	5	ok
118.0	13713	85	0.6	5	ok
120.0	14330	85	0.6	5	ok
122.0	13713	85	0.6	5	ok
124.0	14330	84	0.6	5	ok
126.0	14330	86	0.6	5	ok
128.0	14476	85	0.6	5	ok
130.0	14622	85	0.6	5	ok
132.0	14622	87	0.6	5	ok
134.0	14622	87	0.6	5	ok
136.0	14622	89	0.6	5	ok
138.0	14622	91	0.6	5	ok
140.0	14622	93	0.6	5	ok
142.0	14622	93	0.6	5	ok
144.0	14476	95	0.7	5	ok
146.0	14330	108	0.8	6	ok
148.0	15747	100	0.6	5	ok
150.0	15747	100	0.6	5	ok
152.0	15747	100	0.6	5	ok
154.0	17165	102	0.6	5	ok
156.0	17165	101	0.6	5	ok
158.0	17634	102	0.6	5	ok
160.0	17165	104	0.6	5	ok
162.0					no_focal
164.0					no_focal
166.0					no_focal
168.0					no_focal
170.0	14300	104	0.7	6	ok
172.0	14300	106	0.7	6	ok
174.0	14287	106	0.7	6	ok
176.0	14287	106	0.7	6	ok
178.0	14287	106	0.7	6	ok
180.0	14300	106	0.7	6	ok
182.0	14287	107	0.8	6	ok
184.0	14287	108	0.8	6	ok
186.0	14287	108	0.8	6	ok
188.0	14274	110	0.8	6	ok
190.0	14274	111	0.8	6	ok
192.0	14274	111	0.8	6	ok
194.0	14274	111	0.8	6	ok
196.0	14274	114	0.8	6	ok
198.0	14274	115	0.8	6	ok
200.0	14274	118	0.8	7	ok
202.0	14274	119	0.8	7	ok
204.0	14274	120	0.8	7	ok
206.0	14274	121	0.8	7	ok
208.0	13142	122	0.9	7	ok
210.0	14274	122	0.9	7	ok
212.0	14274	122	0.9	7	ok
214.0					no_focal
216.0					no_focal
218.0					no_focal
220.0					no_focal
222.0					no_focal
224.0					no_focal
226.0					no_focal
228.0					no_focal
230.0					no_focal
232.0					no_focal
234.0					no_focal
236.0					no_focal
238.0					no_focal
240.0					no_focal
242.0					no_focal
244.0					no_focal
246.0					no_focal
248.0					no_focal
250.0					no_focal
252.0					no_focal
254.0					no_focal
