track	t_best	t0	t1	bbox	length_px	score	lat	lon	alt
0	84.1	82.1	84.1	830,460,54,440	438.7	4618.8	39.4834898	73.5851916	4563.6
1	7.0	6.0	12.0	750,396,36,160	159.6	4466.5	39.4834883	73.5851947	4563.5
2	89.1	89.1	89.1	1450,422,28,264	262.0	4145.1	39.4834900	73.5851910	4563.5
3	0.0	0.0	4.0	1236,600,102,388	397.7	3864.1	39.4834871	73.5851948	4563.6
4	18.0	7.0	22.0	420,586,44,224	225.2	3742.3	39.4834867	73.5851941	4563.5
5	81.1	81.1	87.1	1190,450,42,324	321.9	3642.9	39.4834877	73.5851921	4563.5
6	0.0	0.0	4.0	974,766,74,314	319.7	3616.1	39.4834871	73.5851948	4563.6
7	96.1	94.1	98.1	462,472,52,322	320.0	3556.7	39.4834915	73.5851912	4563.5
8	1.0	1.0	7.0	1474,556,60,358	357.5	3374.2	39.4834876	73.5851948	4563.6
9	103.1	101.1	106.1	406,948,20,84	83.0	3298.0	39.4834915	73.5851920	4563.6
10	5.0	0.0	5.0	716,568,46,334	332.5	3248.6	39.4834883	73.5851946	4563.5
11	2.0	0.0	2.0	480,780,66,260	263.5	3147.0	39.4834879	73.5851948	4563.5
12	0.0	0.0	0.0	1472,466,60,304	306.4	2955.6	39.4834871	73.5851948	4563.6
13	30.0	29.0	31.0	716,388,38,148	149.4	2931.4	39.4834902	73.5851924	4563.6
14	22.0	22.0	22.0	698,244,34,138	138.7	2925.5	39.4834892	73.5851932	4563.6
15	3.0	0.0	6.0	928,338,40,218	218.1	2840.8	39.4834884	73.5851946	4563.5
16	7.0	7.0	7.0	1404,846,66,234	239.4	2832.5	39.4834883	73.5851947	4563.5
17	49.0	48.0	56.1	1320,304,68,348	351.1	2773.2	39.4834879	73.5851937	4563.6
18	4.0	2.0	7.0	1002,686,96,300	310.7	2763.8	39.4834884	73.5851947	4563.5
19	4.0	4.0	6.0	1276,70,66,364	366.4	2744.5	39.4834884	73.5851947	4563.5
20	93.1	93.1	93.1	466,582,36,332	330.5	2744.3	39.4834918	73.5851909	4563.6
21	103.1	92.1	103.1	732,756,38,256	255.8	2713.8	39.4834915	73.5851920	4563.6
22	89.1	89.1	89.1	1258,14,28,130	128.6	2692.3	39.4834900	73.5851910	4563.5
23	4.0	2.0	6.0	1076,228,42,234	233.4	2684.1	39.4834884	73.5851947	4563.5
24	88.1	88.1	88.1	1018,150,30,214	211.9	2673.8	39.4834900	73.5851917	4563.5
25	24.0	23.0	30.0	788,706,52,256	255.7	2640.4	39.4834902	73.5851934	4563.5
26	35.0	31.0	38.0	516,444,44,220	220.0	2607.8	39.4834893	73.5851927	4563.6
27	91.1	91.1	91.1	1320,692,30,188	186.0	2591.9	39.4834907	73.5851908	4563.5
28	86.1	80.1	87.1	670,514,42,318	316.6	2585.5	39.4834902	73.5851917	4563.6
29	45.0	42.0	46.0	1366,824,42,220	220.6	2562.4	39.4834855	73.5851937	4563.5
30	90.1	90.1	90.1	1236,570,22,202	200.3	2544.1	39.4834903	73.5851908	4563.5
31	25.0	24.0	26.0	840,724,30,226	225.5	2515.3	39.4834903	73.5851930	4563.5
32	92.1	92.1	92.1	1180,26,30,130	128.5	2504.0	39.4834913	73.5851908	4563.6
33	93.1	93.1	93.1	436,798,16,206	204.0	2461.1	39.4834918	73.5851909	4563.6
34	23.0	23.0	23.0	842,770,44,238	239.0	2459.7	39.4834899	73.5851933	4563.5
35	92.1	89.1	92.1	1372,538,22,162	160.1	2451.5	39.4834913	73.5851908	4563.6
36	103.1	100.1	103.1	960,250,32,172	171.7	2413.3	39.4834915	73.5851920	4563.6
