# Опорные точки укладки острова merged-ryukzak-14 в панораму района вещей
# (pano_compose.py). Пиксели полотен острова (см. findings-marks.tsv, якоря
# проверены кропами), мировые координаты: рюкзак — триангуляция General #1641,
# ткани — дальномер оператора из XMP JPG 14.08 (docs/video-analysis.md).
mosaic	mx	my	lat	lon
stitch/DJI_20260814121341_0002_Z/mosaic_06.jpg	582	1606	39.482656	73.586792
stitch/DJI_20260814121341_0002_Z/mosaic_03.jpg	4069	1766	39.482616	73.586853
stitch/DJI_20260814121341_0002_Z/mosaic_03.jpg	3379	4163	39.482608	73.586847
