track	t_best	t0	t1	bbox	score	lat	lon	alt
112	67.0	67.0	67.0	57,507,54,56	875.7			
113	65.0	65.0	70.0	0,0,31,25	874.3			
114	75.0	75.0	75.0	1789,1041,22,27	852.6			
115	59.0	58.0	59.0	187,469,29,22	841.4			
116	12.0	12.0	12.0	1644,549,19,76	826.7			
117	79.0	79.0	79.0	1613,959,6,66	818.4			
118	92.0	91.0	92.0	73,238,24,21	801.6			
119	87.0	87.0	87.0	1489,915,11,41	772.8			
120	21.0	20.0	21.0	1267,25,16,48	762.5			
121	44.0	42.0	44.0	931,73,30,16	759.0			
122	86.0	82.0	86.0	1507,729,26,22	754.7			
123	76.0	76.0	76.0	1865,969,28,30	748.8			
124	96.0	96.0	96.0	1873,441,38,28	745.4			
125	69.0	65.0	71.0	277,925,20,42	731.5			
126	71.0	70.0	71.0	197,873,22,40	727.5			
127	72.0	72.0	72.0	1753,169,26,32	726.1			
128	20.0	19.0	21.0	91,941,12,82	712.6			
129	76.0	76.0	76.0	1795,1029,10,38	708.9			
130	51.0	51.0	51.0	1675,1064,30,13	699.7			
131	20.0	19.0	20.0	53,705,14,74	694.5			
132	44.0	44.0	44.0	27,0,38,9	692.2			
133	92.0	92.0	92.0	1057,71,54,24	685.4			
134	91.0	91.0	91.0	17,27,16,18	679.4			
135	99.0	99.0	99.0	627,0,16,13	673.7			
136	44.0	44.0	44.0	0,1073,32,7	667.8			
137	7.0	4.0	8.0	875,885,13,38	664.7			
138	70.0	70.0	70.0	95,1034,28,21	657.8			
139	102.0	102.0	102.0	429,887,18,30	650.3			
140	89.0	89.0	89.0	153,0,26,17	640.8			
141	100.0	100.0	100.0	213,305,12,22	632.6			
142	23.0	23.0	23.0	465,467,40,6	621.9			
143	76.0	76.0	76.0	1851,889,18,30	620.4			
144	23.0	22.0	23.0	1351,55,48,10	616.8			
145	90.0	84.0	90.0	1897,159,23,18	608.6			
146	56.0	56.0	58.0	1812,929,17,28	602.0			
147	34.0	34.0	34.0	1386,806,18,17	597.5			
148	100.0	100.0	100.0	469,495,14,26	593.9			
149	92.0	92.0	93.0	1271,5,52,10	591.2			
150	82.0	82.0	82.0	1667,753,6,51	587.3			
151	34.0	34.0	34.0	0,687,63,26	580.0			
152	88.0	88.0	90.0	1402,1063,22,17	578.6			
153	23.0	22.0	23.0	511,469,54,6	578.4			
154	100.0	100.0	100.0	838,333,13,16	576.1			
155	3.0	3.0	3.0	1763,56,14,43	573.2			
156	71.0	71.0	71.0	105,197,34,38	570.3			
157	81.0	80.0	81.0	1542,409,22,21	567.4			
158	7.0	6.0	7.0	81,855,13,16	562.0			
159	36.0	36.0	37.0	41,296,23,24	555.1			
160	23.0	20.0	23.0	1245,77,42,10	549.2			
161	92.0	92.0	93.0	1209,19,46,8	542.7			
162	24.0	24.0	24.0	161,216,23,12	539.9			
163	68.0	66.0	69.0	1433,948,10,25	539.3			
164	66.0	66.0	71.0	176,867,13,13	525.9			
165	74.0	74.0	74.0	539,191,20,31	522.6			
